Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"24.900,00","24.999,00","24.900,00","24.975,96",0.1,232,"5,794,422","5,794,422"
2024-11-07,"24.998,00","24.999,00","24.900,00","24.951,77",-0.13,109,"2,719,743","2,719,743"
2024-11-06,"24.900,00","25.000,00","24.900,00","24.983,63",0.08,412,"10,293,255","10,293,255"
2024-11-05,"24.977,00","25.000,00","24.899,00","24.962,50",0.32,763,"19,046,384","19,046,384"
2024-11-04,"24.897,00","24.900,00","24.600,00","24.882,60",1.89,417,"10,376,043","10,376,043"
2024-11-01,"24.400,00","24.900,00","24.300,00","24.419,95",1.5,"1,224","29,890,022","29,890,022"
2024-10-31,"24.070,00","24.070,00","24.000,00","24.058,49",0.39,314,"7,554,365","7,554,365"
2024-10-30,"23.969,00","23.976,00","23.950,00","23.964,34",-0.01,962,"23,053,698","23,053,698"
2024-10-29,"23.960,00","23.970,00","23.960,00","23.967,76",-0.01,380,"9,107,747","15,100,247"
2024-10-28,"23.960,00","23.976,00","23.960,00","23.969,90",-0.03,"1,093","26,199,098","26,199,098"
2024-10-25,"23.977,00","23.979,00","23.951,00","23.977,61",0.01,852,"20,428,924","20,428,924"
2024-10-24,"23.978,00","23.978,00","23.950,00","23.975,33",0.0,556,"13,330,284","13,330,284"
2024-10-22,"23.951,00","23.999,00","23.951,00","23.976,12",-0.03,608,"14,577,484","14,577,484"
2024-10-21,"23.994,00","24.000,00","23.950,00","23.983,19",0.17,739,"17,723,579","17,723,579"
2024-10-18,"23.970,00","23.970,00","23.900,00","23.941,32",-0.07,690,"16,519,514","19,824,614"
2024-10-17,"23.960,00","23.970,00","23.920,00","23.957,00",0.12,481,"11,523,319","11,523,319"
2024-10-16,"23.920,00","23.990,00","23.900,00","23.927,66",0.0,311,"7,441,501","7,441,501"
2024-10-15,"23.989,00","23.989,00","23.900,00","23.928,81",0.12,374,"8,949,375","8,949,375"
2024-10-14,"23.900,00","23.950,00","23.899,00","23.901,28",0.04,220,"5,258,282","5,258,282"
2024-10-10,"23.804,00","23.900,00","23.803,00","23.892,48",0.02,407,"9,724,241","22,225,241"
2024-10-09,"23.900,00","23.950,00","23.800,00","23.886,66",-0.3,280,"6,688,266","6,688,266"
