Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"372,00",",",",","372,00",0.0,0,0,0
2024-11-07,"372,00",",",",","372,00",0.0,0,0,0
2024-11-06,"372,00",",",",","372,00",0.0,0,0,0
2024-11-05,"372,00",",",",","372,00",0.0,0,0,0
2024-11-04,"372,00",",",",","372,00",0.0,0,0,0
2024-11-01,"372,00",",",",","372,00",0.0,0,0,0
2024-10-31,"372,00",",",",","372,00",0.0,0,0,0
2024-10-30,"372,00",",",",","372,00",0.0,0,0,0
2024-10-29,"372,00",",",",","372,00",0.0,0,0,0
2024-10-28,"372,00",",",",","372,00",0.0,0,0,0
2024-10-25,"372,00",",",",","372,00",0.0,0,0,0
2024-10-24,"372,00",",",",","372,00",0.0,0,0,0
2024-10-22,"372,00",",",",","372,00",0.0,0,0,0
2024-10-21,"372,00",",",",","372,00",0.0,0,0,0
2024-10-18,"372,00",",",",","372,00",0.0,0,0,0
2024-10-17,"372,00",",",",","372,00",0.0,0,0,0
2024-10-16,"372,00",",",",","372,00",0.0,0,0,0
2024-10-15,"372,00",",",",","372,00",0.0,0,0,0
2024-10-14,"372,00",",",",","372,00",0.0,0,0,0
2024-10-10,"372,00",",",",","372,00",0.0,0,0,0
2024-10-09,"372,00",",",",","372,00",0.0,0,0,0
2024-10-08,"372,00",",",",","372,00",0.0,0,0,0
2024-10-07,"372,00",",",",","372,00",0.0,0,0,0
2024-10-04,"372,00",",",",","372,00",0.0,0,0,0
2024-10-03,"372,00",",",",","372,00",0.0,0,0,0
2024-10-02,"372,00",",",",","372,00",0.0,0,0,0
2024-10-01,"372,00",",",",","372,00",0.0,0,0,0
2024-09-30,"372,00",",",",","372,00",0.0,0,0,0
2024-09-27,"372,00",",",",","372,00",0.0,0,0,0
2024-09-26,"372,00",",",",","372,00",0.0,0,0,0
2024-09-25,"372,00",",",",","372,00",0.0,0,0,0
2024-09-24,"372,00",",",",","372,00",0.0,0,0,0
2024-09-23,"372,00",",",",","372,00",0.0,0,0,0
2024-09-20,"372,00",",",",","372,00",0.0,0,0,0
2024-09-19,"372,00",",",",","372,00",0.0,0,0,0
2024-09-18,"372,00",",",",","372,00",0.0,0,0,0
2024-09-17,"372,00",",",",","372,00",0.0,0,0,0
2024-09-16,"372,00",",",",","372,00",0.0,0,0,0
2024-09-13,"372,00",",",",","372,00",0.0,0,0,0
2024-09-12,"372,00",",",",","372,00",0.0,0,0,0
2024-09-11,"372,00",",",",","372,00",0.0,0,0,0
2024-09-10,"372,00",",",",","372,00",0.0,0,0,0
2024-09-06,"372,00",",",",","372,00",0.0,0,0,0
2024-09-05,"372,00",",",",","372,00",0.0,0,0,0
2024-09-04,"372,00",",",",","372,00",0.0,0,0,0
