Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"480,00",",",",","480,00",0.0,0,0,0
2024-11-07,"480,00",",",",","480,00",0.0,0,0,0
2024-11-06,"480,00",",",",","480,00",0.0,0,0,0
2024-11-05,"480,00",",",",","480,00",0.0,0,0,0
2024-11-04,"480,00",",",",","480,00",0.0,0,0,0
2024-11-01,"480,00",",",",","480,00",0.0,0,0,0
2024-10-31,"480,00",",",",","480,00",0.0,0,0,0
2024-10-30,"480,00",",",",","480,00",0.0,0,0,0
2024-10-29,"480,00",",",",","480,00",0.0,0,0,0
2024-10-28,"480,00",",",",","480,00",0.0,0,0,0
2024-10-25,"480,00",",",",","480,00",0.0,0,0,0
2024-10-24,"480,00",",",",","480,00",0.0,0,0,0
2024-10-22,"480,00",",",",","480,00",0.0,0,0,0
2024-10-21,"480,00",",",",","480,00",0.0,0,0,0
2024-10-18,"480,00",",",",","480,00",0.0,0,0,0
2024-10-17,"480,00",",",",","480,00",0.0,0,0,0
2024-10-16,"480,00",",",",","480,00",0.0,0,0,0
2024-10-15,"480,00",",",",","480,00",0.0,0,0,0
2024-10-14,"480,00",",",",","480,00",0.0,0,0,0
2024-10-10,"480,00",",",",","480,00",0.0,0,0,0
2024-10-09,"480,00",",",",","480,00",0.0,0,0,0
2024-10-08,"480,00",",",",","480,00",0.0,0,0,0
2024-10-07,"480,00",",",",","480,00",0.0,0,0,0
2024-10-04,"480,00",",",",","480,00",0.0,0,0,0
2024-10-03,"480,00",",",",","480,00",0.0,0,0,0
2024-10-02,"480,00",",",",","480,00",0.0,0,0,0
2024-10-01,"480,00",",",",","480,00",0.0,0,0,0
2024-09-30,"480,00",",",",","480,00",0.0,0,0,0
2024-09-27,"480,00",",",",","480,00",0.0,0,0,0
2024-09-26,"480,00",",",",","480,00",0.0,0,0,0
2024-09-25,"480,00",",",",","480,00",0.0,0,0,0
2024-09-24,"480,00",",",",","480,00",0.0,0,0,0
2024-09-23,"480,00",",",",","480,00",0.0,0,0,0
2024-09-20,"480,00",",",",","480,00",0.0,0,0,0
2024-09-19,"480,00",",",",","480,00",0.0,0,0,0
2024-09-18,"480,00",",",",","480,00",0.0,0,0,0
2024-09-17,"480,00",",",",","480,00",0.0,0,0,0
2024-09-16,"480,00",",",",","480,00",0.0,0,0,0
2024-09-13,"480,00",",",",","480,00",0.0,0,0,0
