Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"120,00",",",",","120,00",0.0,0,0,0
2024-11-07,"120,00",",",",","120,00",0.0,0,0,0
2024-11-06,"120,00",",",",","120,00",0.0,0,0,0
2024-11-05,"120,00",",",",","120,00",0.0,0,0,0
2024-11-04,"120,00",",",",","120,00",0.0,0,0,0
2024-11-01,"120,00",",",",","120,00",0.0,0,0,0
2024-10-31,"120,00",",",",","120,00",0.0,0,0,0
2024-10-30,"120,00",",",",","120,00",0.0,0,0,0
2024-10-29,"120,00",",",",","120,00",0.0,0,0,0
2024-10-28,"120,00",",",",","120,00",0.0,0,0,0
2024-10-25,"120,00",",",",","120,00",0.0,0,0,0
2024-10-24,"120,00",",",",","120,00",0.0,0,0,0
2024-10-22,"120,00",",",",","120,00",0.0,0,0,0
2024-10-21,"120,00",",",",","120,00",0.0,0,0,0
2024-10-18,"120,00",",",",","120,00",0.0,0,0,0
2024-10-17,"120,00",",",",","120,00",0.0,0,0,0
2024-10-16,"120,00",",",",","120,00",0.0,0,0,0
2024-10-15,"120,00",",",",","120,00",0.0,0,0,0
2024-10-14,"120,00",",",",","120,00",0.0,0,0,0
2024-10-10,"120,00",",",",","120,00",0.0,0,0,0
2024-10-09,"120,00",",",",","120,00",0.0,0,0,0
2024-10-08,"120,00",",",",","120,00",0.0,0,0,0
2024-10-07,"120,00",",",",","120,00",0.0,0,0,0
2024-10-04,"120,00",",",",","120,00",0.0,0,0,0
2024-10-03,"120,00",",",",","120,00",0.0,0,0,0
2024-10-02,"120,00",",",",","120,00",0.0,0,0,0
2024-10-01,"120,00",",",",","120,00",0.0,0,0,0
2024-09-30,"120,00",",",",","120,00",0.0,0,0,0
2024-09-27,"120,00",",",",","120,00",0.0,0,0,0
2024-09-26,"120,00",",",",","120,00",0.0,0,0,0
2024-09-25,"120,00",",",",","120,00",0.0,0,0,0
2024-09-24,"120,00",",",",","120,00",0.0,0,0,0
2024-09-23,"120,00",",",",","120,00",0.0,0,0,0
2024-09-20,"120,00",",",",","120,00",0.0,0,0,0
2024-09-19,"120,00",",",",","120,00",0.0,0,0,0
2024-09-18,"120,00",",",",","120,00",0.0,0,0,0
2024-09-17,"120,00",",",",","120,00",0.0,0,0,0
2024-09-16,"120,00",",",",","120,00",0.0,0,0,0
2024-09-13,"120,00",",",",","120,00",0.0,0,0,0
2024-09-12,"120,00",",",",","120,00",0.0,0,0,0
2024-09-11,"120,00",",",",","120,00",0.0,0,0,0
2024-09-10,"120,00",",",",","120,00",0.0,0,0,0
2024-09-06,"120,00",",",",","120,00",0.0,0,0,0
2024-09-05,"120,00",",",",","120,00",0.0,0,0,0
2024-09-04,"120,00",",",",","120,00",0.0,0,0,0
2024-09-03,"120,00",",",",","120,00",0.0,0,0,0
2024-09-02,"120,00",",",",","120,00",0.0,0,0,0
2024-08-30,"120,00",",",",","120,00",0.0,0,0,0
2024-08-29,"120,00",",",",","120,00",0.0,0,0,0
2024-08-27,"120,00",",",",","120,00",0.0,0,0,0
2024-08-26,"120,00",",",",","120,00",0.0,0,0,0
2024-08-23,"120,00",",",",","120,00",0.0,0,0,0
2024-08-22,"120,00",",",",","120,00",0.0,0,0,0
2024-08-21,"120,00",",",",","120,00",0.0,0,0,0
2024-08-20,"120,00",",",",","120,00",0.0,0,0,0
2024-08-19,"120,00",",",",","120,00",0.0,0,0,0
2024-08-16,"120,00",",",",","120,00",0.0,0,0,0
2024-08-15,"120,00",",",",","120,00",0.0,0,0,0
2024-08-14,"120,00",",",",","120,00",0.0,0,0,0
2024-08-13,"120,00",",",",","120,00",0.0,0,0,0
2024-08-12,"120,00",",",",","120,00",0.0,0,0,"56,486,852"
2024-08-09,"120,00",",",",","120,00",0.0,0,0,0
2016-12-29,"120,00",",",",","120,00",0.0,0,0,0
2016-12-28,"120,00",",",",","120,00",0.0,0,0,0
2016-12-27,"120,00",",",",","120,00",0.0,0,0,0
2016-12-26,"120,00",",",",","120,00",0.0,0,0,0
2016-12-23,"120,00",",",",","120,00",0.0,0,0,0
2016-12-22,"120,00",",",",","120,00",0.0,0,0,0
2016-12-21,"120,00",",",",","120,00",0.0,0,0,0
2016-12-20,"120,00",",",",","120,00",0.0,0,0,0
2016-12-19,"120,00",",",",","120,00",0.0,0,0,0
2016-12-16,"120,00",",",",","120,00",0.0,0,0,0
2016-12-15,"120,00",",",",","120,00",0.0,0,0,0
2016-12-14,"120,00",",",",","120,00",0.0,0,0,0
2016-12-13,"120,00",",",",","120,00",0.0,0,0,0
2016-12-12,"120,00",",",",","120,00",0.0,0,0,0
2016-12-09,"120,00",",",",","120,00",0.0,0,0,0
2016-12-07,"120,00",",",",","120,00",0.0,0,0,0
2016-12-06,"120,00",",",",","120,00",0.0,0,0,0
2016-12-05,"120,00",",",",","120,00",0.0,0,0,0
2016-12-02,"120,00",",",",","120,00",0.0,0,0,0
2016-12-01,"120,00",",",",","120,00",0.0,0,0,0
2016-11-29,"120,00",",",",","120,00",0.0,0,0,0
2016-11-28,"120,00",",",",","120,00",0.0,0,0,0
2016-11-25,"120,00",",",",","120,00",0.0,0,0,0
2016-11-24,"120,00",",",",","120,00",0.0,0,0,0
2016-11-23,"120,00",",",",","120,00",0.0,0,0,0
2016-11-22,"120,00",",",",","120,00",0.0,0,0,0
2016-11-21,"120,00",",",",","120,00",0.0,0,0,0
2016-11-18,"120,00",",",",","120,00",0.0,0,0,0
2016-11-17,"120,00",",",",","120,00",0.0,0,0,0
2016-11-16,"120,00",",",",","120,00",0.0,0,0,0
2016-11-15,"120,00",",",",","120,00",0.0,0,0,0
2016-11-14,"120,00",",",",","120,00",0.0,0,0,0
2016-11-11,"120,00",",",",","120,00",0.0,0,0,0
2016-11-10,"120,00",",",",","120,00",0.0,0,0,0
2016-11-09,"120,00",",",",","120,00",0.0,0,0,0
2016-11-08,"120,00",",",",","120,00",0.0,0,0,0
2016-11-07,"120,00",",",",","120,00",0.0,0,0,0
2016-11-04,"120,00",",",",","120,00",0.0,0,0,0
2016-11-03,"120,00",",",",","120,00",0.0,0,0,0
2016-11-02,"120,00",",",",","120,00",0.0,0,0,0
2016-11-01,"120,00",",",",","120,00",0.0,0,0,0
2016-10-31,"120,00",",",",","120,00",0.0,0,0,0
2016-10-28,"120,00",",",",","120,00",0.0,0,0,0
2016-10-27,"120,00",",",",","120,00",0.0,0,0,0
2016-10-26,"120,00",",",",","120,00",0.0,0,0,0
2016-10-25,"120,00",",",",","120,00",0.0,0,0,0
2016-10-21,"120,00",",",",","120,00",0.0,0,0,0
2016-10-20,"120,00",",",",","120,00",0.0,0,0,0
2016-10-19,"120,00",",",",","120,00",0.0,0,0,0
2016-10-18,"120,00",",",",","120,00",0.0,0,0,0
2016-10-17,"120,00",",",",","120,00",0.0,0,0,0
2016-10-14,"120,00",",",",","120,00",0.0,0,0,0
2016-10-13,"120,00",",",",","120,00",0.0,0,0,0
2016-10-12,"120,00",",",",","120,00",0.0,0,0,0
2016-10-10,"120,00",",",",","120,00",0.0,0,0,0
2016-10-07,"120,00",",",",","120,00",0.0,0,0,0
2016-10-06,"120,00",",",",","120,00",0.0,0,0,0
2016-10-05,"120,00",",",",","120,00",0.0,0,0,0
2016-10-04,"120,00",",",",","120,00",0.0,0,0,0
2016-10-03,"120,00",",",",","120,00",0.0,0,0,0
2016-09-30,"120,00",",",",","120,00",0.0,0,0,0
2016-09-29,"120,00",",",",","120,00",0.0,0,0,0
2016-09-28,"120,00",",",",","120,00",0.0,0,0,0
2016-09-27,"120,00",",",",","120,00",0.0,0,0,0
2016-09-26,"120,00",",",",","120,00",0.0,0,0,0
2016-09-23,"120,00",",",",","120,00",0.0,0,0,0
2016-09-22,"120,00",",",",","120,00",0.0,0,0,0
2016-09-21,"120,00",",",",","120,00",0.0,0,0,0
2016-09-20,"120,00",",",",","120,00",0.0,0,0,0
2016-09-19,"120,00",",",",","120,00",0.0,0,0,0
2016-09-16,"120,00",",",",","120,00",0.0,0,0,0
2016-09-15,"120,00",",",",","120,00",0.0,0,0,0
2016-09-14,"120,00",",",",","120,00",0.0,0,0,0
2016-09-13,"120,00",",",",","120,00",0.0,0,0,0
2016-09-12,"120,00",",",",","120,00",0.0,0,0,0
2016-09-09,"120,00",",",",","120,00",0.0,0,0,0
2016-09-07,"120,00",",",",","120,00",0.0,0,0,0
2016-09-06,"120,00",",",",","120,00",0.0,0,0,0
2016-09-05,"120,00",",",",","120,00",0.0,0,0,0
2016-09-02,"120,00",",",",","120,00",0.0,0,0,0
2016-09-01,"120,00",",",",","120,00",0.0,0,0,0
2016-08-31,"120,00",",",",","120,00",0.0,0,0,0
2016-08-30,"120,00",",",",","120,00",0.0,0,0,0
2016-08-29,"120,00",",",",","120,00",0.0,0,0,0
2016-08-26,"120,00",",",",","120,00",0.0,0,0,0
2016-08-25,"120,00",",",",","120,00",0.0,0,0,0
2016-08-24,"120,00",",",",","120,00",0.0,0,0,0
2016-08-23,"120,00",",",",","120,00",0.0,0,0,0
2016-08-22,"120,00",",",",","120,00",0.0,0,0,0
2016-08-19,"120,00",",",",","120,00",0.0,0,0,0
2016-08-18,"120,00",",",",","120,00",0.0,0,0,0
2016-08-17,"120,00",",",",","120,00",0.0,0,0,0
2016-08-16,"120,00",",",",","120,00",0.0,0,0,0
2016-08-15,"120,00",",",",","120,00",0.0,0,0,0
2016-08-12,"120,00",",",",","120,00",0.0,0,0,0
2016-08-11,"120,00",",",",","120,00",0.0,0,0,0
2016-08-10,"120,00",",",",","120,00",0.0,0,0,0
2016-08-09,"120,00",",",",","120,00",0.0,0,0,0
2016-08-08,"120,00",",",",","120,00",0.0,0,0,0
2016-08-05,"120,00",",",",","120,00",0.0,0,0,0
2016-08-04,"120,00",",",",","120,00",0.0,0,0,0
2016-08-03,"120,00",",",",","120,00",0.0,0,0,0
2016-08-01,"120,00",",",",","120,00",0.0,0,0,0
2016-07-29,"120,00",",",",","120,00",0.0,0,0,0
2016-07-28,"120,00",",",",","120,00",0.0,0,0,0
2016-07-27,"120,00",",",",","120,00",0.0,0,0,0
2016-07-26,"120,00",",",",","120,00",0.0,0,0,0
2016-07-25,"120,00",",",",","120,00",0.0,0,0,0
2016-07-22,"120,00",",",",","120,00",0.0,0,0,0
2016-07-21,"120,00",",",",","120,00",0.0,0,0,0
2016-07-20,"120,00",",",",","120,00",0.0,0,0,0
2016-07-19,"120,00",",",",","120,00",0.0,0,0,0
2016-07-18,"120,00",",",",","120,00",0.0,0,0,0
2016-07-15,"120,00",",",",","120,00",0.0,0,0,0
2016-07-14,"120,00",",",",","120,00",0.0,0,0,0
2016-07-13,"120,00",",",",","120,00",0.0,0,0,0
2016-07-12,"120,00",",",",","120,00",0.0,0,0,0
2016-07-11,"120,00",",",",","120,00",0.0,0,0,0
2016-07-08,"120,00",",",",","120,00",0.0,0,0,0
2016-07-07,"120,00",",",",","120,00",0.0,0,0,0
2016-07-06,"120,00",",",",","120,00",0.0,0,0,0
2016-07-04,"120,00",",",",","120,00",0.0,0,0,0
2016-07-01,"120,00",",",",","120,00",0.0,0,0,0
2016-06-30,"120,00",",",",","120,00",0.0,0,0,0
2016-06-29,"120,00",",",",","120,00",0.0,0,0,0
2016-06-28,"120,00",",",",","120,00",0.0,0,0,0
2016-06-27,"120,00",",",",","120,00",0.0,0,0,0
2016-06-24,"120,00",",",",","120,00",0.0,0,0,0
2016-06-23,"120,00",",",",","120,00",0.0,0,0,0
2016-06-22,"120,00",",",",","120,00",0.0,0,0,0
2016-06-21,"120,00",",",",","120,00",0.0,0,0,0
2016-06-20,"120,00",",",",","120,00",0.0,0,0,0
2016-06-16,"120,00",",",",","120,00",0.0,0,0,0
2016-06-15,"120,00",",",",","120,00",0.0,0,0,0
2016-06-14,"120,00",",",",","120,00",0.0,0,0,0
2016-06-13,"120,00",",",",","120,00",0.0,0,0,0
2016-06-10,"120,00",",",",","120,00",0.0,0,0,0
2016-06-09,"120,00",",",",","120,00",0.0,0,0,0
2016-06-08,"120,00",",",",","120,00",0.0,0,0,0
2016-06-07,"120,00",",",",","120,00",0.0,0,0,0
2016-06-06,"120,00",",",",","120,00",0.0,0,0,0
2016-06-03,"120,00",",",",","120,00",0.0,0,0,0
2016-06-02,"120,00",",",",","120,00",0.0,0,0,0
2016-06-01,"120,00",",",",","120,00",0.0,0,0,0
2016-05-31,"120,00",",",",","120,00",0.0,0,0,0
2016-05-30,"120,00",",",",","120,00",0.0,0,0,0
2016-05-27,"120,00",",",",","120,00",0.0,0,0,0
2016-05-26,"120,00",",",",","120,00",0.0,0,0,0
2016-05-25,"120,00",",",",","120,00",0.0,0,0,0
2016-05-23,"120,00",",",",","120,00",0.0,0,0,0
2016-05-20,"120,00",",",",","120,00",0.0,0,0,0
2016-05-19,"120,00",",",",","120,00",0.0,0,0,0
2016-05-18,"120,00",",",",","120,00",0.0,0,0,0
2016-05-17,"120,00",",",",","120,00",0.0,0,0,0
2016-05-16,"120,00",",",",","120,00",0.0,0,0,0
2016-05-13,"120,00",",",",","120,00",0.0,0,0,0
2016-05-12,"120,00",",",",","120,00",0.0,0,0,0
2016-05-11,"120,00",",",",","120,00",0.0,0,0,0
2016-05-10,"120,00",",",",","120,00",0.0,0,0,0
2016-05-09,"120,00",",",",","120,00",0.0,0,0,0
2016-05-06,"120,00",",",",","120,00",0.0,0,0,0
2016-05-05,"120,00",",",",","120,00",0.0,0,0,0
2016-05-04,"120,00",",",",","120,00",0.0,0,0,0
2016-05-03,"120,00",",",",","120,00",0.0,0,0,0
2016-04-28,"120,00",",",",","120,00",0.0,0,0,0
2016-04-27,"120,00",",",",","120,00",0.0,0,0,0
2016-04-26,"120,00",",",",","120,00",0.0,0,0,0
2016-04-25,"120,00",",",",","120,00",0.0,0,0,0
2016-04-22,"120,00",",",",","120,00",0.0,0,0,0
2016-04-21,"120,00",",",",","120,00",0.0,0,0,0
2016-04-20,"120,00",",",",","120,00",0.0,0,0,0
2016-04-19,"120,00",",",",","120,00",0.0,0,0,0
2016-04-18,"120,00",",",",","120,00",0.0,0,0,0
2016-04-15,"120,00",",",",","120,00",0.0,0,0,0
2016-04-14,"120,00",",",",","120,00",0.0,0,0,0
2016-04-13,"120,00",",",",","120,00",0.0,0,0,0
2016-04-12,"120,00",",",",","120,00",0.0,0,0,0
2016-04-11,"120,00",",",",","120,00",0.0,0,0,0
2016-04-08,"120,00",",",",","120,00",0.0,0,0,0
2016-04-07,"120,00",",",",","120,00",0.0,0,0,0
2016-04-06,"120,00",",",",","120,00",0.0,0,0,0
2016-04-05,"120,00",",",",","120,00",0.0,0,0,0
2016-04-04,"120,00",",",",","120,00",0.0,0,0,0
2016-04-01,"120,00",",",",","120,00",0.0,0,0,0
2016-03-31,"120,00",",",",","120,00",0.0,0,0,0
2016-03-30,"120,00",",",",","120,00",0.0,0,0,0
2016-03-29,"120,00",",",",","120,00",0.0,0,0,0
2016-03-28,"120,00",",",",","120,00",0.0,0,0,0
2016-03-25,"120,00",",",",","120,00",0.0,0,0,0
2016-03-24,"120,00",",",",","120,00",0.0,0,0,0
2016-03-23,"120,00",",",",","120,00",0.0,0,0,0
2016-03-22,"120,00",",",",","120,00",0.0,0,0,0
2016-03-21,"120,00",",",",","120,00",0.0,0,0,0
2016-03-18,"120,00",",",",","120,00",0.0,0,0,0
2016-03-17,"120,00",",",",","120,00",0.0,0,0,0
2016-03-16,"120,00",",",",","120,00",0.0,0,0,0
2016-03-15,"120,00",",",",","120,00",0.0,0,0,0
2016-03-14,"120,00",",",",","120,00",0.0,0,0,0
2016-03-11,"120,00",",",",","120,00",0.0,0,0,0
2016-03-10,"120,00",",",",","120,00",0.0,0,0,0
2016-03-09,"120,00",",",",","120,00",0.0,0,0,0
2016-03-08,"120,00",",",",","120,00",0.0,0,0,0
2016-03-07,"120,00",",",",","120,00",0.0,0,0,0
2016-03-04,"120,00",",",",","120,00",0.0,0,0,0
2016-03-03,"120,00",",",",","120,00",0.0,0,0,0
2016-03-02,"120,00",",",",","120,00",0.0,0,0,0
2016-03-01,"120,00",",",",","120,00",0.0,0,0,0
2016-02-29,"120,00",",",",","120,00",0.0,0,0,0
2016-02-26,"120,00",",",",","120,00",0.0,0,0,0
2016-02-25,"120,00",",",",","120,00",0.0,0,0,0
2016-02-24,"120,00",",",",","120,00",0.0,0,0,0
2016-02-23,"120,00",",",",","120,00",0.0,0,0,0
2016-02-22,"120,00",",",",","120,00",0.0,0,0,0
2016-02-19,"120,00",",",",","120,00",0.0,0,0,0
2016-02-18,"120,00",",",",","120,00",0.0,0,0,0
2016-02-17,"120,00",",",",","120,00",0.0,0,0,0
2016-02-16,"120,00",",",",","120,00",0.0,0,0,0
2016-02-15,"120,00",",",",","120,00",0.0,0,0,0
2016-02-12,"120,00",",",",","120,00",0.0,0,0,0
2016-02-11,"120,00",",",",","120,00",0.0,0,0,0
2016-02-10,"120,00",",",",","120,00",0.0,0,0,0
2016-02-09,"120,00",",",",","120,00",0.0,0,0,0
2016-02-08,"120,00",",",",","120,00",0.0,0,0,0
2016-02-05,"120,00",",",",","120,00",0.0,0,0,0
2016-02-04,"120,00",",",",","120,00",0.0,0,0,0
2016-02-03,"120,00",",",",","120,00",0.0,0,0,0
2016-02-02,"120,00",",",",","120,00",0.0,0,0,0
2016-02-01,"120,00",",",",","120,00",0.0,0,0,0
2016-01-29,"120,00",",",",","120,00",0.0,0,0,0
2016-01-28,"120,00",",",",","120,00",0.0,0,0,0
2016-01-27,"120,00",",",",","120,00",0.0,0,0,0
2016-01-26,"120,00",",",",","120,00",0.0,0,0,0
2016-01-25,"120,00",",",",","120,00",0.0,0,0,0
2016-01-22,"120,00",",",",","120,00",0.0,0,0,0
2016-01-21,"120,00",",",",","120,00",0.0,0,0,0
2016-01-20,"120,00",",",",","120,00",0.0,0,0,0
2016-01-18,"120,00",",",",","120,00",0.0,0,0,0
2016-01-15,"120,00",",",",","120,00",0.0,0,0,0
2016-01-14,"120,00",",",",","120,00",0.0,0,0,0
2016-01-13,"120,00",",",",","120,00",0.0,0,0,0
2016-01-12,"120,00",",",",","120,00",0.0,0,0,0
2016-01-11,"120,00",",",",","120,00",0.0,0,0,0
2016-01-08,"120,00",",",",","120,00",0.0,0,0,0
2016-01-05,"120,00",",",",","120,00",0.0,0,0,0
2016-01-04,"120,00",",",",","120,00",0.0,0,0,0
2015-12-30,"120,00",",",",","120,00",0.0,0,0,0
2015-12-29,"120,00",",",",","120,00",0.0,0,0,0
2015-12-28,"120,00",",",",","120,00",0.0,0,0,0
2015-12-25,"120,00",",",",","120,00",0.0,0,0,0
2015-12-24,"120,00",",",",","120,00",0.0,0,0,0
2015-12-23,"120,00",",",",","120,00",0.0,0,0,0
2015-12-22,"120,00",",",",","120,00",0.0,0,0,0
2015-12-21,"120,00",",",",","120,00",0.0,0,0,0
2015-12-18,"120,00",",",",","120,00",0.0,0,0,0
2015-12-17,"120,00",",",",","120,00",0.0,0,0,0
2015-12-16,"120,00",",",",","120,00",0.0,0,0,0
2015-12-15,"120,00",",",",","120,00",0.0,0,0,0
2015-12-14,"120,00",",",",","120,00",0.0,0,0,0
2015-12-11,"120,00",",",",","120,00",0.0,0,0,0
2015-12-10,"120,00","120,00","120,00","120,00",0.0,74,"8,880","8,880"
2015-12-09,"120,00",",",",","120,00",0.0,0,0,0
2015-12-07,"120,00",",",",","120,00",0.0,0,0,0
2015-12-04,"120,00",",",",","120,00",0.0,0,0,0
2015-12-03,"120,00",",",",","120,00",0.0,0,0,0
2015-12-01,"120,00",",",",","120,00",0.0,0,0,0
2015-11-30,"120,00",",",",","120,00",0.0,0,0,0
2015-11-27,"120,00",",",",","120,00",0.0,0,0,0
2015-11-26,"120,00",",",",","120,00",0.0,0,0,0
2015-11-25,"120,00",",",",","120,00",0.0,0,0,0
2015-11-24,"120,00",",",",","120,00",0.0,0,0,0
2015-11-23,"120,00",",",",","120,00",0.0,0,0,0
2015-11-20,"120,00",",",",","120,00",0.0,0,0,0
2015-11-19,"120,00",",",",","120,00",0.0,0,0,0
2015-11-18,"120,00",",",",","120,00",0.0,0,0,0
2015-11-17,"120,00",",",",","120,00",0.0,0,0,0
2015-11-16,"120,00",",",",","120,00",0.0,0,0,0
2015-11-13,"120,00",",",",","120,00",0.0,0,0,0
2015-11-12,"120,00",",",",","120,00",0.0,0,0,0
2015-11-11,"120,00",",",",","120,00",0.0,0,0,0
2015-11-10,"120,00",",",",","120,00",0.0,0,0,0
2015-11-09,"120,00",",",",","120,00",0.0,0,0,0
2015-11-06,"120,00",",",",","120,00",0.0,0,0,0
2015-11-05,"120,00",",",",","120,00",0.0,0,0,0
2015-11-04,"120,00",",",",","120,00",0.0,0,0,0
2015-11-03,"120,00",",",",","120,00",0.0,0,0,0
2015-11-02,"120,00",",",",","120,00",0.0,0,0,0
2015-10-30,"120,00",",",",","120,00",0.0,0,0,0
2015-10-29,"120,00",",",",","120,00",0.0,0,0,0
2015-10-28,"120,00",",",",","120,00",0.0,0,0,0
2015-10-27,"120,00",",",",","120,00",0.0,0,0,0
2015-10-26,"120,00",",",",","120,00",0.0,0,0,0
2015-10-22,"120,00",",",",","120,00",0.0,0,0,0
2015-10-21,"120,00",",",",","120,00",0.0,0,0,0
2015-10-20,"120,00",",",",","120,00",0.0,0,0,0
2015-10-19,"120,00",",",",","120,00",0.0,0,0,0
2015-10-16,"120,00",",",",","120,00",0.0,0,0,0
