Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-11-07,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-11-06,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-11-05,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-11-04,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-11-01,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-31,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-30,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-29,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-28,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-25,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-24,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-22,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-21,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-18,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-17,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-16,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-15,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-14,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-10,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-09,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-08,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-07,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-04,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-03,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-02,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-10-01,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-30,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-27,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-26,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-25,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-24,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-23,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-20,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-19,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-18,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-17,"12.000,00","12.000,00","12.000,00","12.000,00",0.0,10,"120,000","120,000"
2024-09-16,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-13,"12.000,00","12.000,00","12.000,00","12.000,00",0.0,10,"120,000","120,000"
2024-09-12,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-11,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-10,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-06,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-05,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-04,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-03,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-09-02,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-30,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-29,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-27,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-26,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-23,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-22,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-21,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-20,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-19,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-16,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-15,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-14,"12.000,00","12.000,00","12.000,00","12.000,00",0.0,39,"468,000","468,000"
2024-08-13,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-12,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-09,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-08,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-07,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-06,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-05,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-08-01,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-31,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-30,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-29,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-26,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-25,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-24,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-23,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-22,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-19,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-18,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-17,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-16,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-15,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-12,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-11,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-10,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-09,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-08,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-05,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-04,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-03,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-07-02,"12.000,00","12.000,00","12.000,00","12.000,00",0.0,13,"156,000","156,000"
2024-07-01,"12.000,00","12.000,00","12.000,00","12.000,00",0.0,6,"72,000","72,000"
2024-06-28,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-27,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-26,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-25,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-24,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-20,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-19,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-18,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-17,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-14,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-13,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-12,"12.000,00","12.000,00","12.000,00","12.000,00",0.0,96,"1,152,000","1,152,000"
2024-06-11,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-10,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-07,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-06,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-05,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-04,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-06-03,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-31,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-30,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-29,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-28,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-27,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-23,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-22,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-21,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-20,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-17,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-16,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-15,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-14,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-13,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-10,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-09,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-07,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-05-02,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-30,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-29,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-26,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-25,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-23,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-22,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-19,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-18,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-17,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-16,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-15,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-12,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-11,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-09,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-08,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-05,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-04,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-03,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-02,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-04-01,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-29,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-28,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-27,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-26,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-25,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-22,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-21,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-20,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-19,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-18,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-15,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-14,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-13,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-12,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-11,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-08,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-07,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-06,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-05,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-04,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-03-01,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-29,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-28,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-27,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-26,"12.000,00","12.000,00","12.000,00","12.000,00",0.0,41,"492,000","492,000"
2024-02-23,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-22,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-21,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-20,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-19,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-16,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-15,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-14,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-13,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-12,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-09,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-08,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-07,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-06,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-05,"12.000,00",",",",","12.000,00",0.0,0,0,0
2024-02-02,"12.000,00",",",",","12.000,00",0.0,0,0,0
