Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"237,00",",",",","237,00",0.0,0,0,0
2024-11-07,"237,00",",",",","237,00",0.0,0,0,0
2024-11-06,"237,00",",",",","237,00",0.0,0,0,0
2024-11-05,"237,00",",",",","237,00",0.0,0,0,0
2024-11-04,"237,00",",",",","237,00",0.0,0,0,0
2024-11-01,"237,00",",",",","237,00",0.0,0,0,0
2024-10-31,"237,00",",",",","237,00",0.0,0,0,0
2024-10-30,"237,00",",",",","237,00",0.0,0,0,0
2024-10-29,"237,00",",",",","237,00",0.0,0,0,0
2024-10-28,"237,00",",",",","237,00",0.0,0,0,0
2024-10-25,"237,00",",",",","237,00",0.0,0,0,0
2024-10-24,"237,00",",",",","237,00",0.0,0,0,0
2024-10-22,"237,00",",",",","237,00",0.0,0,0,0
2024-10-21,"237,00",",",",","237,00",0.0,0,0,0
2024-10-18,"237,00",",",",","237,00",0.0,0,0,0
2024-10-17,"237,00",",",",","237,00",0.0,0,0,0
2024-10-16,"237,00",",",",","237,00",0.0,0,0,0
2024-10-15,"237,00",",",",","237,00",0.0,0,0,0
2024-10-14,"237,00",",",",","237,00",0.0,0,0,0
2024-10-10,"237,00",",",",","237,00",0.0,0,0,0
2024-10-09,"237,00",",",",","237,00",0.0,0,0,0
2024-10-08,"237,00",",",",","237,00",0.0,0,0,0
2024-10-07,"237,00",",",",","237,00",0.0,0,0,0
2024-10-04,"237,00",",",",","237,00",0.0,0,0,0
2024-10-03,"237,00",",",",","237,00",0.0,0,0,0
2024-10-02,"237,00",",",",","237,00",0.0,0,0,0
2024-10-01,"237,00",",",",","237,00",0.0,0,0,0
2024-09-30,"237,00",",",",","237,00",0.0,0,0,0
2024-09-27,"237,00",",",",","237,00",0.0,0,0,0
2024-09-26,"237,00",",",",","237,00",0.0,0,0,0
2024-09-25,"237,00","237,00","237,00","237,00",2.6,250,"59,250","59,250"
2024-09-24,"231,00",",",",","231,00",0.0,0,0,0
2024-09-23,"231,00",",",",","231,00",0.0,0,0,0
2024-09-20,"231,00",",",",","231,00",0.0,0,0,0
2024-09-19,"231,00",",",",","231,00",0.0,0,0,0
