Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-11-07,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-11-06,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-11-05,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-11-04,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-11-01,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-31,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-30,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-29,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-28,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-25,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-24,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-22,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-21,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-18,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-17,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-16,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-15,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-14,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-10,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-09,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-08,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-07,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-04,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-03,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-02,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-10-01,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-09-30,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-09-27,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-09-26,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-09-25,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-09-24,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-09-23,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-09-20,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-09-19,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-09-18,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-09-17,"18.000,00",",",",","18.000,00",0.0,0,0,0
2024-09-16,"18.000,00",",",",","18.000,00",0.0,0,0,0
