Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"85.001,00","85.001,00","85.001,00","85.001,00",-0.84,10,"850,010","850,010"
2024-11-07,"85.700,00","85.750,00","85.700,00","85.725,00",0.34,4,"342,900","342,900"
2024-11-06,"85.500,00","85.500,00","85.000,00","85.436,17",-0.07,47,"4,015,500","4,015,500"
2024-11-05,"85.499,00","85.500,00","85.499,00","85.499,50",0.0,4,"341,998","33,661,998"
2024-11-04,"85.500,00","85.500,00","85.499,00","85.499,91",0.0,11,"940,499","940,499"
2024-11-01,"85.500,00","85.500,00","85.500,00","85.500,00",0.59,15,"1,282,500","1,282,500"
2024-10-31,"85.000,00","85.000,00","85.000,00","85.000,00",0.57,754,"64,090,000","64,090,000"
2024-10-30,"84.401,00","85.000,00","84.401,00","84.521,57",0.03,14,"1,183,302","1,183,302"
2024-10-29,"84.500,00","84.501,00","84.500,00","84.500,12",-0.7,8,"676,001","676,001"
2024-10-28,"85.500,00","85.500,00","85.000,00","85.100,00",-0.25,5,"425,500","425,500"
2024-10-25,"85.500,00","85.500,00","85.000,00","85.313,88",-0.13,59,"5,033,519","5,033,519"
2024-10-24,"85.500,00","85.500,00","85.000,00","85.428,57",0.53,7,"598,000","598,000"
2024-10-22,"84.500,00","85.000,00","84.500,00","84.979,12",-0.02,24,"2,039,499","2,039,499"
2024-10-21,"85.000,00",",",",","85.000,00",0.0,0,0,0
2024-10-18,"85.000,00","85.000,00","85.000,00","85.000,00",-0.35,2,"170,000","170,000"
2024-10-17,"85.000,00","85.500,00","85.000,00","85.300,24",-0.24,45,"3,838,511","3,838,511"
2024-10-16,"85.500,00","85.550,00","85.500,00","85.503,12",-0.57,16,"1,368,050","1,368,050"
2024-10-15,"85.990,00","85.990,00","85.990,00","85.990,00",0.11,1,"85,990","85,990"
2024-10-14,"85.900,00","85.900,00","85.899,00","85.899,56",0.0,9,"773,096","773,096"
2024-10-10,"85.900,00","85.900,00","85.900,00","85.900,00",-0.12,3,"257,700","257,700"
2024-10-09,"86.000,00",",",",","85.999,93",0.0,0,0,0
2024-10-08,"86.000,00",",",",","85.999,93",0.0,0,0,0
2024-10-07,"86.000,00","86.000,00","85.998,00","85.999,93",0.0,105,"9,029,993","9,029,993"
2024-10-04,"85.999,00","86.000,00","85.999,00","85.999,33",-0.05,3,"257,998","257,998"
2024-10-03,"86.000,00","86.500,00","86.000,00","86.043,63",-0.53,35,"3,011,527","3,011,527"
2024-10-02,"86.500,00",",",",","86.500,00",0.0,0,0,0
2024-10-01,"86.500,00","86.500,00","86.500,00","86.500,00",-0.46,24,"2,076,000","2,076,000"
2024-09-30,"86.898,00","86.900,00","86.898,00","86.899,50",-0.11,14,"1,216,593","1,216,593"
2024-09-27,"86.990,00",",",",","86.993,44",0.0,0,0,0
2024-09-26,"86.990,00","87.000,00","86.990,00","86.993,44",-0.01,32,"2,783,790","2,783,790"
2024-09-25,"87.000,00","87.000,00","87.000,00","87.000,00",0.0,53,"4,611,000","4,611,000"
2024-09-24,"87.000,00","87.000,00","87.000,00","87.000,00",0.0,19,"1,653,000","1,653,000"
2024-09-23,"87.001,00","87.001,00","87.000,00","87.000,10",0.0,10,"870,001","870,001"
2024-09-20,"87.000,00",",",",","87.000,00",0.0,0,0,0
2024-09-19,"87.000,00","87.000,00","87.000,00","87.000,00",0.0,4,"348,000","348,000"
2024-09-18,"87.000,00",",",",","87.000,00",0.0,0,0,0
2024-09-17,"87.000,00",",",",","87.000,00",0.0,0,0,0
2024-09-16,"87.000,00","87.000,00","87.000,00","87.000,00",-0.21,2,"174,000","174,000"
2024-09-13,"87.200,00","87.250,00","87.100,00","87.180,92",0.15,13,"1,133,352","1,133,352"
2024-09-12,"87.050,00",",",",","87.050,03",0.0,0,0,0
2024-09-11,"87.050,00","87.051,00","87.050,00","87.050,03",0.0,37,"3,220,851","3,220,851"
2024-09-10,"87.050,00","87.050,00","87.050,00","87.050,00",-0.46,1,"87,050","87,050"
2024-09-06,"87.051,00","87.501,00","87.051,00","87.450,78",0.52,9,"787,057","787,057"
2024-09-05,"87.001,00","87.001,00","87.001,00","87.001,00",-1.6,10,"870,010","870,010"
2024-09-04,"88.000,00","88.500,00","88.000,00","88.416,67",-0.66,12,"1,061,000","1,061,000"
2024-09-03,"88.999,00",",",",","88.999,69",0.0,0,0,0
2024-09-02,"88.999,00","89.000,00","88.999,00","88.999,69",0.01,16,"1,423,995","1,423,995"
2024-08-30,"89.000,00","89.000,00","88.950,00","88.994,23",0.18,26,"2,313,850","2,313,850"
2024-08-29,"88.500,00","89.000,00","88.500,00","88.833,33",-0.19,6,"533,000","533,000"
2024-08-27,"89.000,00","89.000,00","89.000,00","89.000,00",0.0,41,"3,649,000","3,649,000"
2024-08-26,"89.000,00","89.000,00","89.000,00","89.000,00",0.0,11,"979,000","979,000"
2024-08-23,"88.999,00","88.999,00","88.999,00","88.999,00",0.91,4,"355,996","355,996"
2024-08-22,"88.200,00","88.200,00","88.200,00","88.200,00",0.08,10,"882,000","882,000"
2024-08-21,"88.000,00","88.500,00","87.400,00","88.128,57",-0.35,7,"616,900","616,900"
2024-08-20,"88.500,00","88.500,00","88.000,00","88.439,02",2.84,41,"3,626,000","3,626,000"
2024-08-19,"86.000,00","86.000,00","86.000,00","86.000,00",1.42,30,"2,580,000","2,580,000"
2024-08-16,"84.800,00","84.800,00","84.800,00","84.800,00",0.36,20,"1,696,000","1,696,000"
2024-08-15,"84.500,00","84.500,00","84.500,00","84.500,00",0.6,1,"84,500","84,500"
2024-08-14,"84.000,00","84.000,00","84.000,00","84.000,00",0.0,8,"672,000","672,000"
2024-08-13,"84.000,00",",",",","84.000,00",0.0,0,0,0
2024-08-12,"84.000,00","84.000,00","84.000,00","84.000,00",0.36,15,"1,260,000","1,260,000"
2024-08-09,"83.800,00","83.800,00","83.601,00","83.700,33",-0.14,3,"251,101","251,101"
2024-08-08,"83.800,00","84.000,00","83.800,00","83.814,78",-0.22,27,"2,262,999","2,262,999"
2024-08-07,"84.000,00","84.000,00","84.000,00","84.000,00",0.0,11,"924,000","924,000"
2024-08-06,"84.000,00","84.000,00","84.000,00","84.000,00",-1.03,3,"252,000","252,000"
2024-08-05,"83.000,00","85.001,00","83.000,00","84.875,19",-2.44,32,"2,716,006","2,716,006"
2024-08-01,"87.000,00","87.000,00","87.000,00","87.000,00",2.35,3,"261,000","261,000"
2024-07-31,"85.000,00","85.000,00","85.000,00","85.000,00",-2.3,10,"850,000","850,000"
2024-07-30,"87.000,00","87.000,00","87.000,00","87.000,00",2.87,3,"261,000","261,000"
2024-07-29,"85.900,00","86.000,00","84.000,00","84.576,47",0.26,17,"1,437,800","1,437,800"
2024-07-26,"84.700,00","84.700,00","83.999,00","84.353,54",0.42,28,"2,361,899","2,361,899"
2024-07-25,"84.000,00","84.000,00","84.000,00","84.000,00",0.13,3,"252,000","252,000"
2024-07-24,"84.000,00","84.500,00","83.500,00","83.891,06",1.07,32,"2,684,514","2,684,514"
2024-07-23,"83.000,00","83.000,00","83.000,00","83.000,00",0.64,4,"332,000","332,000"
2024-07-22,"82.600,00","82.600,00","82.000,00","82.471,43",0.57,28,"2,309,200","2,309,200"
2024-07-19,"82.000,00","82.001,00","82.000,00","82.000,07",-0.42,29,"2,378,002","2,378,002"
2024-07-18,"83.000,00","83.000,00","81.500,00","82.344,47",1.04,45,"3,705,501","3,705,501"
2024-07-17,"81.500,00","81.500,00","81.498,00","81.499,61",0.0,31,"2,526,488","2,526,488"
2024-07-16,"81.500,00","81.500,00","81.498,00","81.499,00",1.24,8,"651,992","651,992"
2024-07-15,"80.500,00",",",",","80.500,59",0.0,0,0,0
2024-07-12,"80.500,00","80.501,00","80.500,00","80.500,59",-0.21,68,"5,474,040","5,474,040"
2024-07-11,"80.001,00","81.500,00","80.001,00","80.667,22",-1.02,18,"1,452,010","1,452,010"
