Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"500,00",",",",","500,00",0.0,0,0,0
2024-11-07,"500,00",",",",","500,00",0.0,0,0,0
2024-11-06,"500,00",",",",","500,00",0.0,0,0,0
2024-11-05,"500,00",",",",","500,00",0.0,0,0,0
2024-11-04,"500,00",",",",","500,00",0.0,0,0,0
2024-11-01,"500,00",",",",","500,00",0.0,0,0,0
2024-10-31,"500,00",",",",","500,00",0.0,0,0,0
2024-10-30,"500,00",",",",","500,00",0.0,0,0,0
2024-10-29,"500,00",",",",","500,00",0.0,0,0,0
2024-10-28,"500,00",",",",","500,00",0.0,0,0,0
2024-10-25,"500,00",",",",","500,00",0.0,0,0,0
2024-10-24,"500,00",",",",","500,00",0.0,0,0,0
2024-10-22,"500,00",",",",","500,00",0.0,0,0,0
2024-10-21,"500,00",",",",","500,00",0.0,0,0,0
2024-10-18,"500,00",",",",","500,00",0.0,0,0,0
2015-12-29,"500,00",",",",","500,00",0.0,0,0,0
2015-12-28,"500,00",",",",","500,00",0.0,0,0,0
2015-12-25,"500,00",",",",","500,00",0.0,0,0,0
2015-12-24,"500,00",",",",","500,00",0.0,0,0,0
2015-12-23,"500,00",",",",","500,00",0.0,0,0,0
2015-12-22,"500,00",",",",","500,00",0.0,0,0,0
2015-12-21,"500,00",",",",","500,00",0.0,0,0,0
2015-12-18,"500,00",",",",","500,00",0.0,0,0,0
2015-12-17,"500,00",",",",","500,00",0.0,0,0,0
2015-12-16,"500,00",",",",","500,00",0.0,0,0,0
2015-12-15,"500,00",",",",","500,00",0.0,0,0,0
2015-12-14,"500,00",",",",","500,00",0.0,0,0,0
2015-12-11,"500,00",",",",","500,00",0.0,0,0,0
2015-12-10,"500,00",",",",","500,00",0.0,0,0,0
2015-12-09,"500,00",",",",","500,00",0.0,0,0,0
2015-12-07,"500,00",",",",","500,00",0.0,0,0,0
2015-12-04,"500,00",",",",","500,00",0.0,0,0,0
2015-12-03,"500,00",",",",","500,00",0.0,0,0,0
2015-12-01,"500,00",",",",","500,00",0.0,0,0,0
2015-11-30,"500,00",",",",","500,00",0.0,0,0,0
2015-11-27,"500,00",",",",","500,00",0.0,0,0,0
2015-11-26,"500,00",",",",","500,00",0.0,0,0,0
2015-11-25,"500,00",",",",","500,00",0.0,0,0,0
2015-11-24,"500,00",",",",","500,00",0.0,0,0,0
2015-11-23,"500,00",",",",","500,00",0.0,0,0,0
2015-11-20,"500,00",",",",","500,00",0.0,0,0,0
2015-11-19,"500,00",",",",","500,00",0.0,0,0,0
2015-11-18,"500,00",",",",","500,00",0.0,0,0,0
2015-11-17,"500,00",",",",","500,00",0.0,0,0,0
2015-11-16,"500,00",",",",","500,00",0.0,0,0,0
2015-11-13,"500,00",",",",","500,00",0.0,0,0,0
2015-11-12,"500,00",",",",","500,00",0.0,0,0,0
2015-11-11,"500,00",",",",","500,00",0.0,0,0,0
2015-11-10,"500,00",",",",","500,00",0.0,0,0,0
