Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"8.000,00",",",",","8.000,00",0.0,0,0,0
2024-11-07,"8.000,00","8.000,00","8.000,00","8.000,00",3.16,5,"40,000","40,000"
2024-11-06,"7.710,00",",",",","7.754,83",0.0,0,0,0
2024-11-05,"7.710,00",",",",","7.754,83",0.0,0,0,0
2024-11-04,"7.710,00",",",",","7.754,83",0.0,0,0,"315,276,500"
2024-11-01,"7.710,00",",",",","7.754,83",0.0,0,0,0
2024-10-31,"7.710,00","7.760,00","7.710,00","7.754,83",-3.06,290,"2,248,900","2,248,900"
2024-10-30,"8.000,00","8.000,00","8.000,00","8.000,00",2.59,14,"112,000","564,161,710"
2024-10-29,"7.900,00",",",",","7.797,96",0.0,0,0,0
2024-10-28,"7.900,00",",",",","7.797,96",0.0,0,0,0
2024-10-25,"7.900,00","7.900,00","7.700,00","7.797,96",1.63,392,"3,056,800","37,868,200"
2024-10-24,"7.800,00","7.800,00","7.650,00","7.673,19",-7.35,690,"5,294,500","5,294,500"
2024-10-22,"7.720,00",",",",","8.282,33",0.0,0,0,"9,047,000"
2024-10-21,"7.720,00",",",",","8.282,33",0.0,0,0,0
2024-10-18,"7.720,00","8.500,00","7.720,00","8.282,33",-2.56,"15,158","125,543,620","125,543,620"
2024-10-17,"8.500,00","8.500,00","8.500,00","8.500,00",-2.3,25,"212,500","212,500"
2024-10-16,"8.700,00","8.700,00","8.700,00","8.700,00",0.0,17,"147,900","147,900"
2024-10-15,"8.700,00","8.700,00","8.700,00","8.700,00",-3.33,3,"26,100","26,100"
2024-10-14,"9.000,00","9.000,00","9.000,00","9.000,00",0.0,17,"153,000","153,000"
2024-10-10,"9.000,00","9.000,00","9.000,00","9.000,00",1.15,36,"324,000","6,784,000"
2024-10-09,"9.000,00","9.000,00","8.751,00","8.897,47",-1.37,34,"302,514","302,514"
2024-10-08,"9.200,00","9.200,00","8.800,00","9.020,85",1.36,129,"1,163,690","152,099,690"
2024-10-07,"8.900,00","8.900,00","8.900,00","8.900,00",-2.0,20,"178,000","144,692,500"
2024-10-04,"9.100,00","9.100,00","8.610,00","9.081,30",4.81,562,"5,103,690","33,756,990"
2024-10-03,"8.680,00","8.680,00","8.500,00","8.664,50",0.63,329,"2,850,620","27,962,140"
2024-10-02,"8.610,00","8.610,00","8.610,00","8.610,00",1.27,45,"387,450","4,467,450"
2024-10-01,"8.570,00","8.570,00","8.480,00","8.501,89",0.02,953,"8,102,300","74,670,300"
2024-09-30,"8.500,00","8.500,00","8.499,00","8.499,94",2.12,722,"6,136,955","48,290,655"
2024-09-27,"8.400,00","8.400,00","8.200,00","8.323,88",2.06,278,"2,314,040","2,314,040"
2024-09-26,"8.103,00","8.343,00","8.100,00","8.156,06",0.69,193,"1,574,119","1,574,119"
2024-09-25,"8.100,00",",",",","8.100,00",0.0,0,0,"5,248,800"
2024-09-24,"8.100,00","8.100,00","8.100,00","8.100,00",0.0,173,"1,401,300","1,401,300"
2024-09-23,"8.100,00","8.100,00","8.100,00","8.100,00",0.62,156,"1,263,600","84,407,600"
2024-09-20,"8.050,00","8.050,00","8.050,00","8.050,00",0.32,50,"402,500","402,500"
2024-09-19,"8.050,00","8.050,00","7.800,00","8.024,22",0.02,424,"3,402,270","3,402,270"
2024-09-18,"8.000,00",",",",","8.022,87",0.0,0,0,0
2024-09-17,"8.000,00",",",",","8.022,87",0.0,0,0,0
2024-09-16,"8.000,00",",",",","8.022,87",0.0,0,0,0
2024-09-13,"8.000,00","8.050,00","7.990,00","8.022,87",-0.34,52,"417,189","417,189"
2024-09-12,"8.050,00",",",",","8.050,00",0.0,0,0,0
2024-09-11,"8.050,00",",",",","8.050,00",0.0,0,0,0
2024-09-10,"8.050,00",",",",","8.050,00",0.0,0,0,0
2024-09-06,"8.050,00","8.050,00","8.050,00","8.050,00",1.9,361,"2,906,050","2,906,050"
2024-09-05,"7.900,00","7.900,00","7.900,00","7.900,00",2.49,22,"173,800","173,800"
2024-09-04,"7.700,00",",",",","7.707,74",0.0,0,0,"2,955,000"
2024-09-03,"7.700,00",",",",","7.707,74",0.0,0,0,0
2024-09-02,"7.700,00",",",",","7.707,74",0.0,0,0,0
2024-08-30,"7.700,00",",",",","7.707,74",0.0,0,0,0
2024-08-29,"7.700,00",",",",","7.707,74",0.0,0,0,0
2024-08-27,"7.700,00","7.813,00","7.700,00","7.707,74",-1.35,73,"562,665","562,665"
2024-08-26,"7.750,00","7.830,00","7.750,00","7.813,16",2.38,190,"1,484,500","1,484,500"
2024-08-23,"7.725,00","7.725,00","7.503,00","7.631,23",1.75,"1,419","10,828,720","13,101,220"
2024-08-22,"7.500,00",",",",","7.500,00",0.0,0,0,"2,325,000"
2024-08-21,"7.500,00",",",",","7.500,00",0.0,0,0,0
2024-08-20,"7.500,00",",",",","7.500,00",0.0,0,0,0
2024-08-19,"7.500,00",",",",","7.500,00",0.0,0,0,0
