Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-11-07,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-11-06,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-11-05,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-11-04,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-11-01,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-31,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-30,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-29,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-28,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-25,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-24,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,133,"787,227","787,227"
2024-10-22,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,132,"781,308","781,308"
2024-10-21,"5.919,00","5.920,00","5.919,00","5.919,22",0.0,276,"1,633,704","1,633,704"
2024-10-18,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,109,"645,171","645,171"
2024-10-17,"5.919,00","5.919,00","5.919,00","5.919,00",0.04,132,"781,308","781,308"
2024-10-16,"5.919,00","5.919,00","5.850,00","5.916,49",-0.04,"3,208","18,980,097","18,980,097"
2024-10-15,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-14,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-10,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-09,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-08,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-07,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-04,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-03,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-10-02,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,192,"1,136,448","1,136,448"
2024-10-01,"5.919,00","5.919,00","5.919,00","5.919,00",0.01,454,"2,687,226","2,687,226"
2024-09-30,"5.919,00","5.919,00","5.910,00","5.918,65",0.12,"1,422","8,416,324","8,416,324"
2024-09-27,"5.919,00",",",",","5.911,35",0.0,0,0,0
2024-09-26,"5.919,00",",",",","5.911,35",0.0,0,0,0
2024-09-25,"5.919,00","5.919,00","5.750,00","5.911,35",2.81,"2,070","12,236,487","12,236,487"
2024-09-24,"5.750,00","5.750,00","5.750,00","5.750,00",-2.85,20,"115,000","115,000"
2024-09-23,"5.919,00",",",",","5.918,95",0.0,0,0,0
2024-09-20,"5.919,00","5.919,00","5.918,00","5.918,95",0.9,"4,032","23,865,195","23,865,195"
2024-09-19,"5.866,00","5.866,00","5.866,00","5.866,00",9.99,33,"193,578","193,578"
2024-09-18,"5.333,00","5.333,00","5.333,00","5.333,00",-9.9,5,"26,665","26,665"
2024-09-17,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-09-16,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-09-13,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-09-12,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-09-11,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-09-10,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-09-06,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,144,"852,336","852,336"
2024-09-05,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,10,"59,190","59,190"
2024-09-04,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,15,"88,785","88,785"
2024-09-03,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,111,"657,009","657,009"
2024-09-02,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,35,"207,165","207,165"
2024-08-30,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,120,"710,280","710,280"
2024-08-29,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-27,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,595,"3,521,805","3,521,805"
2024-08-26,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-23,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-22,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-21,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-20,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-19,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-16,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-15,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-14,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-13,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-12,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-09,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-08,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,"1,035","6,126,165","6,126,165"
2024-08-07,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-06,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-05,"5.919,00",",",",","5.919,00",0.0,0,0,0
2024-08-01,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,234,"1,385,046","1,385,046"
2024-07-31,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,514,"3,042,366","3,042,366"
2024-07-30,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,108,"639,252","639,252"
2024-07-29,"5.919,00","5.919,00","5.919,00","5.919,00",0.0,30,"177,570","177,570"
2024-07-26,"5.919,00","5.919,00","5.919,00","5.919,00",0.01,274,"1,621,806","1,621,806"
2024-07-25,"5.919,00","5.919,00","5.900,00","5.918,69",1.13,"14,572","86,247,158","86,247,158"
2024-07-24,"5.860,00","5.860,00","5.169,00","5.852,37",9.84,"5,020","29,378,885","29,378,885"
