Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"308,00",",",",","308,00",0.0,0,0,0
2024-11-07,"308,00",",",",","308,00",0.0,0,0,0
2024-11-06,"308,00",",",",","308,00",0.0,0,0,0
2024-11-05,"308,00",",",",","308,00",0.0,0,0,0
2024-11-04,"308,00",",",",","308,00",0.0,0,0,0
2024-11-01,"308,00",",",",","308,00",0.0,0,0,0
2024-10-31,"308,00",",",",","308,00",0.0,0,0,0
2024-10-30,"308,00",",",",","308,00",0.0,0,0,0
2024-10-29,"308,00",",",",","308,00",0.0,0,0,0
2024-10-28,"308,00",",",",","308,00",0.0,0,0,0
2024-10-25,"308,00",",",",","308,00",0.0,0,0,0
2024-10-24,"308,00",",",",","308,00",0.0,0,0,0
2024-10-22,"308,00",",",",","308,00",0.0,0,0,0
2024-10-21,"308,00",",",",","308,00",0.0,0,0,0
2024-10-18,"308,00",",",",","308,00",0.0,0,0,0
2024-10-17,"308,00",",",",","308,00",0.0,0,0,0
2024-10-16,"308,00",",",",","308,00",0.0,0,0,0
2024-10-15,"308,00",",",",","308,00",0.0,0,0,0
2024-10-14,"308,00","308,00","308,00","308,00",2.67,"1,230","378,840","378,840"
2024-10-10,"300,00",",",",","300,00",0.0,0,0,0
2024-10-09,"300,00",",",",","300,00",0.0,0,0,0
2024-10-08,"300,00",",",",","300,00",0.0,0,0,0
2024-10-07,"300,00",",",",","300,00",0.0,0,0,0
2024-10-04,"300,00",",",",","300,00",0.0,0,0,0
2024-10-03,"300,00",",",",","300,00",0.0,0,0,0
2024-10-02,"300,00",",",",","300,00",0.0,0,0,0
2024-10-01,"300,00",",",",","300,00",0.0,0,0,0
2024-09-30,"300,00",",",",","300,00",0.0,0,0,0
2024-09-27,"300,00",",",",","300,00",0.0,0,0,0
2024-09-26,"300,00",",",",","300,00",0.0,0,0,0
2024-09-25,"300,00",",",",","300,00",0.0,0,0,0
2024-09-24,"300,00",",",",","300,00",0.0,0,0,0
2024-09-23,"300,00",",",",","300,00",0.0,0,0,0
2024-09-20,"300,00",",",",","300,00",0.0,0,0,0
2024-09-19,"300,00",",",",","300,00",0.0,0,0,0
2024-09-18,"300,00",",",",","300,00",0.0,0,0,0
2024-09-17,"300,00",",",",","300,00",0.0,0,0,0
2024-09-16,"300,00",",",",","300,00",0.0,0,0,0
2024-09-13,"300,00",",",",","300,00",0.0,0,0,0
2024-09-12,"300,00",",",",","300,00",0.0,0,0,0
2024-09-11,"300,00",",",",","300,00",0.0,0,0,0
2024-09-10,"300,00",",",",","300,00",0.0,0,0,0
2024-09-06,"300,00",",",",","300,00",0.0,0,0,0
2024-09-05,"300,00",",",",","300,00",0.0,0,0,0
2024-09-04,"300,00",",",",","300,00",0.0,0,0,0
