Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-11-07,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-11-06,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-11-05,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-11-04,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-11-01,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-31,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-30,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-29,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-28,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-25,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-24,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-22,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-21,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-18,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-17,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-16,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-15,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-14,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-10,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-09,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-08,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-07,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-04,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-03,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-02,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-10-01,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-30,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-27,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-26,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-25,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-24,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-23,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-20,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-19,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-18,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-17,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-16,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-13,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-12,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-11,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-10,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-06,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-05,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-04,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-03,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-09-02,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-08-30,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-08-29,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-08-27,"17.550,00",",",",","17.550,00",0.0,0,0,0
2024-08-26,"17.550,00","17.550,00","17.550,00","17.550,00",6.36,10,"175,500","175,500"
2024-08-23,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-22,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-21,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-20,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-19,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-16,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-15,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-14,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-13,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-12,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-09,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-08,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-07,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-06,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-05,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-08-01,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-31,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-30,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-29,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-26,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-25,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-24,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-23,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-22,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-19,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-18,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-17,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-16,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-15,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-12,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-11,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-10,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-09,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-08,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-05,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-04,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-03,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-02,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-07-01,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-28,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-27,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-26,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-25,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-24,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-20,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-19,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-18,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-17,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-14,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-13,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-12,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-11,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-10,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-07,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-06,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-05,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-04,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-06-03,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-31,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-30,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-29,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-28,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-27,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-23,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-22,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-21,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-20,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-17,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-16,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-15,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-14,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-13,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-10,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-09,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-07,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-05-02,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-30,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-29,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-26,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-25,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-23,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-22,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-19,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-18,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-17,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-16,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-15,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-12,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-11,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-09,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-08,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-05,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-04,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-03,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-02,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-04-01,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-29,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-28,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-27,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-26,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-25,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-22,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-21,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-20,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-19,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-18,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-15,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-14,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-13,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-12,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-11,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-08,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-07,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-06,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-05,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-04,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-03-01,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-29,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-28,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-27,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-26,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-23,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-22,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-21,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-20,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-19,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-16,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-15,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-14,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-13,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-12,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-09,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-08,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-07,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-06,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-05,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-02,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-02-01,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-31,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-30,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-29,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-26,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-25,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-24,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-23,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-22,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-18,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-17,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-16,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-15,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-12,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-11,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-10,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-09,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-05,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-04,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-03,"16.500,00",",",",","16.500,00",0.0,0,0,0
2024-01-02,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-28,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-27,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-26,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-25,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-22,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-21,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-20,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-19,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-18,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-15,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-14,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-13,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-12,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-11,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-07,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-06,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-05,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-04,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-12-01,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-30,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-29,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-28,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-27,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-24,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-23,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-22,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-21,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-20,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-17,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-16,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-15,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-14,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-13,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-10,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-09,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-08,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-07,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-06,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-03,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-02,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-11-01,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-31,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-30,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-27,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-26,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-25,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-24,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-20,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-19,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-18,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-17,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-16,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-13,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-12,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-10,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-09,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-06,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-05,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-04,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-10-03,"16.500,00","16.500,00","16.500,00","16.500,00",0.0,10,"165,000","165,000"
2023-10-02,"16.500,00",",",",","16.500,00",0.0,0,0,0
2023-09-29,"16.500,00",",",",","16.500,00",0.0,0,0,0
