Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"16,00",",",",","16,00",0.0,0,0,0
2024-11-07,"16,00",",",",","16,00",0.0,0,0,0
2024-11-06,"16,00",",",",","16,00",0.0,0,0,0
2024-11-05,"16,00",",",",","16,00",0.0,0,0,0
2024-11-04,"16,00",",",",","16,00",0.0,0,0,0
2024-11-01,"16,00",",",",","16,00",0.0,0,0,0
2024-10-31,"16,00",",",",","16,00",0.0,0,0,0
2024-10-30,"16,00",",",",","16,00",0.0,0,0,0
2024-10-29,"16,00",",",",","16,00",0.0,0,0,0
2024-10-28,"16,00",",",",","16,00",0.0,0,0,0
2024-10-25,"16,00","16,00","16,00","16,00",0.0,"5,000","80,000","80,000"
2024-10-24,"16,00",",",",","16,00",0.0,0,0,0
2024-10-22,"16,00",",",",","16,00",0.0,0,0,0
2024-10-21,"16,00",",",",","16,00",0.0,0,0,0
2024-10-18,"16,00",",",",","16,00",0.0,0,0,0
2024-10-17,"16,00",",",",","16,00",0.0,0,0,0
2024-10-16,"16,00",",",",","16,00",0.0,0,0,0
2024-10-15,"16,00",",",",","16,00",0.0,0,0,0
2024-10-14,"16,00",",",",","16,00",0.0,0,0,0
2024-10-10,"16,00",",",",","16,00",0.0,0,0,0
2024-10-09,"16,00",",",",","16,00",0.0,0,0,0
2024-10-08,"16,00",",",",","16,00",0.0,0,0,0
2024-10-07,"16,00","16,00","16,00","16,00",0.0,"5,000","80,000","80,000"
2024-10-04,"16,00",",",",","16,00",0.0,0,0,0
2024-10-03,"16,00",",",",","16,00",0.0,0,0,0
2024-10-02,"16,00",",",",","16,00",0.0,0,0,0
2024-10-01,"16,00",",",",","16,00",0.0,0,0,0
2024-09-30,"16,00",",",",","16,00",0.0,0,0,0
2024-09-27,"16,00",",",",","16,00",0.0,0,0,0
2024-09-26,"16,00",",",",","16,00",0.0,0,0,0
2024-09-25,"16,00",",",",","16,00",0.0,0,0,0
2024-09-24,"16,00","16,00","16,00","16,00",0.0,"5,000","80,000","80,000"
2024-09-23,"16,00",",",",","16,00",0.0,0,0,0
2024-09-20,"16,00",",",",","16,00",0.0,0,0,0
2024-09-19,"16,00",",",",","16,00",0.0,0,0,0
2024-09-18,"16,00",",",",","16,00",0.0,0,0,0
2024-09-17,"16,00",",",",","16,00",0.0,0,0,0
2024-09-16,"16,00",",",",","16,00",0.0,0,0,0
2024-09-13,"16,00",",",",","16,00",0.0,0,0,0
2024-09-12,"16,00",",",",","16,00",0.0,0,0,0
2024-09-11,"16,00",",",",","16,00",0.0,0,0,0
2024-09-10,"16,00",",",",","16,00",0.0,0,0,0
2024-09-06,"16,00",",",",","16,00",0.0,0,0,0
2024-09-05,"16,00",",",",","16,00",0.0,0,0,0
2024-09-04,"16,00",",",",","16,00",0.0,0,0,0
2024-09-03,"16,00","16,00","16,00","16,00",0.0,"2,000","32,000","32,000"
2024-09-02,"16,00",",",",","16,00",0.0,0,0,0
2024-08-30,"16,00",",",",","16,00",0.0,0,0,0
2024-08-29,"16,00",",",",","16,00",0.0,0,0,0
2024-08-27,"16,00",",",",","16,00",0.0,0,0,0
2024-08-26,"16,00",",",",","16,00",0.0,0,0,0
2024-08-23,"16,00",",",",","16,00",0.0,0,0,0
2024-08-22,"16,00",",",",","16,00",0.0,0,0,0
2024-08-21,"16,00",",",",","16,00",0.0,0,0,0
2024-08-20,"16,00",",",",","16,00",0.0,0,0,0
2024-08-19,"16,00",",",",","16,00",0.0,0,0,0
2024-08-16,"16,00",",",",","16,00",0.0,0,0,0
2024-08-15,"16,00",",",",","16,00",0.0,0,0,0
2024-08-14,"16,00",",",",","16,00",0.0,0,0,0
2024-08-13,"16,00",",",",","16,00",0.0,0,0,0
2024-08-12,"16,00",",",",","16,00",0.0,0,0,0
2024-08-09,"16,00",",",",","16,00",0.0,0,0,0
2024-08-08,"16,00",",",",","16,00",0.0,0,0,0
2024-08-07,"16,00",",",",","16,00",0.0,0,0,0
2024-08-06,"16,00",",",",","16,00",0.0,0,0,0
2024-08-05,"16,00",",",",","16,00",0.0,0,0,0
2024-08-01,"16,00",",",",","16,00",0.0,0,0,0
2024-07-31,"16,00",",",",","16,00",0.0,0,0,0
2024-07-30,"16,00",",",",","16,00",0.0,0,0,0
2024-07-29,"16,00","16,00","16,00","16,00",0.0,"1,500","24,000","24,000"
2024-07-26,"16,00",",",",","16,00",0.0,0,0,0
2024-07-25,"16,00",",",",","16,00",0.0,0,0,0
2024-07-24,"16,00",",",",","16,00",0.0,0,0,0
2024-07-23,"16,00",",",",","16,00",0.0,0,0,0
2024-07-22,"16,00",",",",","16,00",0.0,0,0,0
2024-07-19,"16,00",",",",","16,00",0.0,0,0,0
2024-07-18,"16,00",",",",","16,00",0.0,0,0,0
2024-07-17,"16,00",",",",","16,00",0.0,0,0,0
2024-07-16,"16,00",",",",","16,00",0.0,0,0,0
2024-07-15,"16,00",",",",","16,00",0.0,0,0,0
2024-07-12,"16,00",",",",","16,00",0.0,0,0,0
2024-07-11,"16,00",",",",","16,00",0.0,0,0,0
2024-07-10,"16,00",",",",","16,00",0.0,0,0,0
2024-07-09,"16,00",",",",","16,00",0.0,0,0,0
2024-07-08,"16,00",",",",","16,00",0.0,0,0,0
2024-07-05,"16,00",",",",","16,00",0.0,0,0,0
2024-07-04,"16,00",",",",","16,00",0.0,0,0,0
2024-07-03,"16,00",",",",","16,00",0.0,0,0,0
2024-07-02,"16,00",",",",","16,00",0.0,0,0,0
2024-07-01,"16,00",",",",","16,00",0.0,0,0,0
2024-06-28,"16,00",",",",","16,00",0.0,0,0,0
2024-06-27,"16,00",",",",","16,00",0.0,0,0,0
2024-06-26,"16,00",",",",","16,00",0.0,0,0,0
2024-06-25,"16,00",",",",","16,00",0.0,0,0,0
2024-06-24,"16,00",",",",","16,00",0.0,0,0,0
2024-06-20,"16,00","16,00","16,00","16,00",0.0,"1,000","16,000","16,000"
2024-06-19,"16,00",",",",","16,00",0.0,0,0,0
2024-06-18,"16,00",",",",","16,00",0.0,0,0,0
2024-06-17,"16,00",",",",","16,00",0.0,0,0,0
2024-06-14,"16,00",",",",","16,00",0.0,0,0,0
2024-06-13,"16,00",",",",","16,00",0.0,0,0,0
2024-06-12,"16,00",",",",","16,00",0.0,0,0,0
2024-06-11,"16,00",",",",","16,00",0.0,0,0,0
2024-06-10,"16,00",",",",","16,00",0.0,0,0,0
2024-06-07,"16,00",",",",","16,00",0.0,0,0,0
2024-06-06,"16,00",",",",","16,00",0.0,0,0,0
2024-06-05,"16,00",",",",","16,00",0.0,0,0,0
2024-06-04,"16,00",",",",","16,00",0.0,0,0,0
2024-06-03,"16,00","16,00","16,00","16,00",0.0,300,"4,800","4,800"
2024-05-31,"16,00",",",",","16,00",0.0,0,0,0
2024-05-30,"16,00",",",",","16,00",0.0,0,0,0
2024-05-29,"16,00",",",",","16,00",0.0,0,0,0
2024-05-28,"16,00",",",",","16,00",0.0,0,0,0
2024-05-27,"16,00",",",",","16,00",0.0,0,0,0
2024-05-23,"16,00",",",",","16,00",0.0,0,0,0
2024-05-22,"16,00",",",",","16,00",0.0,0,0,0
2024-05-21,"16,00",",",",","16,00",0.0,0,0,0
2024-05-20,"16,00",",",",","16,00",0.0,0,0,0
2024-05-17,"16,00",",",",","16,00",0.0,0,0,0
2024-05-16,"16,00",",",",","16,00",0.0,0,0,0
2024-05-15,"16,00",",",",","16,00",0.0,0,0,0
2024-05-14,"16,00",",",",","16,00",0.0,0,0,0
2024-05-13,"16,00","16,00","16,00","16,00",0.0,"1,600","25,600","25,600"
2024-05-10,"16,00",",",",","16,00",0.0,0,0,0
2024-05-09,"16,00",",",",","16,00",0.0,0,0,0
2024-05-07,"16,00",",",",","16,00",0.0,0,0,0
2024-05-02,"16,00",",",",","16,00",0.0,0,0,0
2024-04-30,"16,00",",",",","16,00",0.0,0,0,0
2024-04-29,"16,00",",",",","16,00",0.0,0,0,0
2024-04-26,"16,00",",",",","16,00",0.0,0,0,0
2024-04-25,"16,00",",",",","16,00",0.0,0,0,0
2024-04-23,"16,00",",",",","16,00",0.0,0,0,0
2024-04-22,"16,00",",",",","16,00",0.0,0,0,0
2024-04-19,"16,00",",",",","16,00",0.0,0,0,0
2024-04-18,"16,00",",",",","16,00",0.0,0,0,0
2024-04-17,"16,00",",",",","16,00",0.0,0,0,0
2024-04-16,"16,00",",",",","16,00",0.0,0,0,0
2024-04-15,"16,00",",",",","16,00",0.0,0,0,0
2024-04-12,"16,00",",",",","16,00",0.0,0,0,0
2024-04-11,"16,00",",",",","16,00",0.0,0,0,0
2024-04-09,"16,00",",",",","16,00",0.0,0,0,0
2024-04-08,"16,00",",",",","16,00",0.0,0,0,0
2024-04-05,"16,00",",",",","16,00",0.0,0,0,0
2024-04-04,"16,00","16,00","16,00","16,00",0.0,"5,481","87,696","87,696"
2024-04-03,"16,00",",",",","16,00",0.0,0,0,0
2024-04-02,"16,00",",",",","16,00",0.0,0,0,0
2024-04-01,"16,00",",",",","16,00",0.0,0,0,0
2024-03-29,"16,00",",",",","16,00",0.0,0,0,0
2024-03-28,"16,00",",",",","16,00",0.0,0,0,0
2024-03-27,"16,00",",",",","16,00",0.0,0,0,0
2024-03-26,"16,00",",",",","16,00",0.0,0,0,0
2024-03-25,"16,00",",",",","16,00",0.0,0,0,0
2024-03-22,"16,00",",",",","16,00",0.0,0,0,0
2024-03-21,"16,00",",",",","16,00",0.0,0,0,0
2024-03-20,"16,00",",",",","16,00",0.0,0,0,0
2024-03-19,"16,00",",",",","16,00",0.0,0,0,0
2024-03-18,"16,00",",",",","16,00",0.0,0,0,0
2024-03-15,"16,00",",",",","16,00",0.0,0,0,0
2024-03-14,"16,00",",",",","16,00",0.0,0,0,0
2024-03-13,"16,00",",",",","16,00",0.0,0,0,0
2024-03-12,"16,00",",",",","16,00",0.0,0,0,0
2024-03-11,"16,00",",",",","16,00",0.0,0,0,0
2024-03-08,"16,00",",",",","16,00",0.0,0,0,0
2024-03-07,"16,00",",",",","16,00",0.0,0,0,0
2024-03-06,"16,00",",",",","16,00",0.0,0,0,0
2024-03-05,"16,00",",",",","16,00",0.0,0,0,0
2024-03-04,"16,00",",",",","16,00",0.0,0,0,0
2024-03-01,"16,00",",",",","16,00",0.0,0,0,0
2024-02-29,"16,00",",",",","16,00",0.0,0,0,0
2024-02-28,"16,00",",",",","16,00",0.0,0,0,0
2024-02-27,"16,00",",",",","16,00",0.0,0,0,0
2024-02-26,"16,00",",",",","16,00",0.0,0,0,0
2024-02-23,"16,00",",",",","16,00",0.0,0,0,0
2024-02-22,"16,00",",",",","16,00",0.0,0,0,0
2024-02-21,"16,00",",",",","16,00",0.0,0,0,0
2024-02-20,"16,00",",",",","16,00",0.0,0,0,0
2024-02-19,"16,00",",",",","16,00",0.0,0,0,0
2024-02-16,"16,00",",",",","16,00",0.0,0,0,0
2024-02-15,"16,00",",",",","16,00",0.0,0,0,0
2024-02-14,"16,00",",",",","16,00",0.0,0,0,0
2024-02-13,"16,00",",",",","16,00",0.0,0,0,0
2024-02-12,"16,00",",",",","16,00",0.0,0,0,0
2024-02-09,"16,00",",",",","16,00",0.0,0,0,0
2024-02-08,"16,00",",",",","16,00",0.0,0,0,0
2024-02-07,"16,00",",",",","16,00",0.0,0,0,0
2024-02-06,"16,00",",",",","16,00",0.0,0,0,0
2024-02-05,"16,00",",",",","16,00",0.0,0,0,0
2024-02-02,"16,00",",",",","16,00",0.0,0,0,0
2024-02-01,"16,00",",",",","16,00",0.0,0,0,0
2024-01-31,"16,00",",",",","16,00",0.0,0,0,0
2024-01-30,"16,00","16,00","16,00","16,00",0.0,"1,000","16,000","16,000"
2024-01-29,"16,00",",",",","16,00",0.0,0,0,0
2024-01-26,"16,00",",",",","16,00",0.0,0,0,0
2024-01-25,"16,00",",",",","16,00",0.0,0,0,0
2024-01-24,"16,00",",",",","16,00",0.0,0,0,0
2024-01-23,"16,00",",",",","16,00",0.0,0,0,0
2024-01-22,"16,00",",",",","16,00",0.0,0,0,0
