Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-11-07,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-11-06,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-11-05,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-11-04,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-11-01,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-31,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-30,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-29,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-28,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-25,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-24,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-22,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-21,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-18,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-17,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-16,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-15,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-14,"35.000,00",",",",","35.000,00",0.0,0,0,0
2024-10-10,"35.000,00","35.000,00","35.000,00","35.000,00",0.0,8,"280,000","280,000"
2024-10-09,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-10-08,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-10-07,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-10-04,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-10-03,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-10-02,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-10-01,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-09-30,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-09-27,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-09-26,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-09-25,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-09-24,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-09-23,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-09-20,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-09-19,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-09-18,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-09-17,"35.001,00",",",",","35.001,00",0.0,0,0,0
2024-09-16,"35.001,00","35.001,00","35.001,00","35.001,00",1.48,10,"350,010","350,010"
2024-09-13,"34.490,00",",",",","34.490,00",0.0,0,0,0
2024-09-12,"34.490,00",",",",","34.490,00",0.0,0,0,0
2024-09-11,"34.490,00",",",",","34.490,00",0.0,0,0,0
2024-09-10,"34.490,00",",",",","34.490,00",0.0,0,0,0
2024-09-06,"34.490,00",",",",","34.490,00",0.0,0,0,0
2024-09-05,"34.490,00",",",",","34.490,00",0.0,0,0,0
2024-09-04,"34.490,00",",",",","34.490,00",0.0,0,0,0
2024-09-03,"34.490,00",",",",","34.490,00",0.0,0,0,0
2024-09-02,"34.490,00",",",",","34.490,00",0.0,0,0,0
2024-08-30,"34.490,00",",",",","34.490,00",0.0,0,0,0
2024-08-29,"34.490,00","34.490,00","34.490,00","34.490,00",-0.03,33,"1,138,170","1,138,170"
2024-08-27,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-26,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-23,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-22,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-21,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-20,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-19,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-16,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-15,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-14,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-13,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-12,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-09,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-08,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-07,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-06,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-05,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-08-01,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-31,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-30,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-29,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-26,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-25,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-24,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-23,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-22,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-19,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-18,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-17,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-16,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-15,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-12,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-11,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-10,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-09,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-08,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-05,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-04,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-03,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-02,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-07-01,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-28,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-27,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-26,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-25,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-24,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-20,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-19,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-18,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-17,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-14,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-13,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-12,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-11,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-10,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-07,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-06,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-05,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-04,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-06-03,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-05-31,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-05-30,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-05-29,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-05-28,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-05-27,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-05-23,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-05-22,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-05-21,"34.500,00",",",",","34.500,00",0.0,0,0,0
2024-05-20,"34.500,00",",",",","34.500,00",0.0,0,0,0
