Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"840,00",",",",","840,00",0.0,0,0,0
2024-11-07,"840,00",",",",","840,00",0.0,0,0,0
2024-11-06,"840,00",",",",","840,00",0.0,0,0,0
2024-11-05,"840,00",",",",","840,00",0.0,0,0,0
2024-11-04,"840,00",",",",","840,00",0.0,0,0,0
2024-11-01,"840,00",",",",","840,00",0.0,0,0,0
2024-10-31,"840,00",",",",","840,00",0.0,0,0,0
2024-10-30,"840,00",",",",","840,00",0.0,0,0,0
2024-10-29,"840,00",",",",","840,00",0.0,0,0,0
2024-10-28,"840,00",",",",","840,00",0.0,0,0,0
2024-10-25,"840,00",",",",","840,00",0.0,0,0,0
2024-10-24,"840,00",",",",","840,00",0.0,0,0,0
2024-10-22,"840,00",",",",","840,00",0.0,0,0,0
2024-10-21,"840,00",",",",","840,00",0.0,0,0,0
2024-10-18,"840,00",",",",","840,00",0.0,0,0,0
2024-10-17,"840,00",",",",","840,00",0.0,0,0,0
2024-10-16,"840,00",",",",","840,00",0.0,0,0,0
2024-10-15,"840,00",",",",","840,00",0.0,0,0,0
2024-10-14,"840,00",",",",","840,00",0.0,0,0,0
2024-10-10,"840,00",",",",","840,00",0.0,0,0,0
2024-10-09,"840,00",",",",","840,00",0.0,0,0,0
2024-10-08,"840,00",",",",","840,00",0.0,0,0,0
2024-10-07,"840,00",",",",","840,00",0.0,0,0,0
2024-10-04,"840,00",",",",","840,00",0.0,0,0,0
2024-10-03,"840,00",",",",","840,00",0.0,0,0,0
2024-10-02,"840,00",",",",","840,00",0.0,0,0,0
2024-10-01,"840,00",",",",","840,00",0.0,0,0,0
2024-09-30,"840,00",",",",","840,00",0.0,0,0,0
2024-09-27,"840,00",",",",","840,00",0.0,0,0,0
2024-09-26,"840,00",",",",","840,00",0.0,0,0,0
2024-09-25,"840,00",",",",","840,00",0.0,0,0,0
2024-09-24,"840,00",",",",","840,00",0.0,0,0,0
2024-09-23,"840,00",",",",","840,00",0.0,0,0,0
2024-09-20,"840,00",",",",","840,00",0.0,0,0,0
2024-09-19,"840,00",",",",","840,00",0.0,0,0,0
2024-09-18,"840,00",",",",","840,00",0.0,0,0,0
2024-09-17,"840,00",",",",","840,00",0.0,0,0,0
2024-09-16,"840,00",",",",","840,00",0.0,0,0,0
2024-09-13,"840,00",",",",","840,00",0.0,0,0,0
2024-09-12,"840,00",",",",","840,00",0.0,0,0,0
2024-09-11,"840,00",",",",","840,00",0.0,0,0,0
2024-09-10,"840,00",",",",","840,00",0.0,0,0,0
2024-09-06,"840,00",",",",","840,00",0.0,0,0,0
2024-09-05,"840,00",",",",","840,00",0.0,0,0,0
2024-09-04,"840,00",",",",","840,00",0.0,0,0,0
2024-09-03,"840,00",",",",","840,00",0.0,0,0,0
2024-09-02,"840,00",",",",","840,00",0.0,0,0,0
2024-08-30,"840,00",",",",","840,00",0.0,0,0,0
