Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-11-07,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-11-06,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-11-05,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-11-04,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-11-01,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-31,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-30,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-29,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-28,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-25,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-24,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-22,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-21,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-18,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-17,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-16,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-15,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-14,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-10,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-09,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-08,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-07,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-04,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-03,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-02,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-10-01,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-30,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-27,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-26,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-25,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-24,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-23,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-20,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-19,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-18,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-17,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-16,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-13,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-12,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-11,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-10,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-06,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-05,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-04,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-03,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-09-02,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-30,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-29,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-27,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-26,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-23,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-22,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-21,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-20,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-19,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-16,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-15,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-14,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-13,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-12,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-09,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-08,"2.000,00",",",",","2.000,00",0.0,0,0,0
2024-08-07,"2.000,00",",",",","2.000,00",0.0,0,0,0
