Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"15.096,00","15.096,00","15.096,00","15.096,00",-0.01,9,"135,864","135,864"
2024-11-07,"15.098,00","15.098,00","15.098,00","15.098,00",-0.01,17,"256,666","256,666"
2024-11-06,"15.100,00",",",",","15.100,00",0.0,0,0,0
2024-11-05,"15.100,00","15.100,00","15.100,00","15.100,00",0.0,11,"166,100","166,100"
2024-11-04,"15.100,00","15.100,00","15.100,00","15.100,00",2.03,2,"30,200","30,200"
2024-11-01,"14.800,00","14.800,00","14.800,00","14.800,00",0.68,12,"177,600","177,600"
2024-10-31,"14.700,00","14.700,00","14.700,00","14.700,00",0.0,21,"308,700","308,700"
2024-10-30,"14.700,00","14.701,00","14.700,00","14.700,65",0.0,31,"455,720","455,720"
2024-10-29,"14.700,00",",",",","14.700,00",0.0,0,0,0
2024-10-28,"14.700,00","14.700,00","14.700,00","14.700,00",0.28,34,"499,800","499,800"
2024-10-25,"14.700,00","14.700,00","14.601,00","14.659,28",-0.28,141,"2,066,958","2,066,958"
2024-10-24,"14.700,00","14.700,00","14.700,00","14.700,00",1.38,40,"588,000","588,000"
2024-10-22,"14.500,00",",",",","14.500,00",0.0,0,0,0
2024-10-21,"14.500,00","14.500,00","14.500,00","14.500,00",-1.49,1,"14,500","14,500"
2024-10-18,"14.700,00",",",",","14.720,00",0.0,0,0,0
2024-10-17,"14.700,00","14.800,00","14.700,00","14.720,00",-0.2,5,"73,600","73,600"
2024-10-16,"14.700,00","14.790,00","14.700,00","14.748,89",-0.28,18,"265,480","265,480"
2024-10-15,"14.790,00","14.790,00","14.790,00","14.790,00",1.69,3,"44,370","44,370"
2024-10-14,"14.500,00","14.800,00","14.500,00","14.544,08",-1.73,168,"2,443,405","2,443,405"
2024-10-10,"14.800,00","14.800,00","14.800,00","14.800,00",0.0,3,"44,400","44,400"
2024-10-09,"14.800,00","14.800,00","14.800,00","14.800,00",-0.2,3,"44,400","44,400"
2024-10-08,"14.800,00","14.979,00","14.800,00","14.829,83",-1.06,12,"177,958","177,958"
2024-10-07,"14.989,00","14.989,00","14.987,00","14.988,49",1.27,47,"704,459","704,459"
2024-10-04,"14.800,00","14.800,00","14.800,00","14.800,00",-0.33,3,"44,400","44,400"
2024-10-03,"14.849,00","14.849,00","14.849,00","14.849,00",-0.01,10,"148,490","148,490"
2024-10-02,"14.850,00","14.850,00","14.850,00","14.850,00",-0.98,13,"193,050","193,050"
2024-10-01,"14.997,00","14.997,00","14.997,00","14.997,00",0.02,6,"89,982","89,982"
2024-09-30,"14.994,00","14.994,00","14.994,00","14.994,00",-0.02,6,"89,964","89,964"
2024-09-27,"14.997,00","14.998,00","14.997,00","14.997,12",0.0,16,"239,954","239,954"
2024-09-26,"14.999,00","14.999,00","14.997,00","14.997,50",1.97,20,"299,950","299,950"
2024-09-25,"14.700,00","14.850,00","14.700,00","14.707,86",-0.96,42,"617,730","617,730"
2024-09-24,"14.850,00","14.850,00","14.850,00","14.850,00",-0.14,5,"74,250","74,250"
2024-09-23,"14.800,00","15.000,00","14.800,00","14.870,97",-0.46,31,"461,000","461,000"
2024-09-20,"14.900,00",",",",","14.939,50",0.0,0,0,0
2024-09-19,"14.900,00",",",",","14.939,50",0.0,0,0,0
2024-09-18,"14.900,00",",",",","14.939,50",0.0,0,0,0
2024-09-17,"14.900,00","14.979,00","14.900,00","14.939,50",-0.25,20,"298,790","298,790"
2024-09-16,"14.976,00","14.980,00","14.975,00","14.976,85",0.03,20,"299,537","5,311,537"
2024-09-13,"14.900,00","14.998,00","14.900,00","14.972,88",-0.18,50,"748,644","748,644"
2024-09-12,"14.999,00","15.000,00","14.999,00","14.999,80",0.01,25,"374,995","374,995"
2024-09-11,"14.999,00",",",",","14.999,00",0.0,0,0,0
2024-09-10,"14.999,00","14.999,00","14.999,00","14.999,00",-0.01,1,"14,999","14,999"
2024-09-06,"15.000,00","15.000,00","15.000,00","15.000,00",-2.24,47,"705,000","705,000"
2024-09-05,"15.344,00","15.344,00","15.344,00","15.344,00",2.43,1,"15,344","15,344"
2024-09-04,"14.900,00",",",",","14.979,47",0.0,0,0,0
2024-09-03,"14.900,00",",",",","14.979,47",0.0,0,0,0
2024-09-02,"14.900,00",",",",","14.979,47",0.0,0,0,0
2024-08-30,"14.900,00","15.000,00","14.900,00","14.979,47",-0.35,187,"2,801,161","2,801,161"
2024-08-29,"15.000,00","15.347,00","15.000,00","15.031,55",0.88,11,"165,347","165,347"
2024-08-27,"14.900,00","14.900,00","14.900,00","14.900,00",1.31,50,"745,000","745,000"
2024-08-26,"14.700,00",",",",","14.707,32",0.0,0,0,0
2024-08-23,"14.700,00","15.000,00","14.700,00","14.707,32",-1.88,41,"603,000","603,000"
2024-08-22,"14.989,00","14.989,00","14.989,00","14.989,00",0.01,4,"59,956","3,019,956"
2024-08-21,"14.989,00","14.990,00","14.987,00","14.987,47",0.0,32,"479,599","479,599"
2024-08-20,"14.987,00",",",",","14.987,00",0.0,0,0,0
2024-08-19,"14.987,00","14.987,00","14.987,00","14.987,00",-0.08,36,"539,532","539,532"
2024-08-16,"14.999,00","14.999,00","14.999,00","14.999,00",0.0,30,"449,970","449,970"
2024-08-15,"14.999,00","14.999,00","14.999,00","14.999,00",0.13,5,"74,995","74,995"
2024-08-14,"14.979,00","14.979,00","14.979,00","14.979,00",3.0,5,"74,895","74,895"
2024-08-13,"14.500,00","14.600,00","14.500,00","14.543,27",0.07,104,"1,512,500","1,512,500"
2024-08-12,"14.500,00","14.900,00","14.500,00","14.533,33",0.23,36,"523,200","523,200"
2024-08-09,"14.500,00","14.500,00","14.499,00","14.499,89",-2.51,56,"811,994","811,994"
2024-08-08,"14.873,00","14.874,00","14.872,00","14.873,49",-0.01,175,"2,602,861","2,602,861"
2024-08-07,"14.875,00","14.875,00","14.875,00","14.875,00",-0.5,11,"163,625","163,625"
2024-08-06,"14.949,00","14.949,00","14.949,00","14.949,00",4.64,1,"14,949","14,949"
2024-08-05,"14.990,00",",",",","14.286,50",0.0,0,0,0
2024-08-01,"14.990,00",",",",","14.286,50",0.0,0,0,0
2024-07-31,"14.990,00","14.990,00","14.186,00","14.286,50",-2.31,8,"114,292","114,292"
2024-07-30,"14.550,00","14.998,00","14.550,00","14.624,67",-2.5,6,"87,748","87,748"
2024-07-29,"15.000,00","15.000,00","15.000,00","15.000,00",5.57,1,"15,000","15,000"
2024-07-26,"14.200,00","14.219,00","14.200,00","14.208,12",-3.06,128,"1,818,640","1,818,640"
2024-07-25,"14.600,00","14.751,00","14.600,00","14.656,97",-9.64,66,"967,360","967,360"
2024-07-24,"15.649,00","16.590,00","15.649,00","16.221,47",-6.7,53,"859,738","859,738"
2024-07-23,"17.050,00","17.601,00","17.050,00","17.386,69",-1.07,75,"1,304,002","1,304,002"
2024-07-22,"16.996,00","18.998,00","16.501,00","17.574,66",0.53,659,"11,581,700","11,581,700"
2024-07-19,"17.482,00","17.483,00","17.480,00","17.482,58",10.0,752,"13,146,901","13,146,901"
2024-07-18,"16.348,00","16.348,00","15.199,00","15.893,77",6.94,695,"11,046,173","11,046,173"
2024-07-17,"15.200,00","15.200,00","14.830,00","14.862,45",2.5,428,"6,361,127","6,361,127"
2024-07-16,"14.500,00","14.500,00","14.200,00","14.499,59",6.21,"1,075","15,587,058","15,587,058"
2024-07-15,"13.750,00","13.750,00","12.875,00","13.651,66",9.21,313,"4,272,970","4,272,970"
2024-07-12,"125.000,00",",",",","125.000,80",0.0,0,0,0
2024-07-11,"125.000,00","125.001,00","125.000,00","125.000,80",4.6,5,"625,004","625,004"
2024-07-10,"119.500,00",",",",","119.502,40",0.0,0,0,0
2024-07-09,"119.500,00","119.550,00","119.499,00","119.502,40",-0.02,96,"11,472,230","11,472,230"
2024-07-08,"119.500,00","119.597,00","119.500,00","119.527,71",-0.1,7,"836,694","836,694"
2024-07-05,"119.650,00","119.660,00","119.650,00","119.652,50",2.71,4,"478,610","478,610"
2024-07-04,"116.500,00","116.500,00","116.500,00","116.500,00",0.43,18,"2,097,000","2,097,000"
2024-07-03,"115.999,00","115.999,00","115.999,00","115.999,00",0.24,2,"231,998","231,998"
2024-07-02,"115.999,00","115.999,00","115.500,00","115.721,78",-0.24,9,"1,041,496","1,041,496"
2024-07-01,"116.000,00","116.000,00","116.000,00","116.000,00",0.0,10,"1,160,000","1,160,000"
2024-06-28,"116.000,00","116.000,00","116.000,00","116.000,00",-0.43,9,"1,044,000","1,044,000"
2024-06-27,"116.500,00","116.500,00","116.500,00","116.500,00",0.32,18,"2,097,000","2,097,000"
2024-06-26,"116.500,00","116.500,00","116.000,00","116.125,00",0.13,20,"2,322,500","2,322,500"
2024-06-25,"116.000,00","116.000,00","115.950,00","115.970,00",0.02,15,"1,739,550","1,739,550"
2024-06-24,"115.949,00","115.949,00","115.949,00","115.949,00",0.83,26,"3,014,674","3,014,674"
2024-06-20,"114.993,00",",",",","114.998,65",0.0,0,0,0
2024-06-19,"114.993,00",",",",","114.998,65",0.0,0,0,0
2024-06-18,"114.993,00","115.000,00","114.993,00","114.998,65",0.0,26,"2,989,965","2,989,965"
2024-06-17,"115.000,00","115.000,00","115.000,00","115.000,00",0.0,98,"11,270,000","11,270,000"
2024-06-14,"114.990,00","115.000,00","114.990,00","114.997,41",0.0,27,"3,104,930","3,104,930"
2024-06-13,"115.000,00","115.000,00","115.000,00","115.000,00",2.62,5,"575,000","575,000"
2024-06-12,"112.006,00","112.100,00","112.006,00","112.062,40",-2.75,5,"560,312","560,312"
2024-06-11,"115.000,00",",",",","115.226,58",0.0,0,0,0
2024-06-10,"115.000,00",",",",","115.226,58",0.0,0,0,0
2024-06-07,"115.000,00",",",",","115.226,58",0.0,0,0,0
2024-06-06,"115.000,00","115.333,00","114.500,00","115.226,58",2.88,36,"4,148,157","4,148,157"
2024-06-05,"112.000,00",",",",","112.000,00",0.0,0,0,0
2024-06-04,"112.000,00",",",",","112.000,00",0.0,0,0,0
2024-06-03,"112.000,00","112.000,00","112.000,00","112.000,00",0.0,1,"112,000","112,000"
2024-05-31,"112.000,00",",",",","112.000,00",0.0,0,0,0
2024-05-30,"112.000,00",",",",","112.000,00",0.0,0,0,0
2024-05-29,"112.000,00","112.000,00","112.000,00","112.000,00",0.0,15,"1,680,000","1,680,000"
2024-05-28,"112.000,00",",",",","112.000,00",0.0,0,0,0
2024-05-27,"112.000,00",",",",","112.000,00",0.0,0,0,0
2024-05-23,"112.000,00",",",",","112.000,00",0.0,0,0,0
2024-05-22,"112.000,00","112.000,00","112.000,00","112.000,00",-2.59,15,"1,680,000","1,680,000"
2024-05-21,"114.900,00",",",",","114.983,33",0.0,0,0,0
2024-05-20,"114.900,00","115.000,00","114.900,00","114.983,33",1.76,12,"1,379,800","1,379,800"
2024-05-17,"112.990,00","113.000,00","112.990,00","112.997,50",-2.64,4,"451,990","451,990"
2024-05-16,"116.132,00",",",",","116.066,00",0.0,0,0,0
2024-05-15,"116.132,00",",",",","116.066,00",0.0,0,0,0
2024-05-14,"116.132,00","116.132,00","116.000,00","116.066,00",2.94,2,"232,132","232,132"
2024-05-13,"115.000,00",",",",","112.750,00",0.0,0,0,0
2024-05-10,"115.000,00",",",",","112.750,00",0.0,0,0,0
2024-05-09,"115.000,00","115.000,00","112.000,00","112.750,00",3.44,8,"902,000","902,000"
2024-05-07,"109.000,00",",",",","109.000,00",0.0,0,0,0
2024-05-02,"109.000,00","109.000,00","109.000,00","109.000,00",0.0,6,"654,000","654,000"
2024-04-30,"109.000,00","109.000,00","109.000,00","109.000,00",0.0,12,"1,308,000","1,308,000"
2024-04-29,"109.000,00",",",",","109.000,00",0.0,0,0,0
2024-04-26,"109.000,00","109.000,00","109.000,00","109.000,00",0.0,48,"5,232,000","5,232,000"
2024-04-25,"109.000,00","109.000,00","109.000,00","109.000,00",0.0,2,"218,000","218,000"
2024-04-23,"109.000,00","109.000,00","109.000,00","109.000,00",-0.37,1,"109,000","109,000"
2024-04-22,"109.400,00",",",",","109.400,00",0.0,0,0,"5,747,500"
2024-04-19,"109.400,00",",",",","109.400,00",0.0,0,0,0
2024-04-18,"109.400,00","109.400,00","109.400,00","109.400,00",-0.36,1,"109,400","109,400"
2024-04-17,"109.799,00",",",",","109.799,00",0.0,0,0,0
2024-04-16,"109.799,00",",",",","109.799,00",0.0,0,0,0
2024-04-15,"109.799,00",",",",","109.799,00",0.0,0,0,0
2024-04-12,"109.799,00",",",",","109.799,00",0.0,0,0,0
2024-04-11,"109.799,00",",",",","109.799,00",0.0,0,0,0
2024-04-09,"109.799,00",",",",","109.799,00",0.0,0,0,0
2024-04-08,"109.799,00",",",",","109.799,00",0.0,0,0,0
2024-04-05,"109.799,00",",",",","109.799,00",0.0,0,0,0
2024-04-04,"109.799,00",",",",","109.799,00",0.0,0,0,0
2024-04-03,"109.799,00",",",",","109.799,00",0.0,0,0,0
2024-04-02,"109.799,00","109.799,00","109.799,00","109.799,00",6.0,1,"109,799","11,439,799"
2024-04-01,"103.414,00",",",",","103.581,12",0.0,0,0,0
2024-03-29,"103.414,00",",",",","103.581,12",0.0,0,0,0
2024-03-28,"103.414,00",",",",","103.581,12",0.0,0,0,"2,787,750"
2024-03-27,"103.414,00","103.600,00","103.414,00","103.581,12",-2.84,25,"2,589,528","2,589,528"
2024-03-26,"106.400,00","107.000,00","106.400,00","106.611,67",-2.84,3,"319,835","319,835"
2024-03-25,"109.699,00",",",",","109.726,08",0.0,0,0,0
2024-03-22,"109.699,00",",",",","109.726,08",0.0,0,0,0
2024-03-21,"109.699,00",",",",","109.726,08",0.0,0,0,0
2024-03-20,"109.699,00",",",",","109.726,08",0.0,0,0,0
2024-03-19,"109.699,00",",",",","109.726,08",0.0,0,0,0
2024-03-18,"109.699,00","109.849,00","109.699,00","109.726,08",-0.97,26,"2,852,878","2,852,878"
2024-03-15,"109.800,00","112.789,00","109.800,00","110.796,33",1.17,3,"332,389","332,389"
2024-03-14,"109.818,00",",",",","109.515,00",0.0,0,0,0
2024-03-13,"109.818,00","109.818,00","108.000,00","109.515,00",2.72,6,"657,090","657,090"
2024-03-12,"106.620,00","106.620,00","106.620,00","106.620,00",3.0,1,"106,620","106,620"
2024-03-11,"103.000,00","105.060,00","103.000,00","103.515,00",1.49,4,"414,060","414,060"
2024-03-08,"102.000,00","102.000,00","102.000,00","102.000,00",0.99,6,"612,000","612,000"
2024-03-07,"102.500,00",",",",","101.000,00",0.0,0,0,0
2024-03-06,"102.500,00",",",",","101.000,00",0.0,0,0,0
2024-03-05,"102.500,00",",",",","101.000,00",0.0,0,0,0
2024-03-04,"102.500,00",",",",","101.000,00",0.0,0,0,0
2024-03-01,"102.500,00","102.500,00","100.000,00","101.000,00",1.0,7,"707,000","707,000"
2024-02-29,"100.000,00",",",",","100.000,00",0.0,0,0,0
2024-02-28,"100.000,00","100.000,00","100.000,00","100.000,00",1.52,1,"100,000","100,000"
2024-02-27,"98.500,00",",",",","98.500,00",0.0,0,0,0
2024-02-26,"98.500,00",",",",","98.500,00",0.0,0,0,0
2024-02-23,"98.500,00","98.500,00","98.500,00","98.500,00",-0.09,1,"98,500","98,500"
2024-02-22,"98.500,00","99.000,00","98.500,00","98.590,91",-0.39,11,"1,084,500","1,084,500"
2024-02-21,"97.000,00",",",",","98.980,33",0.0,0,0,0
2024-02-20,"97.000,00",",",",","98.980,33",0.0,0,0,0
2024-02-19,"97.000,00",",",",","98.980,33",0.0,0,0,0
2024-02-16,"97.000,00",",",",","98.980,33",0.0,0,0,0
2024-02-15,"97.000,00",",",",","98.980,33",0.0,0,0,0
2024-02-14,"97.000,00",",",",","98.980,33",0.0,0,0,0
2024-02-13,"97.000,00",",",",","98.980,33",0.0,0,0,0
2024-02-12,"97.000,00","100.000,00","96.984,00","98.980,33",-1.0,6,"593,882","593,882"
2024-02-09,"99.984,00",",",",","99.983,20",0.0,0,0,0
2024-02-08,"99.984,00",",",",","99.983,20",0.0,0,0,0
2024-02-07,"99.984,00",",",",","99.983,20",0.0,0,0,0
2024-02-06,"99.984,00",",",",","99.983,20",0.0,0,0,0
2024-02-05,"99.984,00",",",",","99.983,20",0.0,0,0,0
2024-02-02,"99.984,00","99.984,00","99.980,00","99.983,20",0.39,5,"499,916","499,916"
2024-02-01,"99.990,00",",",",","99.593,80",0.0,0,0,0
2024-01-31,"99.990,00",",",",","99.593,80",0.0,0,0,0
