Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"800,00",",",",","800,00",0.0,0,0,0
2024-11-07,"800,00",",",",","800,00",0.0,0,0,0
2024-11-06,"800,00",",",",","800,00",0.0,0,0,0
2024-11-05,"800,00",",",",","800,00",0.0,0,0,0
2024-11-04,"800,00",",",",","800,00",0.0,0,0,0
2024-11-01,"800,00",",",",","800,00",0.0,0,0,0
2024-10-31,"800,00",",",",","800,00",0.0,0,0,0
2024-10-30,"800,00",",",",","800,00",0.0,0,0,0
2024-10-29,"800,00",",",",","800,00",0.0,0,0,0
2024-10-28,"800,00",",",",","800,00",0.0,0,0,0
2024-10-25,"800,00",",",",","800,00",0.0,0,0,0
2024-10-24,"800,00",",",",","800,00",0.0,0,0,0
2024-10-22,"800,00",",",",","800,00",0.0,0,0,0
2024-10-21,"800,00",",",",","800,00",0.0,0,0,0
2024-10-18,"800,00",",",",","800,00",0.0,0,0,0
2024-10-17,"800,00",",",",","800,00",0.0,0,0,0
2024-10-16,"800,00",",",",","800,00",0.0,0,0,0
2024-10-15,"800,00",",",",","800,00",0.0,0,0,0
2024-10-14,"800,00",",",",","800,00",0.0,0,0,0
2024-10-10,"800,00",",",",","800,00",0.0,0,0,0
2024-10-09,"800,00",",",",","800,00",0.0,0,0,0
2024-10-08,"800,00",",",",","800,00",0.0,0,0,0
2024-10-07,"800,00",",",",","800,00",0.0,0,0,0
2024-10-04,"800,00",",",",","800,00",0.0,0,0,0
2024-10-03,"800,00",",",",","800,00",0.0,0,0,0
2024-10-02,"800,00",",",",","800,00",0.0,0,0,0
2024-10-01,"800,00",",",",","800,00",0.0,0,0,0
2024-09-30,"800,00",",",",","800,00",0.0,0,0,0
2024-09-27,"800,00",",",",","800,00",0.0,0,0,0
2024-09-26,"800,00",",",",","800,00",0.0,0,0,0
2024-09-25,"800,00",",",",","800,00",0.0,0,0,0
2024-09-24,"800,00",",",",","800,00",0.0,0,0,0
2024-09-23,"800,00",",",",","800,00",0.0,0,0,0
2024-09-20,"800,00",",",",","800,00",0.0,0,0,0
2024-09-19,"800,00",",",",","800,00",0.0,0,0,0
2024-09-18,"800,00",",",",","800,00",0.0,0,0,0
2024-09-17,"800,00",",",",","800,00",0.0,0,0,0
2024-09-16,"800,00",",",",","800,00",0.0,0,0,0
2024-09-13,"800,00",",",",","800,00",0.0,0,0,0
2024-09-12,"800,00",",",",","800,00",0.0,0,0,0
2024-09-11,"800,00",",",",","800,00",0.0,0,0,0
2024-09-10,"800,00",",",",","800,00",0.0,0,0,0
2024-09-06,"800,00",",",",","800,00",0.0,0,0,0
