Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"16,00",",",",","16,00",0.0,0,0,0
2024-11-07,"16,00",",",",","16,00",0.0,0,0,0
2024-11-06,"16,00",",",",","16,00",0.0,0,0,0
2024-11-05,"16,00",",",",","16,00",0.0,0,0,0
2024-11-04,"16,00",",",",","16,00",0.0,0,0,0
2024-11-01,"16,00",",",",","16,00",0.0,0,0,0
2024-10-31,"16,00",",",",","16,00",0.0,0,0,0
2024-10-30,"16,00",",",",","16,00",0.0,0,0,0
2024-10-29,"16,00",",",",","16,00",0.0,0,0,0
2024-10-28,"16,00",",",",","16,00",0.0,0,0,0
2024-10-25,"16,00",",",",","16,00",0.0,0,0,0
2024-10-24,"16,00",",",",","16,00",0.0,0,0,0
2024-10-22,"16,00",",",",","16,00",0.0,0,0,0
2024-10-21,"16,00",",",",","16,00",0.0,0,0,0
2024-10-18,"16,00",",",",","16,00",0.0,0,0,0
2024-10-17,"16,00",",",",","16,00",0.0,0,0,0
2024-10-16,"16,00",",",",","16,00",0.0,0,0,0
2024-10-15,"16,00",",",",","16,00",0.0,0,0,0
2024-10-14,"16,00","16,00","16,00","16,00",0.0,"2,700","43,200","43,200"
2024-10-10,"16,00",",",",","16,00",0.0,0,0,0
2024-10-09,"16,00",",",",","16,00",0.0,0,0,0
2024-10-08,"16,00",",",",","16,00",0.0,0,0,0
2024-10-07,"16,00",",",",","16,00",0.0,0,0,0
2024-10-04,"16,00",",",",","16,00",0.0,0,0,0
2024-10-03,"16,00",",",",","16,00",0.0,0,0,0
2024-10-02,"16,00","16,00","16,00","16,00",0.0,449,"7,184","7,184"
2024-10-01,"16,00",",",",","16,00",0.0,0,0,0
2024-09-30,"16,00",",",",","16,00",0.0,0,0,0
2024-09-27,"16,00",",",",","16,00",0.0,0,0,0
2024-09-26,"16,00",",",",","16,00",0.0,0,0,0
2024-09-25,"16,00",",",",","16,00",0.0,0,0,0
2024-09-24,"16,00","16,00","16,00","16,00",-15.79,349,"5,584","5,584"
2024-09-23,"19,00",",",",","19,00",0.0,0,0,0
2024-09-20,"19,00",",",",","19,00",0.0,0,0,0
2024-09-19,"19,00",",",",","19,00",0.0,0,0,0
2024-09-18,"19,00",",",",","19,00",0.0,0,0,0
2024-09-17,"19,00",",",",","19,00",0.0,0,0,0
2024-09-16,"19,00",",",",","19,00",0.0,0,0,0
2024-09-13,"19,00",",",",","19,00",0.0,0,0,0
2024-09-12,"19,00",",",",","19,00",0.0,0,0,0
2024-09-11,"19,00",",",",","19,00",0.0,0,0,0
2024-09-10,"19,00",",",",","19,00",0.0,0,0,0
2024-09-06,"19,00",",",",","19,00",0.0,0,0,0
2024-09-05,"19,00",",",",","19,00",0.0,0,0,0
2024-09-04,"19,00",",",",","19,00",0.0,0,0,0
2024-09-03,"19,00",",",",","19,00",0.0,0,0,0
2024-09-02,"19,00",",",",","19,00",0.0,0,0,0
2024-08-30,"19,00",",",",","19,00",0.0,0,0,0
2024-08-29,"19,00",",",",","19,00",0.0,0,0,0
2024-08-27,"19,00",",",",","19,00",0.0,0,0,0
2024-08-26,"19,00",",",",","19,00",0.0,0,0,0
2024-08-23,"19,00",",",",","19,00",0.0,0,0,0
2024-08-22,"19,00",",",",","19,00",0.0,0,0,0
2024-08-21,"19,00",",",",","19,00",0.0,0,0,0
2024-08-20,"19,00",",",",","19,00",0.0,0,0,0
2024-08-19,"19,00",",",",","19,00",0.0,0,0,0
2024-08-16,"19,00",",",",","19,00",0.0,0,0,0
2024-08-15,"19,00",",",",","19,00",0.0,0,0,0
2024-08-14,"19,00",",",",","19,00",0.0,0,0,0
2024-08-13,"19,00",",",",","19,00",0.0,0,0,0
2024-08-12,"19,00",",",",","19,00",0.0,0,0,0
2024-08-09,"19,00",",",",","19,00",0.0,0,0,0
2024-08-08,"19,00",",",",","19,00",0.0,0,0,0
2024-08-07,"19,00",",",",","19,00",0.0,0,0,0
2024-08-06,"19,00",",",",","19,00",0.0,0,0,0
2024-08-05,"19,00",",",",","19,00",0.0,0,0,0
2024-08-01,"19,00","19,00","19,00","19,00",-5.0,120,"2,280","2,280"
2024-07-31,"20,00",",",",","20,00",0.0,0,0,0
2024-07-30,"20,00",",",",","20,00",0.0,0,0,0
2024-07-29,"20,00",",",",","20,00",0.0,0,0,0
2024-07-26,"20,00",",",",","20,00",0.0,0,0,0
2024-07-25,"20,00",",",",","20,00",0.0,0,0,0
2024-07-24,"20,00",",",",","20,00",0.0,0,0,0
2024-07-23,"20,00",",",",","20,00",0.0,0,0,0
2024-07-22,"20,00",",",",","20,00",0.0,0,0,0
2024-07-19,"20,00",",",",","20,00",0.0,0,0,0
2024-07-18,"20,00",",",",","20,00",0.0,0,0,0
2024-07-17,"20,00",",",",","20,00",0.0,0,0,0
2024-07-16,"20,00",",",",","20,00",0.0,0,0,0
2024-07-15,"20,00",",",",","20,00",0.0,0,0,0
2024-07-12,"20,00",",",",","20,00",0.0,0,0,0
2024-07-11,"20,00",",",",","20,00",0.0,0,0,0
2024-07-10,"20,00",",",",","20,00",0.0,0,0,0
2024-07-09,"20,00",",",",","20,00",0.0,0,0,0
2024-07-08,"20,00",",",",","20,00",0.0,0,0,0
2024-07-05,"20,00",",",",","20,00",0.0,0,0,0
2024-07-04,"20,00",",",",","20,00",0.0,0,0,0
2024-07-03,"20,00",",",",","20,00",0.0,0,0,0
2024-07-02,"20,00",",",",","20,00",0.0,0,0,0
2024-07-01,"20,00",",",",","20,00",0.0,0,0,0
2024-06-28,"20,00",",",",","20,00",0.0,0,0,0
2024-06-27,"20,00",",",",","20,00",0.0,0,0,0
2024-06-26,"20,00",",",",","20,00",0.0,0,0,0
2024-06-25,"20,00",",",",","20,00",0.0,0,0,0
2024-06-24,"20,00",",",",","20,00",0.0,0,0,0
2024-06-20,"20,00",",",",","20,00",0.0,0,0,0
2024-06-19,"20,00",",",",","20,00",0.0,0,0,0
2024-06-18,"20,00",",",",","20,00",0.0,0,0,0
2024-06-17,"20,00",",",",","20,00",0.0,0,0,0
2024-06-14,"20,00",",",",","20,00",0.0,0,0,0
2024-06-13,"20,00",",",",","20,00",0.0,0,0,0
2024-06-12,"20,00",",",",","20,00",0.0,0,0,0
2024-06-11,"20,00","20,00","20,00","20,00",-56.52,300,"6,000","6,000"
2024-06-10,"46,00",",",",","46,00",0.0,0,0,0
2024-06-07,"46,00",",",",","46,00",0.0,0,0,0
2024-06-06,"46,00",",",",","46,00",0.0,0,0,0
2024-06-05,"46,00",",",",","46,00",0.0,0,0,0
2024-06-04,"46,00",",",",","46,00",0.0,0,0,0
2024-06-03,"46,00",",",",","46,00",0.0,0,0,0
2024-05-31,"46,00",",",",","46,00",0.0,0,0,0
2024-05-30,"46,00",",",",","46,00",0.0,0,0,0
2024-05-29,"46,00",",",",","46,00",0.0,0,0,0
2024-05-28,"46,00",",",",","46,00",0.0,0,0,0
2024-05-27,"46,00",",",",","46,00",0.0,0,0,0
2024-05-23,"46,00",",",",","46,00",0.0,0,0,0
2024-05-22,"46,00",",",",","46,00",0.0,0,0,0
2024-05-21,"46,00",",",",","46,00",0.0,0,0,0
2024-05-20,"46,00",",",",","46,00",0.0,0,0,0
2024-05-17,"46,00",",",",","46,00",0.0,0,0,0
2024-05-16,"46,00",",",",","46,00",0.0,0,0,0
2024-05-15,"46,00",",",",","46,00",0.0,0,0,0
2024-05-14,"46,00",",",",","46,00",0.0,0,0,0
2024-05-13,"46,00",",",",","46,00",0.0,0,0,0
2024-05-10,"46,00",",",",","46,00",0.0,0,0,0
2024-05-09,"46,00",",",",","46,00",0.0,0,0,0
2024-05-07,"46,00",",",",","46,00",0.0,0,0,0
2024-05-02,"46,00",",",",","46,00",0.0,0,0,0
2024-04-30,"46,00",",",",","46,00",0.0,0,0,0
2024-04-29,"46,00",",",",","46,00",0.0,0,0,0
2024-04-26,"46,00",",",",","46,00",0.0,0,0,0
2024-04-25,"46,00",",",",","46,00",0.0,0,0,0
2024-04-23,"46,00",",",",","46,00",0.0,0,0,0
2024-04-22,"46,00",",",",","46,00",0.0,0,0,0
2024-04-19,"46,00",",",",","46,00",0.0,0,0,0
2024-04-18,"46,00",",",",","46,00",0.0,0,0,0
2024-04-17,"46,00",",",",","46,00",0.0,0,0,0
2024-04-16,"46,00",",",",","46,00",0.0,0,0,0
2024-04-15,"46,00",",",",","46,00",0.0,0,0,0
2024-04-12,"46,00",",",",","46,00",0.0,0,0,0
2024-04-11,"46,00",",",",","46,00",0.0,0,0,0
2024-04-09,"46,00",",",",","46,00",0.0,0,0,0
2024-04-08,"46,00",",",",","46,00",0.0,0,0,0
2024-04-05,"46,00",",",",","46,00",0.0,0,0,0
2024-04-04,"46,00",",",",","46,00",0.0,0,0,0
2024-04-03,"46,00",",",",","46,00",0.0,0,0,0
2024-04-02,"46,00",",",",","46,00",0.0,0,0,0
2024-04-01,"46,00",",",",","46,00",0.0,0,0,0
2024-03-29,"46,00",",",",","46,00",0.0,0,0,0
2024-03-28,"46,00",",",",","46,00",0.0,0,0,0
2024-03-27,"46,00",",",",","46,00",0.0,0,0,0
2024-03-26,"46,00",",",",","46,00",0.0,0,0,0
2024-03-25,"46,00",",",",","46,00",0.0,0,0,0
2024-03-22,"46,00",",",",","46,00",0.0,0,0,0
2024-03-21,"46,00",",",",","46,00",0.0,0,0,0
2024-03-20,"46,00",",",",","46,00",0.0,0,0,0
2024-03-19,"46,00",",",",","46,00",0.0,0,0,0
2024-03-18,"46,00",",",",","46,00",0.0,0,0,0
2024-03-15,"46,00",",",",","46,00",0.0,0,0,0
2024-03-14,"46,00",",",",","46,00",0.0,0,0,0
2024-03-13,"46,00",",",",","46,00",0.0,0,0,0
2024-03-12,"46,00",",",",","46,00",0.0,0,0,0
2024-03-11,"46,00",",",",","46,00",0.0,0,0,0
2024-03-08,"46,00",",",",","46,00",0.0,0,0,0
2024-03-07,"46,00",",",",","46,00",0.0,0,0,0
2024-03-06,"46,00",",",",","46,00",0.0,0,0,0
2024-03-05,"46,00",",",",","46,00",0.0,0,0,0
2024-03-04,"46,00",",",",","46,00",0.0,0,0,0
2024-03-01,"46,00",",",",","46,00",0.0,0,0,0
2024-02-29,"46,00",",",",","46,00",0.0,0,0,0
2024-02-28,"46,00",",",",","46,00",0.0,0,0,0
2024-02-27,"46,00",",",",","46,00",0.0,0,0,0
2024-02-26,"46,00",",",",","46,00",0.0,0,0,0
2024-02-23,"46,00",",",",","46,00",0.0,0,0,0
2024-02-22,"46,00",",",",","46,00",0.0,0,0,0
2024-02-21,"46,00",",",",","46,00",0.0,0,0,0
2024-02-20,"46,00",",",",","46,00",0.0,0,0,0
2024-02-19,"46,00",",",",","46,00",0.0,0,0,0
2024-02-16,"46,00",",",",","46,00",0.0,0,0,0
2024-02-15,"46,00",",",",","46,00",0.0,0,0,0
2024-02-14,"46,00",",",",","46,00",0.0,0,0,0
2024-02-13,"46,00",",",",","46,00",0.0,0,0,0
2024-02-12,"46,00",",",",","46,00",0.0,0,0,0
2024-02-09,"46,00",",",",","46,00",0.0,0,0,0
2024-02-08,"46,00",",",",","46,00",0.0,0,0,0
2024-02-07,"46,00",",",",","46,00",0.0,0,0,0
2024-02-06,"46,00",",",",","46,00",0.0,0,0,0
2024-02-05,"46,00",",",",","46,00",0.0,0,0,0
2024-02-02,"46,00",",",",","46,00",0.0,0,0,0
2024-02-01,"46,00",",",",","46,00",0.0,0,0,0
2024-01-31,"46,00",",",",","46,00",0.0,0,0,0
2024-01-30,"46,00",",",",","46,00",0.0,0,0,0
2024-01-29,"46,00",",",",","46,00",0.0,0,0,0
2024-01-26,"46,00",",",",","46,00",0.0,0,0,0
2024-01-25,"46,00",",",",","46,00",0.0,0,0,0
2024-01-24,"46,00",",",",","46,00",0.0,0,0,0
2024-01-23,"46,00",",",",","46,00",0.0,0,0,0
2024-01-22,"46,00",",",",","46,00",0.0,0,0,0
2024-01-18,"46,00",",",",","46,00",0.0,0,0,0
2024-01-17,"46,00",",",",","46,00",0.0,0,0,0
