Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"577,00",",",",","577,00",0.0,0,0,0
2024-11-07,"577,00",",",",","577,00",0.0,0,0,0
2024-11-06,"577,00",",",",","577,00",0.0,0,0,0
2024-11-05,"577,00",",",",","577,00",0.0,0,0,0
2024-11-04,"577,00",",",",","577,00",0.0,0,0,0
2024-11-01,"577,00",",",",","577,00",0.0,0,0,0
2024-10-31,"577,00",",",",","577,00",0.0,0,0,0
2024-10-30,"577,00",",",",","577,00",0.0,0,0,0
2024-10-29,"577,00",",",",","577,00",0.0,0,0,0
2024-10-28,"577,00",",",",","577,00",0.0,0,0,0
2024-10-25,"577,00",",",",","577,00",0.0,0,0,0
2024-10-24,"577,00",",",",","577,00",0.0,0,0,0
2024-10-22,"577,00",",",",","577,00",0.0,0,0,0
2024-10-21,"577,00",",",",","577,00",0.0,0,0,0
2024-10-18,"577,00","577,00","577,00","577,00",15.4,135,"77,895","77,895"
2024-10-17,"500,00",",",",","500,00",0.0,0,0,0
2024-10-16,"500,00",",",",","500,00",0.0,0,0,0
2024-10-15,"500,00",",",",","500,00",0.0,0,0,0
2024-10-14,"500,00",",",",","500,00",0.0,0,0,0
2024-10-10,"500,00",",",",","500,00",0.0,0,0,0
2024-10-09,"500,00","500,00","500,00","500,00",-10.71,7,"3,500","3,500"
2024-10-08,"560,00",",",",","560,00",0.0,0,0,0
2024-10-07,"560,00",",",",","560,00",0.0,0,0,0
2024-10-04,"560,00",",",",","560,00",0.0,0,0,0
2024-10-03,"560,00",",",",","560,00",0.0,0,0,0
2024-10-02,"560,00",",",",","560,00",0.0,0,0,0
2024-10-01,"560,00",",",",","560,00",0.0,0,0,0
2024-09-30,"560,00",",",",","560,00",0.0,0,0,0
2024-09-27,"560,00",",",",","560,00",0.0,0,0,0
2024-09-26,"560,00",",",",","560,00",0.0,0,0,0
2024-09-25,"560,00",",",",","560,00",0.0,0,0,0
2024-09-24,"560,00",",",",","560,00",0.0,0,0,0
2024-09-23,"560,00",",",",","560,00",0.0,0,0,0
2024-09-20,"560,00",",",",","560,00",0.0,0,0,0
2024-09-19,"560,00",",",",","560,00",0.0,0,0,0
2024-09-18,"560,00",",",",","560,00",0.0,0,0,0
2024-09-17,"560,00",",",",","560,00",0.0,0,0,0
2024-09-16,"560,00",",",",","560,00",0.0,0,0,0
2024-09-13,"560,00","560,00","560,00","560,00",-0.18,4,"2,240","2,240"
2024-09-12,"561,00",",",",","561,00",0.0,0,0,0
2024-09-11,"561,00",",",",","561,00",0.0,0,0,0
2024-09-10,"561,00",",",",","561,00",0.0,0,0,0
2024-09-06,"561,00",",",",","561,00",0.0,0,0,0
2024-09-05,"561,00",",",",","561,00",0.0,0,0,0
2024-09-04,"561,00",",",",","561,00",0.0,0,0,0
2024-09-03,"561,00",",",",","561,00",0.0,0,0,0
2024-09-02,"561,00",",",",","561,00",0.0,0,0,0
2024-08-30,"561,00",",",",","561,00",0.0,0,0,0
2024-08-29,"561,00",",",",","561,00",0.0,0,0,0
2024-08-27,"561,00",",",",","561,00",0.0,0,0,0
2024-08-26,"561,00",",",",","561,00",0.0,0,0,0
2024-08-23,"561,00",",",",","561,00",0.0,0,0,0
2024-08-22,"561,00",",",",","561,00",0.0,0,0,0
2024-08-21,"561,00",",",",","561,00",0.0,0,0,0
2024-08-20,"561,00",",",",","561,00",0.0,0,0,0
2024-08-19,"561,00",",",",","561,00",0.0,0,0,0
2024-08-16,"561,00",",",",","561,00",0.0,0,0,0
2024-08-15,"561,00",",",",","561,00",0.0,0,0,0
2024-08-14,"561,00",",",",","561,00",0.0,0,0,0
2024-08-13,"561,00",",",",","561,00",0.0,0,0,0
2024-08-12,"561,00",",",",","561,00",0.0,0,0,0
2024-08-09,"561,00","561,00","561,00","561,00",2.94,65,"36,465","36,465"
2024-08-08,"545,00","545,00","545,00","545,00",2.83,35,"19,075","19,075"
2024-08-07,"530,00","530,00","530,00","530,00",2.91,93,"49,290","49,290"
2024-08-06,"515,00",",",",","515,00",0.0,0,0,0
2024-08-05,"515,00",",",",","515,00",0.0,0,0,0
2024-08-01,"515,00",",",",","515,00",0.0,0,0,0
2024-07-31,"515,00",",",",","515,00",0.0,0,0,0
2024-07-30,"515,00","515,00","515,00","515,00",3.0,47,"24,205","24,205"
2024-07-29,"500,00","500,00","500,00","500,00",0.0,12,"6,000","6,000"
2024-07-26,"500,00",",",",","500,00",0.0,0,0,0
2024-07-25,"500,00",",",",","500,00",0.0,0,0,0
2024-07-24,"500,00",",",",","500,00",0.0,0,0,0
2024-07-23,"500,00",",",",","500,00",0.0,0,0,0
2024-07-22,"500,00",",",",","500,00",0.0,0,0,0
2024-07-19,"500,00",",",",","500,00",0.0,0,0,0
2024-07-18,"500,00",",",",","500,00",0.0,0,0,0
2024-07-17,"500,00",",",",","500,00",0.0,0,0,0
2024-07-16,"500,00",",",",","500,00",0.0,0,0,0
