Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"45,00","45,00","45,00","45,00",0.0,"1,000","45,000","45,000"
2024-11-07,"45,00",",",",","45,00",0.0,0,0,0
2024-11-06,"45,00",",",",","45,00",0.0,0,0,0
2024-11-05,"45,00",",",",","45,00",0.0,0,0,0
2024-11-04,"45,00","45,00","45,00","45,00",0.0,200,"9,000","9,000"
2024-11-01,"45,00",",",",","45,00",0.0,0,0,0
2024-10-31,"45,00",",",",","45,00",0.0,0,0,0
2024-10-30,"45,00",",",",","45,00",0.0,0,0,0
2024-10-29,"45,00",",",",","45,00",0.0,0,0,0
2024-10-28,"45,00",",",",","45,00",0.0,0,0,0
2024-10-25,"45,00",",",",","45,00",0.0,0,0,0
2024-10-24,"45,00",",",",","45,00",0.0,0,0,0
2024-10-22,"45,00",",",",","45,00",0.0,0,0,0
2024-10-21,"45,00",",",",","45,00",0.0,0,0,0
2024-10-18,"45,00",",",",","45,00",0.0,0,0,0
2024-10-17,"45,00",",",",","45,00",0.0,0,0,0
2024-10-16,"45,00",",",",","45,00",0.0,0,0,0
2024-10-15,"45,00",",",",","45,00",0.0,0,0,0
2024-10-14,"45,00",",",",","45,00",0.0,0,0,0
2024-10-10,"45,00",",",",","45,00",0.0,0,0,0
2024-10-09,"45,00",",",",","45,00",0.0,0,0,0
2024-10-08,"45,00",",",",","45,00",0.0,0,0,0
2024-10-07,"45,00",",",",","45,00",0.0,0,0,0
2024-10-04,"45,00",",",",","45,00",0.0,0,0,0
2024-10-03,"45,00",",",",","45,00",0.0,0,0,0
2024-10-02,"45,00",",",",","45,00",0.0,0,0,0
2024-10-01,"45,00",",",",","45,00",0.0,0,0,0
2024-09-30,"45,00",",",",","45,00",0.0,0,0,0
2024-09-27,"45,00",",",",","45,00",0.0,0,0,0
2024-09-26,"45,00",",",",","45,00",0.0,0,0,0
2024-09-25,"45,00","45,00","45,00","45,00",0.0,800,"36,000","36,000"
2024-09-24,"45,00",",",",","45,00",0.0,0,0,0
2024-09-23,"45,00","45,00","45,00","45,00",0.0,"1,380","62,100","62,100"
2024-09-20,"45,00",",",",","45,00",0.0,0,0,0
2024-09-19,"45,00",",",",","45,00",0.0,0,0,0
2024-09-18,"45,00",",",",","45,00",0.0,0,0,0
2024-09-17,"45,00",",",",","45,00",0.0,0,0,0
2024-09-16,"45,00",",",",","45,00",0.0,0,0,0
2024-09-13,"45,00",",",",","45,00",0.0,0,0,0
2024-09-12,"45,00",",",",","45,00",0.0,0,0,0
2024-09-11,"45,00","45,00","45,00","45,00",0.0,166,"7,470","7,470"
2024-09-10,"45,00",",",",","45,00",0.0,0,0,0
2024-09-06,"45,00",",",",","45,00",0.0,0,0,0
2024-09-05,"45,00",",",",","45,00",0.0,0,0,0
2024-09-04,"45,00",",",",","45,00",0.0,0,0,0
2024-09-03,"45,00","45,00","45,00","45,00",0.0,152,"6,840","6,840"
2024-09-02,"45,00",",",",","45,00",0.0,0,0,0
2024-08-30,"45,00",",",",","45,00",0.0,0,0,0
2024-08-29,"45,00",",",",","45,00",0.0,0,0,0
2024-08-27,"45,00",",",",","45,00",0.0,0,0,0
2024-08-26,"45,00",",",",","45,00",0.0,0,0,0
2024-08-23,"45,00",",",",","45,00",0.0,0,0,0
2024-08-22,"45,00",",",",","45,00",0.0,0,0,0
2024-08-21,"45,00",",",",","45,00",0.0,0,0,0
2024-08-20,"45,00",",",",","45,00",0.0,0,0,0
2024-08-19,"45,00",",",",","45,00",0.0,0,0,0
2024-08-16,"45,00",",",",","45,00",0.0,0,0,0
2024-08-15,"45,00",",",",","45,00",0.0,0,0,0
2024-08-14,"45,00",",",",","45,00",0.0,0,0,0
2024-08-13,"45,00",",",",","45,00",0.0,0,0,0
2024-08-12,"45,00",",",",","45,00",0.0,0,0,0
2024-08-09,"45,00",",",",","45,00",0.0,0,0,0
2024-08-08,"45,00",",",",","45,00",0.0,0,0,0
2024-08-07,"45,00",",",",","45,00",0.0,0,0,0
2024-08-06,"45,00",",",",","45,00",0.0,0,0,0
2024-08-05,"45,00",",",",","45,00",0.0,0,0,0
2024-08-01,"45,00","45,00","45,00","45,00",0.0,284,"12,780","12,780"
2024-07-31,"45,00",",",",","45,00",0.0,0,0,0
