Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"3.300,00",",",",","3.300,00",0.0,0,0,0
2024-11-07,"3.300,00",",",",","3.300,00",0.0,0,0,0
2024-11-06,"3.300,00",",",",","3.300,00",0.0,0,0,0
2024-11-05,"3.300,00",",",",","3.300,00",0.0,0,0,0
2024-11-04,"3.300,00",",",",","3.300,00",0.0,0,0,0
2024-11-01,"3.300,00",",",",","3.300,00",0.0,0,0,0
2024-10-31,"3.300,00","3.300,00","3.300,00","3.300,00",1.51,836,"2,758,800","2,758,800"
2024-10-30,"3.300,00",",",",","3.251,03",0.0,0,0,0
2024-10-29,"3.300,00",",",",","3.251,03",0.0,0,0,0
2024-10-28,"3.300,00","3.300,00","3.250,00","3.251,03",1.59,242,"786,750","41,300,850"
2024-10-25,"3.200,00",",",",","3.200,00",0.0,0,0,0
2024-10-24,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,150,"480,000","480,000"
2024-10-22,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,90,"288,000","288,000"
2024-10-21,"3.200,00",",",",","3.200,00",0.0,0,0,0
2024-10-18,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,111,"355,200","355,200"
2024-10-17,"3.200,00",",",",","3.200,00",0.0,0,0,0
2024-10-16,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,504,"1,612,800","1,612,800"
2024-10-15,"3.200,00",",",",","3.200,00",0.0,0,0,"48,136,760"
2024-10-14,"3.200,00","3.200,00","3.200,00","3.200,00",-1.52,540,"1,728,000","1,728,000"
2024-10-10,"3.250,00","3.250,00","3.220,00","3.249,45",1.52,219,"711,630","29,895,930"
2024-10-09,"3.201,00","3.201,00","3.200,00","3.200,78",0.02,654,"2,093,308","2,093,308"
2024-10-08,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,156,"499,200","499,200"
2024-10-07,"3.199,00","3.200,00","3.199,00","3.199,87",0.0,"1,145","3,663,847","3,663,847"
2024-10-04,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,"9,408","30,105,600","30,105,600"
2024-10-03,"3.200,00",",",",","3.200,00",0.0,0,0,0
2024-10-02,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,352,"1,126,400","1,126,400"
2024-10-01,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,100,"320,000","320,000"
2024-09-30,"3.220,00",",",",","3.200,05",0.0,0,0,0
2024-09-27,"3.220,00",",",",","3.200,05",0.0,0,0,0
2024-09-26,"3.220,00",",",",","3.200,05",0.0,0,0,0
2024-09-25,"3.220,00",",",",","3.200,05",0.0,0,0,0
2024-09-24,"3.220,00",",",",","3.200,05",0.0,0,0,0
2024-09-23,"3.220,00","3.220,00","3.200,00","3.200,05",-0.93,432,"1,382,420","1,382,420"
2024-09-20,"3.230,00","3.230,00","3.230,00","3.230,00",-0.57,70,"226,100","226,100"
2024-09-19,"3.250,00","3.250,00","3.200,00","3.248,61",1.49,"3,614","11,740,480","16,862,480"
2024-09-18,"3.201,00","3.201,00","3.200,00","3.200,83",0.03,90,"288,075","288,075"
2024-09-17,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,15,"48,000","48,000"
2024-09-16,"3.200,00","3.200,00","3.200,00","3.200,00",0.0,"1,167","3,734,400","9,294,752"
