Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-11-07,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-11-06,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-11-05,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-11-04,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-11-01,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-31,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-30,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-29,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-28,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-25,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-24,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-22,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-21,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-18,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-17,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-16,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-15,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-14,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-10,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-09,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-08,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-07,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-04,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-03,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-02,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-10-01,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-09-30,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-09-27,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-09-26,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-09-25,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-09-24,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-09-23,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-09-20,"24.752,00",",",",","24.752,00",0.0,0,0,0
2024-09-19,"24.752,00",",",",","24.752,00",0.0,0,0,0
