Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"309,00",",",",","309,00",0.0,0,0,0
2024-11-07,"309,00",",",",","309,00",0.0,0,0,0
2024-11-06,"309,00",",",",","309,00",0.0,0,0,0
2024-11-05,"309,00",",",",","309,00",0.0,0,0,0
2024-11-04,"309,00",",",",","309,00",0.0,0,0,0
2024-11-01,"309,00",",",",","309,00",0.0,0,0,0
2024-10-31,"309,00",",",",","309,00",0.0,0,0,0
2024-10-30,"309,00",",",",","309,00",0.0,0,0,0
2024-10-29,"309,00",",",",","309,00",0.0,0,0,0
2024-10-28,"309,00",",",",","309,00",0.0,0,0,0
2024-10-25,"309,00",",",",","309,00",0.0,0,0,0
2024-10-24,"309,00",",",",","309,00",0.0,0,0,0
2024-10-22,"309,00",",",",","309,00",0.0,0,0,0
2024-10-21,"309,00",",",",","309,00",0.0,0,0,0
2024-10-18,"309,00",",",",","309,00",0.0,0,0,0
2024-10-17,"309,00",",",",","309,00",0.0,0,0,0
2024-10-16,"309,00",",",",","309,00",0.0,0,0,0
2024-10-15,"309,00",",",",","309,00",0.0,0,0,0
2024-10-14,"309,00",",",",","309,00",0.0,0,0,0
2024-10-10,"309,00",",",",","309,00",0.0,0,0,0
2024-10-09,"309,00",",",",","309,00",0.0,0,0,0
2024-10-08,"309,00",",",",","309,00",0.0,0,0,0
2024-10-07,"309,00",",",",","309,00",0.0,0,0,0
2024-10-04,"309,00",",",",","309,00",0.0,0,0,0
2024-10-03,"309,00",",",",","309,00",0.0,0,0,0
2024-10-02,"309,00",",",",","309,00",0.0,0,0,0
2024-10-01,"309,00",",",",","309,00",0.0,0,0,0
2024-09-30,"309,00",",",",","309,00",0.0,0,0,0
2024-09-27,"309,00",",",",","309,00",0.0,0,0,0
2024-09-26,"309,00",",",",","309,00",0.0,0,0,0
2024-09-25,"309,00",",",",","309,00",0.0,0,0,0
2024-09-24,"309,00",",",",","309,00",0.0,0,0,0
2024-09-23,"309,00",",",",","309,00",0.0,0,0,0
2024-09-20,"309,00",",",",","309,00",0.0,0,0,0
2024-09-19,"309,00",",",",","309,00",0.0,0,0,0
2024-09-18,"309,00",",",",","309,00",0.0,0,0,0
2024-09-17,"309,00",",",",","309,00",0.0,0,0,0
2024-09-16,"309,00",",",",","309,00",0.0,0,0,0
2024-09-13,"309,00",",",",","309,00",0.0,0,0,0
2024-09-12,"309,00",",",",","309,00",0.0,0,0,0
2024-09-11,"309,00",",",",","309,00",0.0,0,0,0
2024-09-10,"309,00",",",",","309,00",0.0,0,0,0
2024-09-06,"309,00",",",",","309,00",0.0,0,0,0
2024-09-05,"309,00",",",",","309,00",0.0,0,0,0
2024-09-04,"309,00",",",",","309,00",0.0,0,0,0
2024-09-03,"309,00",",",",","309,00",0.0,0,0,0
2024-09-02,"309,00",",",",","309,00",0.0,0,0,0
2024-08-30,"309,00",",",",","309,00",0.0,0,0,0
2024-08-29,"309,00",",",",","309,00",0.0,0,0,0
2024-08-27,"309,00",",",",","309,00",0.0,0,0,0
2024-08-26,"309,00",",",",","309,00",0.0,0,0,0
2024-08-23,"309,00",",",",","309,00",0.0,0,0,0
2024-08-22,"309,00",",",",","309,00",0.0,0,0,0
2024-08-21,"309,00",",",",","309,00",0.0,0,0,0
2024-08-20,"309,00",",",",","309,00",0.0,0,0,0
2024-08-19,"309,00",",",",","309,00",0.0,0,0,0
2024-08-16,"309,00",",",",","309,00",0.0,0,0,0
2024-08-15,"309,00",",",",","309,00",0.0,0,0,0
2024-08-14,"309,00",",",",","309,00",0.0,0,0,0
2024-08-13,"309,00",",",",","309,00",0.0,0,0,0
2024-08-12,"309,00",",",",","309,00",0.0,0,0,0
2024-08-09,"309,00",",",",","309,00",0.0,0,0,0
2024-08-08,"309,00",",",",","309,00",0.0,0,0,0
2024-08-07,"309,00",",",",","309,00",0.0,0,0,0
2024-08-06,"309,00",",",",","309,00",0.0,0,0,0
2024-08-05,"309,00",",",",","309,00",0.0,0,0,0
2024-08-01,"309,00",",",",","309,00",0.0,0,0,0
2024-07-31,"309,00",",",",","309,00",0.0,0,0,0
2024-07-30,"309,00",",",",","309,00",0.0,0,0,0
2024-07-29,"309,00",",",",","309,00",0.0,0,0,0
2024-07-26,"309,00",",",",","309,00",0.0,0,0,0
2024-07-25,"309,00",",",",","309,00",0.0,0,0,0
2024-07-24,"309,00",",",",","309,00",0.0,0,0,0
2024-07-23,"309,00",",",",","309,00",0.0,0,0,0
2024-07-22,"309,00",",",",","309,00",0.0,0,0,0
2024-07-19,"309,00",",",",","309,00",0.0,0,0,0
2024-07-18,"309,00",",",",","309,00",0.0,0,0,0
2024-07-17,"309,00",",",",","309,00",0.0,0,0,0
2024-07-16,"309,00",",",",","309,00",0.0,0,0,0
2024-07-15,"309,00",",",",","309,00",0.0,0,0,0
2024-07-12,"309,00",",",",","309,00",0.0,0,0,0
2024-07-11,"309,00",",",",","309,00",0.0,0,0,0
2024-07-10,"309,00",",",",","309,00",0.0,0,0,0
2024-07-09,"309,00",",",",","309,00",0.0,0,0,0
2024-07-08,"309,00",",",",","309,00",0.0,0,0,0
2024-07-05,"309,00",",",",","309,00",0.0,0,0,0
2024-07-04,"309,00",",",",","309,00",0.0,0,0,0
2024-07-03,"309,00",",",",","309,00",0.0,0,0,0
2024-07-02,"309,00",",",",","309,00",0.0,0,0,0
2024-07-01,"309,00",",",",","309,00",0.0,0,0,0
2024-06-28,"309,00",",",",","309,00",0.0,0,0,0
2024-06-27,"309,00",",",",","309,00",0.0,0,0,0
2024-06-26,"309,00",",",",","309,00",0.0,0,0,0
2024-06-25,"309,00",",",",","309,00",0.0,0,0,0
2024-06-24,"309,00",",",",","309,00",0.0,0,0,0
2024-06-20,"309,00",",",",","309,00",0.0,0,0,0
2024-06-19,"309,00",",",",","309,00",0.0,0,0,0
2024-06-18,"309,00",",",",","309,00",0.0,0,0,0
2024-06-17,"309,00",",",",","309,00",0.0,0,0,0
2024-06-14,"309,00",",",",","309,00",0.0,0,0,0
2024-06-13,"309,00",",",",","309,00",0.0,0,0,0
2024-06-12,"309,00",",",",","309,00",0.0,0,0,0
2024-06-11,"309,00",",",",","309,00",0.0,0,0,0
2024-06-10,"309,00",",",",","309,00",0.0,0,0,0
2024-06-07,"309,00",",",",","309,00",0.0,0,0,0
2024-06-06,"309,00",",",",","309,00",0.0,0,0,0
2024-06-05,"309,00",",",",","309,00",0.0,0,0,0
2024-06-04,"309,00",",",",","309,00",0.0,0,0,0
2024-06-03,"309,00",",",",","309,00",0.0,0,0,0
2024-05-31,"309,00",",",",","309,00",0.0,0,0,0
2024-05-30,"309,00",",",",","309,00",0.0,0,0,0
2024-05-29,"309,00",",",",","309,00",0.0,0,0,0
2024-05-28,"309,00",",",",","309,00",0.0,0,0,0
