Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-11-07,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-11-06,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-11-05,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-11-04,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-11-01,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-31,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-30,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-29,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-28,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-25,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-24,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-22,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-21,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-18,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-17,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-16,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-15,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-14,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-10,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-09,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-08,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-07,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-04,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-03,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-02,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-10-01,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-30,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-27,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-26,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-25,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-24,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-23,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-20,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-19,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-18,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-17,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-16,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-13,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-12,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-11,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-10,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-06,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-05,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-04,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-03,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-09-02,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-30,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-29,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-27,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-26,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-23,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-22,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-21,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-20,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-19,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-16,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-15,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-14,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-13,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-12,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-09,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-08,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-07,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-06,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-05,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-08-01,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-31,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-30,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-29,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-26,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-25,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-24,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-23,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-22,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-19,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-18,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-17,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-16,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-15,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-12,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-11,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-10,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-09,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-08,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-05,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-04,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-03,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-02,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-07-01,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-28,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-27,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-26,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-25,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-24,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-20,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-19,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-18,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-17,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-14,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-13,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-12,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-11,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-10,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-07,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-06,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-05,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-04,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-06-03,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-05-31,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-05-30,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-05-29,"4.000,00",",",",","4.000,00",0.0,0,0,0
2024-05-28,"4.000,00","4.000,00","4.000,00","4.000,00",-29.39,10,"40,000","40,000"
2024-05-27,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-23,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-22,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-21,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-20,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-17,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-16,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-15,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-14,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-13,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-10,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-09,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-07,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-05-02,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-30,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-29,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-26,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-25,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-23,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-22,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-19,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-18,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-17,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-16,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-15,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-12,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-11,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-09,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-08,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-05,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-04,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-03,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-02,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-04-01,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-29,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-28,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-27,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-26,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-25,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-22,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-21,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-20,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-19,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-18,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-15,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-14,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-13,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-12,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-11,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-08,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-07,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-06,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-05,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-04,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-03-01,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-29,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-28,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-27,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-26,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-23,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-22,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-21,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-20,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-19,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-16,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-15,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-14,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-13,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-12,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-09,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-08,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-07,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-06,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-05,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-02,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-02-01,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-31,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-30,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-29,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-26,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-25,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-24,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-23,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-22,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-18,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-17,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-16,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-15,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-12,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-11,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-10,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-09,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-05,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-04,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-03,"5.665,00",",",",","5.665,00",0.0,0,0,0
2024-01-02,"5.665,00",",",",","5.665,00",0.0,0,0,0
2023-12-28,"5.665,00",",",",","5.665,00",0.0,0,0,0
2023-12-27,"5.665,00",",",",","5.665,00",0.0,0,0,0
2023-12-26,"5.665,00",",",",","5.665,00",0.0,0,0,0
2023-12-25,"5.665,00",",",",","5.665,00",0.0,0,0,0
2023-12-22,"5.665,00",",",",","5.665,00",0.0,0,0,0
2023-12-21,"5.665,00",",",",","5.665,00",0.0,0,0,0
