Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"1.964,00","1.964,00","1.964,00","1.964,00",-0.27,155,"304,420","304,420"
2024-11-07,"1.967,00","1.975,00","1.967,00","1.969,28",-0.28,642,"1,264,276","1,264,276"
2024-11-06,"1.975,00","1.990,00","1.970,00","1.974,75",0.29,295,"582,550","582,550"
2024-11-05,"1.969,00","1.969,00","1.969,00","1.969,00",-1.4,25,"49,225","49,225"
2024-11-04,"1.997,00","1.997,00","1.997,00","1.997,00",0.0,27,"53,919","53,919"
2024-11-01,"1.997,00","1.997,00","1.997,00","1.997,00",2.02,138,"275,586","275,586"
2024-10-31,"1.960,00","1.960,00","1.950,00","1.957,51",0.99,"1,065","2,084,750","2,084,750"
2024-10-30,"1.938,00","1.949,00","1.920,00","1.938,29",0.95,434,"841,220","841,220"
2024-10-29,"1.920,00",",",",","1.920,00",0.0,0,0,0
2024-10-28,"1.920,00","1.920,00","1.920,00","1.920,00",0.35,115,"220,800","220,800"
2024-10-25,"1.900,00","1.919,00","1.900,00","1.913,26",-0.35,43,"82,270","82,270"
2024-10-24,"1.920,00",",",",","1.920,00",0.0,0,0,0
2024-10-22,"1.920,00","1.920,00","1.920,00","1.920,00",0.0,300,"576,000","576,000"
2024-10-21,"1.920,00","1.920,00","1.920,00","1.920,00",-1.44,65,"124,800","124,800"
2024-10-18,"1.948,00","1.948,00","1.948,00","1.948,00",1.1,5,"9,740","9,740"
2024-10-17,"1.920,00",",",",","1.926,71",0.0,0,0,0
2024-10-16,"1.920,00","1.950,00","1.899,00","1.926,71",-1.19,112,"215,792","215,792"
2024-10-15,"1.950,00","1.950,00","1.950,00","1.950,00",0.0,560,"1,092,000","1,092,000"
2024-10-14,"1.950,00",",",",","1.950,00",0.0,0,0,0
2024-10-10,"1.950,00",",",",","1.950,00",0.0,0,0,0
2024-10-09,"1.950,00","1.950,00","1.950,00","1.950,00",-0.46,95,"185,250","185,250"
2024-10-08,"1.959,00","1.959,00","1.959,00","1.959,00",1.09,10,"19,590","19,590"
2024-10-07,"1.939,00","1.939,00","1.935,00","1.937,92",-1.09,425,"823,615","823,615"
2024-10-04,"1.959,00","1.965,00","1.959,00","1.959,34",1.04,318,"623,070","623,070"
2024-10-03,"1.940,00",",",",","1.939,13",0.0,0,0,0
2024-10-02,"1.940,00","1.940,00","1.939,00","1.939,13",-0.99,265,"513,870","513,870"
2024-10-01,"1.939,00",",",",","1.958,53",0.0,0,0,0
2024-09-30,"1.939,00","1.964,00","1.939,00","1.958,53",2.52,320,"626,730","626,730"
2024-09-27,"1.910,00","1.911,00","1.910,00","1.910,33",-2.69,150,"286,550","286,550"
2024-09-26,"1.964,00","1.964,00","1.963,00","1.963,15",2.95,59,"115,826","115,826"
2024-09-25,"1.791,00","1.930,00","1.791,00","1.906,83",-4.13,60,"114,410","114,410"
2024-09-24,"1.989,00","1.989,00","1.989,00","1.989,00",0.0,2,"3,978","3,978"
2024-09-23,"1.989,00","1.989,00","1.989,00","1.989,00",0.0,1,"1,989","1,989"
2024-09-20,"1.989,00",",",",","1.989,00",0.0,0,0,0
2024-09-19,"1.989,00",",",",","1.989,00",0.0,0,0,0
2024-09-18,"1.989,00","1.989,00","1.989,00","1.989,00",0.58,30,"59,670","59,670"
2024-09-17,"1.984,00","1.984,00","1.970,00","1.977,46",-0.58,417,"824,602","824,602"
2024-09-16,"1.989,00","1.989,00","1.989,00","1.989,00",0.34,234,"465,426","465,426"
2024-09-13,"1.980,00","1.989,00","1.950,00","1.982,33",-0.15,721,"1,429,262","1,429,262"
2024-09-12,"1.989,00","1.990,00","1.960,00","1.985,36",-0.09,148,"293,834","293,834"
2024-09-11,"1.989,00","1.989,00","1.987,00","1.987,22",0.01,258,"512,704","512,704"
2024-09-10,"1.987,00","1.987,00","1.987,00","1.987,00",1.61,5,"9,935","9,935"
2024-09-06,"1.989,00",",",",","1.955,43",0.0,0,0,0
2024-09-05,"1.989,00","1.989,00","1.955,00","1.955,43",-2.18,314,"614,006","614,006"
2024-09-04,"1.999,00","1.999,00","1.999,00","1.999,00",0.89,5,"9,995","9,995"
2024-09-03,"1.999,00","1.999,00","1.979,00","1.981,38",0.08,227,"449,773","449,773"
2024-09-02,"1.980,00","1.980,00","1.978,00","1.979,74",0.08,385,"762,200","762,200"
2024-08-30,"1.978,00","1.980,00","1.975,00","1.978,22",0.42,225,"445,100","445,100"
2024-08-29,"1.970,00","1.970,00","1.970,00","1.970,00",-1.49,80,"157,600","157,600"
2024-08-27,"2.000,00","2.000,00","1.999,00","1.999,83",1.21,590,"1,179,900","1,179,900"
2024-08-26,"1.976,00","1.976,00","1.976,00","1.976,00",2.97,400,"790,400","790,400"
2024-08-23,"1.999,00","1.999,00","1.915,00","1.919,00",3.17,210,"402,990","402,990"
2024-08-22,"1.860,00","1.860,00","1.860,00","1.860,00",0.24,80,"148,800","148,800"
2024-08-21,"1.840,00","1.868,00","1.840,00","1.855,50",-0.78,159,"295,024","295,024"
2024-08-20,"1.870,00","1.870,00","1.870,00","1.870,00",0.0,250,"467,500","467,500"
2024-08-19,"1.870,00","1.870,00","1.870,00","1.870,00",-0.01,160,"299,200","299,200"
2024-08-16,"1.800,00","1.885,00","1.800,00","1.870,10",2.02,299,"559,160","559,160"
2024-08-15,"1.820,00","1.845,00","1.820,00","1.833,08",1.84,130,"238,300","238,300"
2024-08-14,"1.800,00",",",",","1.800,00",0.0,0,0,0
2024-08-13,"1.800,00","1.800,00","1.800,00","1.800,00",-2.36,381,"685,800","685,800"
2024-08-12,"1.849,00","1.850,00","1.748,00","1.843,46",2.31,345,"635,995","635,995"
2024-08-09,"1.800,00","1.810,00","1.800,00","1.801,82",0.31,550,"991,000","991,000"
2024-08-08,"1.797,00","1.797,00","1.795,00","1.796,19",2.1,829,"1,489,045","1,489,045"
2024-08-07,"1.755,00","1.796,00","1.755,00","1.759,21",-2.1,78,"137,218","137,218"
2024-08-06,"1.797,00","1.798,00","1.790,00","1.796,94",-0.17,190,"341,419","341,419"
2024-08-05,"1.800,00","1.800,00","1.800,00","1.800,00",-2.28,270,"486,000","486,000"
2024-08-01,"1.835,00","1.850,00","1.834,00","1.842,05",2.34,770,"1,418,380","1,418,380"
2024-07-31,"1.800,00","1.800,00","1.800,00","1.800,00",-0.04,50,"90,000","90,000"
2024-07-30,"1.800,00","1.840,00","1.800,00","1.800,76",-0.05,"1,775","3,196,341","3,196,341"
2024-07-29,"1.843,00","1.843,00","1.800,00","1.801,74",0.66,811,"1,461,215","1,461,215"
2024-07-26,"1.790,00","1.790,00","1.790,00","1.790,00",2.89,200,"358,000","358,000"
2024-07-25,"1.780,00","1.800,00","1.719,00","1.739,64",4.0,"1,382","2,404,188","2,404,188"
2024-07-24,"1.720,00","1.720,00","1.650,00","1.672,78",1.62,"1,726","2,887,210","2,887,210"
2024-07-23,"1.645,00","1.650,00","1.645,00","1.646,13",0.22,413,"679,850","679,850"
2024-07-22,"1.635,00","1.645,00","1.635,00","1.642,55",0.59,200,"328,510","328,510"
2024-07-19,"1.637,00","1.637,00","1.630,00","1.632,92",2.73,510,"832,791","832,791"
2024-07-18,"1.600,00","1.601,00","1.579,00","1.589,46",1.3,"2,124","3,376,020","3,376,020"
2024-07-17,"1.575,00","1.575,00","1.568,00","1.569,09",0.07,"1,132","1,776,208","1,776,208"
2024-07-16,"1.568,00","1.568,00","1.568,00","1.568,00",0.2,44,"68,992","68,992"
2024-07-15,"1.568,00","1.568,00","1.560,00","1.564,80",0.14,125,"195,600","195,600"
2024-07-12,"1.560,00","1.568,00","1.560,00","1.562,64",-0.36,303,"473,480","473,480"
2024-07-11,"1.568,00","1.569,00","1.568,00","1.568,26",0.56,95,"148,985","148,985"
2024-07-10,"1.560,00","1.565,00","1.550,00","1.559,59",0.11,"1,328","2,071,140","2,071,140"
2024-07-09,"1.559,00","1.560,00","1.550,00","1.557,94",0.51,685,"1,067,190","1,067,190"
2024-07-08,"1.550,00","1.550,00","1.550,00","1.550,00",-0.62,170,"263,500","263,500"
2024-07-05,"1.559,00","1.560,00","1.559,00","1.559,65",1.35,935,"1,458,276","1,458,276"
2024-07-04,"1.559,00","1.559,00","1.502,00","1.538,84",-0.95,"2,389","3,676,278","3,676,278"
2024-07-03,"1.550,00","1.559,00","1.550,00","1.553,60",-0.41,500,"776,800","776,800"
2024-07-02,"1.560,00",",",",","1.560,00",0.0,0,0,0
