Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"650,00",",",",","650,00",0.0,0,0,0
2024-11-07,"650,00",",",",","650,00",0.0,0,0,0
2024-11-06,"650,00",",",",","650,00",0.0,0,0,0
2024-11-05,"650,00",",",",","650,00",0.0,0,0,0
2024-11-04,"650,00",",",",","650,00",0.0,0,0,0
2024-11-01,"650,00","650,00","650,00","650,00",-14.47,43,"27,950","27,950"
2024-10-31,"760,00",",",",","760,00",0.0,0,0,0
2024-10-30,"760,00",",",",","760,00",0.0,0,0,0
2024-10-29,"760,00",",",",","760,00",0.0,0,0,0
2024-10-28,"760,00",",",",","760,00",0.0,0,0,0
2024-10-25,"760,00",",",",","760,00",0.0,0,0,0
2024-10-24,"760,00",",",",","760,00",0.0,0,0,0
2024-10-22,"760,00",",",",","760,00",0.0,0,0,0
2024-10-21,"760,00",",",",","760,00",0.0,0,0,0
2024-10-18,"760,00",",",",","760,00",0.0,0,0,0
2024-10-17,"760,00",",",",","760,00",0.0,0,0,0
2024-10-16,"760,00",",",",","760,00",0.0,0,0,0
2024-10-15,"760,00",",",",","760,00",0.0,0,0,0
2024-10-14,"760,00",",",",","760,00",0.0,0,0,0
2024-10-10,"760,00",",",",","760,00",0.0,0,0,0
2024-10-09,"760,00",",",",","760,00",0.0,0,0,0
2024-10-08,"760,00",",",",","760,00",0.0,0,0,0
2024-10-07,"760,00",",",",","760,00",0.0,0,0,0
2024-10-04,"760,00",",",",","760,00",0.0,0,0,0
2024-10-03,"760,00",",",",","760,00",0.0,0,0,0
2024-10-02,"760,00",",",",","760,00",0.0,0,0,0
2024-10-01,"760,00",",",",","760,00",0.0,0,0,0
2024-09-30,"760,00",",",",","760,00",0.0,0,0,0
2024-09-27,"760,00",",",",","760,00",0.0,0,0,0
2024-09-26,"760,00",",",",","760,00",0.0,0,0,0
2024-09-25,"760,00",",",",","760,00",0.0,0,0,0
2024-09-24,"760,00","760,00","760,00","760,00",-0.13,32,"24,320","24,320"
2024-09-23,"761,00",",",",","761,00",0.0,0,0,0
2024-09-20,"761,00",",",",","761,00",0.0,0,0,0
2024-09-19,"761,00",",",",","761,00",0.0,0,0,0
2024-09-18,"761,00",",",",","761,00",0.0,0,0,0
2024-09-17,"761,00",",",",","761,00",0.0,0,0,0
2024-09-16,"761,00",",",",","761,00",0.0,0,0,0
