Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-11-07,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-11-06,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-11-05,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-11-04,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-11-01,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-31,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-30,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-29,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-28,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-25,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-24,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-22,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-21,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-18,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-17,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-16,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-15,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-14,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-10,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-09,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-08,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-07,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-04,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-03,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-02,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-10-01,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-30,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-27,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-26,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-25,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-24,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-23,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-20,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-19,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-18,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-17,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-16,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-13,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-12,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-11,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-10,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-06,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-05,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-04,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-03,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-09-02,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-30,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-29,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-27,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-26,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-23,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-22,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-21,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-20,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-19,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-16,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-15,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-14,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-13,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-12,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-09,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-08,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-07,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-06,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-05,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-08-01,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-31,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-30,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-29,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-26,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-25,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-24,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-23,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-22,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-19,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-18,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-17,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-16,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-15,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-12,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-11,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-10,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-09,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-08,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-05,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-04,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-03,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-02,"16.010,00",",",",","16.010,00",0.0,0,0,0
2024-07-01,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-29,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-28,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-27,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-26,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-23,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-22,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-21,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-20,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-19,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-16,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-15,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-14,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-13,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-12,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-09,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-07,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-06,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-05,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-02,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-12-01,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-30,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-29,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-28,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-25,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-24,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-23,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-22,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-21,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-18,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-17,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-16,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-15,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-14,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-11,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-10,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-09,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-08,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-07,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-04,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-03,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-02,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-11-01,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-31,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-28,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-27,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-26,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-25,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-21,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-20,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-19,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-18,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-17,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-14,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-13,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-12,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-10,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-07,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-06,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-05,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-04,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-10-03,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-30,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-29,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-28,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-27,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-26,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-23,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-22,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-21,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-20,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-19,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-16,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-15,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-14,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-13,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-12,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-09,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-07,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-06,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-05,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-02,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-09-01,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-31,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-30,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-29,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-26,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-25,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-24,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-23,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-22,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-19,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-18,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-17,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-16,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-15,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-12,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-11,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-10,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-09,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-08,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-05,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-04,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-03,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-08-01,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-29,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-28,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-27,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-26,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-25,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-22,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-21,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-20,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-19,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-18,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-15,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-14,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-13,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-12,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-11,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-08,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-07,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-06,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-05,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-04,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-07-01,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-30,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-29,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-28,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-27,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-24,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-23,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-22,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-21,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-20,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-17,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-16,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-15,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-14,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-13,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-09,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-08,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-07,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-06,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-03,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-02,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-06-01,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-31,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-30,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-27,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-26,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-25,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-23,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-20,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-19,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-18,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-17,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-16,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-13,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-12,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-11,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-10,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-09,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-06,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-05,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-04,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-05-03,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-29,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-28,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-27,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-26,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-21,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-20,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-19,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-18,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-15,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-14,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-13,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-12,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-11,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-08,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-07,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-06,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-05,"16.010,00",",",",","16.010,00",0.0,0,0,0
2022-04-04,"16.010,00",",",",","16.010,00",0.0,0,0,0
