Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"410,00","410,00","407,00","408,47",-0.44,"1,146","468,110","468,110"
2024-11-07,"410,00","411,00","410,00","410,29",-1.13,700,"287,200","287,200"
2024-11-06,"415,00","415,00","415,00","415,00",-0.72,504,"209,160","209,160"
2024-11-05,"418,00","418,00","418,00","418,00",-0.48,13,"5,434","5,434"
2024-11-04,"420,00",",",",","420,00",0.0,0,0,0
2024-11-01,"420,00","420,00","420,00","420,00",2.42,164,"68,880","68,880"
2024-10-31,"410,00","420,00","410,00","410,07",-1.43,"1,452","595,420","595,420"
2024-10-30,"417,00","420,00","415,00","416,02",-2.57,"5,064","2,106,748","2,106,748"
2024-10-29,"427,00",",",",","427,00",0.0,0,0,0
2024-10-28,"427,00","427,00","427,00","427,00",2.15,15,"6,405","6,405"
2024-10-25,"418,00","418,00","418,00","418,00",-2.56,412,"172,216","172,216"
2024-10-24,"429,00","429,00","429,00","429,00",-0.23,135,"57,915","57,915"
2024-10-22,"430,00",",",",","430,00",0.0,0,0,0
2024-10-21,"430,00",",",",","430,00",0.0,0,0,0
2024-10-18,"430,00","430,00","430,00","430,00",2.04,38,"16,340","16,340"
2024-10-17,"415,00",",",",","421,42",0.0,0,0,0
2024-10-16,"415,00","436,00","415,00","421,42",-3.57,288,"121,368","121,368"
2024-10-15,"437,00",",",",","437,00",0.0,0,0,0
2024-10-14,"437,00",",",",","437,00",0.0,0,0,0
2024-10-10,"437,00","437,00","437,00","437,00",0.0,50,"21,850","21,850"
2024-10-09,"437,00",",",",","437,00",0.0,0,0,0
2024-10-08,"437,00","437,00","437,00","437,00",7.9,100,"43,700","43,700"
2024-10-07,"405,00","405,00","405,00","405,00",0.29,200,"81,000","81,000"
2024-10-04,"400,00","415,00","400,00","403,83",-1.5,600,"242,300","242,300"
2024-10-03,"410,00","410,00","410,00","410,00",-1.2,200,"82,000","82,000"
2024-10-02,"415,00","415,00","415,00","415,00",1.11,"1,435","595,525","595,525"
2024-10-01,"410,00","415,00","410,00","410,45",0.14,220,"90,300","90,300"
2024-09-30,"415,00",",",",","409,86",0.0,0,0,0
2024-09-27,"415,00","415,00","409,00","409,86",1.2,350,"143,450","143,450"
2024-09-26,"405,00","405,00","405,00","405,00",1.17,140,"56,700","56,700"
2024-09-25,"400,00",",",",","400,33",0.0,0,0,0
2024-09-24,"400,00","405,00","400,00","400,33",-2.36,750,"300,250","300,250"
2024-09-23,"410,00","410,00","410,00","410,00",0.0,100,"41,000","41,000"
2024-09-20,"410,00",",",",","410,00",0.0,0,0,0
2024-09-19,"410,00","410,00","410,00","410,00",0.0,234,"95,940","95,940"
2024-09-18,"410,00","410,00","410,00","410,00",1.23,88,"36,080","36,080"
2024-09-17,"405,00","405,00","405,00","405,00",-0.31,"1,904","771,120","771,120"
2024-09-16,"405,00","410,00","405,00","406,25",-0.59,751,"305,095","305,095"
2024-09-13,"408,00","415,00","407,00","408,65",0.19,"2,983","1,219,005","1,219,005"
2024-09-12,"410,00",",",",","407,86",0.0,0,0,0
2024-09-11,"410,00","410,00","405,00","407,86",0.49,700,"285,500","285,500"
2024-09-10,"405,00",",",",","405,87",0.0,0,0,0
2024-09-06,"405,00","407,00","405,00","405,87",-0.33,707,"286,949","286,949"
2024-09-05,"412,00",",",",","407,20",0.0,0,0,0
2024-09-04,"412,00",",",",","407,20",0.0,0,0,0
2024-09-03,"412,00","412,00","407,00","407,20",-0.29,"1,220","496,790","496,790"
2024-09-02,"408,00","409,00","408,00","408,40",-0.4,500,"204,200","204,200"
2024-08-30,"410,00","414,00","410,00","410,06",-0.04,316,"129,580","129,580"
2024-08-29,"410,00","414,00","410,00","410,24",-0.15,616,"252,710","252,710"
2024-08-27,"410,00","414,00","410,00","410,86",0.21,"1,400","575,200","575,200"
2024-08-26,"410,00","410,00","410,00","410,00",-0.01,694,"284,540","284,540"
2024-08-23,"410,00","414,00","410,00","410,05",-0.25,"1,108","454,332","454,332"
2024-08-22,"410,00","415,00","406,00","411,08",0.95,"1,980","813,935","813,935"
2024-08-21,"407,00",",",",","407,21",0.0,0,0,0
2024-08-20,"407,00","413,00","407,00","407,21",-1.4,"1,618","658,864","658,864"
2024-08-19,"413,00",",",",","413,00",0.0,0,0,0
2024-08-16,"413,00","413,00","413,00","413,00",0.0,16,"6,608","6,608"
2024-08-15,"413,00",",",",","413,00",0.0,0,0,0
2024-08-14,"413,00","413,00","413,00","413,00",0.49,111,"45,843","45,843"
2024-08-13,"411,00",",",",","411,00",0.0,0,0,0
2024-08-12,"411,00","411,00","411,00","411,00",0.0,262,"107,682","107,682"
2024-08-09,"411,00","411,00","411,00","411,00",0.98,26,"10,686","10,686"
2024-08-08,"407,00","407,00","407,00","407,00",-0.31,200,"81,400","81,400"
2024-08-07,"411,00","411,00","406,00","408,26",-0.67,310,"126,560","126,560"
2024-08-06,"411,00","411,00","411,00","411,00",-0.08,"1,298","533,478","533,478"
2024-08-05,"410,00","412,00","410,00","411,33",-1.36,"1,500","617,000","617,000"
