Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"2.635,00",",",",","2.635,00",0.0,0,0,0
2024-11-07,"2.635,00","2.635,00","2.635,00","2.635,00",-2.98,160,"421,600","421,600"
2024-11-06,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-11-05,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-11-04,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-11-01,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-31,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-30,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-29,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-28,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-25,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-24,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-22,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-21,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-18,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-17,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-16,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-15,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-14,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-10,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-09,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-10-08,"2.716,00","2.716,00","2.716,00","2.716,00",-3.0,70,"190,120","190,120"
2024-10-07,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-10-04,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-10-03,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-10-02,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-10-01,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-09-30,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-09-27,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-09-26,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-09-25,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-09-24,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-09-23,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-09-20,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-09-19,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-09-18,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-09-17,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-09-16,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-09-13,"2.800,00","2.800,00","2.800,00","2.800,00",-1.75,40,"112,000","112,000"
2024-09-12,"2.850,00",",",",","2.850,00",0.0,0,0,0
2024-09-11,"2.850,00",",",",","2.850,00",0.0,0,0,0
2024-09-10,"2.850,00",",",",","2.850,00",0.0,0,0,0
2024-09-06,"2.850,00","2.850,00","2.850,00","2.850,00",0.0,17,"48,450","48,450"
2024-09-05,"2.850,00",",",",","2.850,00",0.0,0,0,0
2024-09-04,"2.850,00",",",",","2.850,00",0.0,0,0,0
2024-09-03,"2.850,00","2.850,00","2.850,00","2.850,00",-1.69,50,"142,500","142,500"
2024-09-02,"2.899,00",",",",","2.899,00",0.0,0,0,0
2024-08-30,"2.899,00","2.899,00","2.899,00","2.899,00",-1.73,95,"275,405","275,405"
2024-08-29,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-27,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-26,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-23,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-22,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-21,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-20,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-19,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-16,"2.950,00",",",",","2.950,00",0.0,0,0,0
2024-08-15,"2.950,00","2.950,00","2.950,00","2.950,00",-0.41,1,"2,950","2,950"
2024-08-14,"2.962,00",",",",","2.962,00",0.0,0,0,0
2024-08-13,"2.962,00",",",",","2.962,00",0.0,0,0,0
2024-08-12,"2.962,00",",",",","2.962,00",0.0,0,0,0
2024-08-09,"2.962,00",",",",","2.962,00",0.0,0,0,0
2024-08-08,"2.962,00","2.962,00","2.962,00","2.962,00",-2.97,60,"177,720","177,720"
2024-08-07,"3.149,00",",",",","3.052,67",0.0,0,0,0
2024-08-06,"3.149,00",",",",","3.052,67",0.0,0,0,0
2024-08-05,"3.149,00",",",",","3.052,67",0.0,0,0,0
2024-08-01,"3.149,00",",",",","3.052,67",0.0,0,0,0
2024-07-31,"3.149,00","3.150,00","2.870,00","3.052,67",6.36,903,"2,756,561","12,742,061"
2024-07-30,"2.870,00",",",",","2.870,00",0.0,0,0,0
2024-07-29,"2.870,00",",",",","2.870,00",0.0,0,0,0
2024-07-26,"2.870,00",",",",","2.870,00",0.0,0,0,0
2024-07-25,"2.870,00","2.870,00","2.870,00","2.870,00",0.0,22,"63,140","63,140"
2024-07-24,"2.870,00","2.870,00","2.870,00","2.870,00",0.0,2,"5,740","5,740"
2024-07-23,"2.870,00",",",",","2.870,00",0.0,0,0,0
2024-07-22,"2.870,00",",",",","2.870,00",0.0,0,0,0
2024-07-19,"2.870,00","2.870,00","2.870,00","2.870,00",-3.37,10,"28,700","28,700"
2024-07-18,"2.970,00",",",",","2.970,00",0.0,0,0,0
2024-07-17,"2.970,00","2.970,00","2.970,00","2.970,00",10.0,2,"5,940","5,940"
2024-07-16,"2.700,00",",",",","2.700,00",0.0,0,0,0
2024-07-15,"2.700,00","2.700,00","2.700,00","2.700,00",-10.0,7,"18,900","18,900"
2024-07-12,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-07-11,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-07-10,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-07-09,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-07-08,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-07-05,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-07-04,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-07-03,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-07-02,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-07-01,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-06-28,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-06-27,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-06-26,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-06-25,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-06-24,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-06-20,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-06-19,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-06-18,"3.000,00",",",",","3.000,00",0.0,0,0,"60,221,700"
2024-06-17,"3.000,00",",",",","3.000,00",0.0,0,0,0
2024-06-14,"3.000,00","3.000,00","3.000,00","3.000,00",7.18,5,"15,000","15,000"
2024-06-13,"2.799,00","2.799,00","2.799,00","2.799,00",1.78,20,"55,980","55,980"
2024-06-12,"2.750,00","2.750,00","2.750,00","2.750,00",0.36,669,"1,839,750","1,839,750"
2024-06-11,"2.740,00","2.740,00","2.740,00","2.740,00",1.44,82,"224,680","224,680"
2024-06-10,"2.701,00",",",",","2.701,00",0.0,0,0,0
2024-06-07,"2.701,00",",",",","2.701,00",0.0,0,0,0
2024-06-06,"2.701,00",",",",","2.701,00",0.0,0,0,0
2024-06-05,"2.701,00","2.701,00","2.701,00","2.701,00",-0.55,5,"13,505","13,505"
2024-06-04,"2.716,00",",",",","2.716,00",0.0,0,0,0
2024-06-03,"2.716,00","2.716,00","2.716,00","2.716,00",-3.0,122,"331,352","331,352"
2024-05-31,"2.800,00","2.800,00","2.800,00","2.800,00",0.0,400,"1,120,000","1,120,000"
2024-05-30,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-05-29,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-05-28,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-05-27,"2.800,00","2.800,00","2.800,00","2.800,00",-2.13,128,"358,400","358,400"
2024-05-23,"2.861,00",",",",","2.861,00",0.0,0,0,0
2024-05-22,"2.861,00",",",",","2.861,00",0.0,0,0,0
2024-05-21,"2.861,00",",",",","2.861,00",0.0,0,0,0
2024-05-20,"2.861,00",",",",","2.861,00",0.0,0,0,0
2024-05-17,"2.861,00",",",",","2.861,00",0.0,0,0,0
2024-05-16,"2.861,00",",",",","2.861,00",0.0,0,0,0
2024-05-15,"2.861,00","2.861,00","2.861,00","2.861,00",-2.98,82,"234,602","234,602"
2024-05-14,"2.949,00",",",",","2.949,00",0.0,0,0,0
2024-05-13,"2.949,00",",",",","2.949,00",0.0,0,0,0
2024-05-10,"2.949,00",",",",","2.949,00",0.0,0,0,0
2024-05-09,"2.949,00",",",",","2.949,00",0.0,0,0,0
2024-05-07,"2.949,00",",",",","2.949,00",0.0,0,0,0
2024-05-02,"2.949,00","2.949,00","2.949,00","2.949,00",-0.67,33,"97,317","97,317"
2024-04-30,"2.969,00",",",",","2.969,00",0.0,0,0,0
2024-04-29,"2.969,00",",",",","2.969,00",0.0,0,0,0
2024-04-26,"2.969,00","2.969,00","2.969,00","2.969,00",2.38,11,"32,659","32,659"
2024-04-25,"2.900,00","2.900,00","2.900,00","2.900,00",0.66,100,"290,000","290,000"
2024-04-23,"2.881,00","2.881,00","2.881,00","2.881,00",0.0,10,"28,810","28,810"
2024-04-22,"2.881,00","2.881,00","2.881,00","2.881,00",-3.0,100,"288,100","288,100"
2024-04-19,"2.970,00",",",",","2.970,00",0.0,0,0,0
2024-04-18,"2.970,00",",",",","2.970,00",0.0,0,0,0
2024-04-17,"2.970,00",",",",","2.970,00",0.0,0,0,0
2024-04-16,"2.970,00",",",",","2.970,00",0.0,0,0,0
2024-04-15,"2.970,00",",",",","2.970,00",0.0,0,0,0
2024-04-12,"2.970,00",",",",","2.970,00",0.0,0,0,0
2024-04-11,"2.970,00",",",",","2.970,00",0.0,0,0,0
2024-04-09,"2.970,00",",",",","2.970,00",0.0,0,0,0
2024-04-08,"2.970,00","2.970,00","2.970,00","2.970,00",2.98,20,"59,400","59,400"
2024-04-05,"2.884,00",",",",","2.884,00",0.0,0,0,0
2024-04-04,"2.884,00",",",",","2.884,00",0.0,0,0,0
2024-04-03,"2.884,00","2.884,00","2.884,00","2.884,00",3.0,30,"86,520","86,520"
2024-04-02,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-04-01,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-29,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-28,"2.800,00","2.800,00","2.800,00","2.800,00",0.0,50,"140,000","140,000"
2024-03-27,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-26,"2.800,00","2.800,00","2.800,00","2.800,00",0.0,50,"140,000","140,000"
2024-03-25,"2.800,00","2.800,00","2.800,00","2.800,00",0.0,62,"173,600","173,600"
2024-03-22,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-21,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-20,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-19,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-18,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-15,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-14,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-13,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-12,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-11,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-08,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-07,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-06,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-05,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-04,"2.800,00",",",",","2.800,00",0.0,0,0,0
2024-03-01,"2.800,00",",",",","2.800,00",0.0,0,0,0
