Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"6.600,00","6.600,00","6.600,00","6.600,00",-1.49,1,"6,600","6,600"
2024-11-07,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-11-06,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-11-05,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-11-04,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-11-01,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-31,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-30,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-29,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-28,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-25,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-24,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-22,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-21,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-18,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-17,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-16,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-15,"6.700,00","6.700,00","6.700,00","6.700,00",-0.74,27,"180,900","180,900"
2024-10-14,"6.750,00","6.750,00","6.750,00","6.750,00",0.75,22,"148,500","148,500"
2024-10-10,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-09,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-08,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-07,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-04,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-03,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-02,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-10-01,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-30,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-27,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-26,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-25,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-24,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-23,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-20,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-19,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-18,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-17,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-16,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-13,"6.700,00","6.700,00","6.700,00","6.700,00",0.0,34,"227,800","227,800"
2024-09-12,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-11,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-10,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-06,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-05,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-04,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-03,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-09-02,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-30,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-29,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-27,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-26,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-23,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-22,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-21,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-20,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-19,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-16,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-15,"6.700,00","6.700,00","6.700,00","6.700,00",0.0,10,"67,000","67,000"
2024-08-14,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-13,"6.700,00","6.700,00","6.700,00","6.700,00",0.0,35,"234,500","234,500"
2024-08-12,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-09,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-08,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-07,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-06,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-05,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-08-01,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-31,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-30,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-29,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-26,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-25,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-24,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-23,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-22,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-19,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-18,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-17,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-16,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-15,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-12,"6.700,00","6.700,00","6.700,00","6.700,00",0.0,10,"67,000","67,000"
2024-07-11,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-10,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-09,"6.700,00","6.700,00","6.700,00","6.700,00",0.0,19,"127,300","127,300"
2024-07-08,"6.700,00","6.700,00","6.700,00","6.700,00",0.0,21,"140,700","140,700"
2024-07-05,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-04,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-03,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-02,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-07-01,"6.700,00",",",",","6.700,00",0.0,0,0,0
2024-06-28,"6.700,00","6.700,00","6.700,00","6.700,00",0.01,10,"67,000","67,000"
2024-06-27,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-26,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-25,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-24,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-20,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-19,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-18,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-17,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-14,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-13,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-12,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-11,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-10,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-07,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-06,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-05,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-04,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-06-03,"6.699,00",",",",","6.699,00",0.0,0,0,0
2024-05-31,"6.699,00","6.699,00","6.699,00","6.699,00",0.74,70,"468,930","468,930"
2024-05-30,"6.650,00",",",",","6.650,00",0.0,0,0,0
2024-05-29,"6.650,00",",",",","6.650,00",0.0,0,0,0
2024-05-28,"6.650,00",",",",","6.650,00",0.0,0,0,0
2024-05-27,"6.650,00",",",",","6.650,00",0.0,0,0,0
2024-05-23,"6.650,00","6.650,00","6.650,00","6.650,00",1.51,51,"339,150","339,150"
