Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"45.000,00","45.000,00","45.000,00","45.000,00",0.0,20,"900,000","900,000"
2024-11-07,"45.000,00","45.000,00","45.000,00","45.000,00",0.46,42,"1,890,000","1,890,000"
2024-11-06,"44.750,00","45.000,00","44.750,00","44.793,57",-0.25,23,"1,030,252","1,030,252"
2024-11-05,"45.000,00","45.000,00","44.750,00","44.907,11",0.4,90,"4,041,640","4,041,640"
2024-11-04,"44.750,00","44.880,00","44.700,00","44.727,80",-0.02,104,"4,651,691","4,651,691"
2024-11-01,"44.750,00","44.880,00","44.700,00","44.734,90",-0.35,51,"2,281,480","2,281,480"
2024-10-31,"44.890,00","44.890,00","44.890,00","44.890,00",-0.02,23,"1,032,470","1,032,470"
2024-10-30,"44.900,00","44.900,00","44.900,00","44.900,00",0.69,6,"269,400","269,400"
2024-10-29,"44.551,00","44.995,00","44.551,00","44.592,30",-0.81,54,"2,407,984","2,407,984"
2024-10-28,"44.994,00","44.997,00","44.550,00","44.954,46",0.57,63,"2,832,131","2,832,131"
2024-10-25,"44.700,00","44.700,00","44.700,00","44.700,00",0.22,9,"402,300","402,300"
2024-10-24,"44.600,00","44.600,00","44.600,00","44.600,00",-0.22,15,"669,000","669,000"
2024-10-22,"44.700,00","44.700,00","44.700,00","44.700,00",-0.32,20,"894,000","894,000"
2024-10-21,"44.700,00","44.998,00","44.700,00","44.841,90",-0.35,21,"941,680","941,680"
2024-10-18,"44.998,00","44.998,00","44.998,00","44.998,00",0.0,13,"584,974","584,974"
2024-10-17,"44.999,00",",",",","44.998,80",0.0,0,0,0
2024-10-16,"44.999,00","44.999,00","44.998,00","44.998,80",0.0,5,"224,994","224,994"
2024-10-15,"44.998,00","44.998,00","44.998,00","44.998,00",0.0,13,"584,974","584,974"
2024-10-14,"44.995,00","45.000,00","44.990,00","44.997,44",0.14,27,"1,214,931","1,214,931"
2024-10-10,"44.999,00","44.999,00","44.890,00","44.935,56",0.75,27,"1,213,260","1,213,260"
2024-10-09,"44.601,00","44.601,00","44.601,00","44.601,00",-0.22,2,"89,202","89,202"
2024-10-08,"44.700,00","44.701,00","44.700,00","44.700,40",-0.53,10,"447,004","447,004"
2024-10-07,"44.998,00","44.998,00","44.600,00","44.940,43",0.69,14,"629,166","629,166"
