Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"100,00",",",",","100,00",0.0,0,0,0
2024-11-07,"100,00",",",",","100,00",0.0,0,0,0
2024-11-06,"100,00",",",",","100,00",0.0,0,0,0
2024-11-05,"100,00",",",",","100,00",0.0,0,0,0
2024-11-04,"100,00",",",",","100,00",0.0,0,0,0
2024-11-01,"100,00",",",",","100,00",0.0,0,0,0
2024-10-31,"100,00",",",",","100,00",0.0,0,0,0
2024-10-30,"100,00",",",",","100,00",0.0,0,0,0
2024-10-29,"100,00",",",",","100,00",0.0,0,0,0
2024-10-28,"100,00",",",",","100,00",0.0,0,0,0
2024-10-25,"100,00",",",",","100,00",0.0,0,0,0
2024-10-24,"100,00",",",",","100,00",0.0,0,0,0
2024-10-22,"100,00",",",",","100,00",0.0,0,0,0
2024-10-21,"100,00",",",",","100,00",0.0,0,0,0
2024-10-18,"100,00",",",",","100,00",0.0,0,0,0
2024-10-17,"100,00",",",",","100,00",0.0,0,0,0
2024-10-16,"100,00",",",",","100,00",0.0,0,0,0
2024-10-15,"100,00",",",",","100,00",0.0,0,0,0
2024-10-14,"100,00",",",",","100,00",0.0,0,0,0
2024-10-10,"100,00",",",",","100,00",0.0,0,0,0
2024-10-09,"100,00",",",",","100,00",0.0,0,0,0
2024-10-08,"100,00",",",",","100,00",0.0,0,0,0
2024-10-07,"100,00",",",",","100,00",0.0,0,0,0
2024-10-04,"100,00",",",",","100,00",0.0,0,0,0
2024-10-03,"100,00",",",",","100,00",0.0,0,0,0
2024-10-02,"100,00",",",",","100,00",0.0,0,0,0
2024-10-01,"100,00",",",",","100,00",0.0,0,0,0
2024-09-30,"100,00",",",",","100,00",0.0,0,0,0
2024-09-27,"100,00",",",",","100,00",0.0,0,0,0
2024-09-26,"100,00",",",",","100,00",0.0,0,0,0
2024-09-25,"100,00",",",",","100,00",0.0,0,0,0
2024-09-24,"100,00",",",",","100,00",0.0,0,0,0
2024-09-23,"100,00",",",",","100,00",0.0,0,0,0
2024-09-20,"100,00",",",",","100,00",0.0,0,0,0
2024-09-19,"100,00",",",",","100,00",0.0,0,0,0
2024-09-18,"100,00",",",",","100,00",0.0,0,0,0
2024-09-17,"100,00",",",",","100,00",0.0,0,0,0
2024-09-16,"100,00",",",",","100,00",0.0,0,0,0
2024-09-13,"100,00",",",",","100,00",0.0,0,0,0
2024-09-12,"100,00",",",",","100,00",0.0,0,0,0
2024-09-11,"100,00",",",",","100,00",0.0,0,0,0
2024-09-10,"100,00",",",",","100,00",0.0,0,0,0
2024-09-06,"100,00",",",",","100,00",0.0,0,0,0
2024-09-05,"100,00",",",",","100,00",0.0,0,0,0
2024-09-04,"100,00",",",",","100,00",0.0,0,0,0
2024-09-03,"100,00",",",",","100,00",0.0,0,0,0
2024-09-02,"100,00",",",",","100,00",0.0,0,0,0
2024-08-30,"100,00",",",",","100,00",0.0,0,0,0
2024-08-29,"100,00",",",",","100,00",0.0,0,0,0
2024-08-27,"100,00",",",",","100,00",0.0,0,0,0
2024-08-26,"100,00",",",",","100,00",0.0,0,0,0
2024-08-23,"100,00",",",",","100,00",0.0,0,0,0
2024-08-22,"100,00",",",",","100,00",0.0,0,0,0
