Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"1.950,00","1.950,00","1.950,00","1.950,00",0.26,175,"341,250","341,250"
2024-11-07,"1.945,00",",",",","1.945,00",0.0,0,0,0
2024-11-06,"1.945,00",",",",","1.945,00",0.0,0,0,0
2024-11-05,"1.945,00",",",",","1.945,00",0.0,0,0,0
2024-11-04,"1.945,00",",",",","1.945,00",0.0,0,0,0
2024-11-01,"1.945,00",",",",","1.945,00",0.0,0,0,0
2024-10-31,"1.945,00",",",",","1.945,00",0.0,0,0,0
2024-10-30,"1.945,00","1.945,00","1.945,00","1.945,00",-0.05,125,"243,125","243,125"
2024-10-29,"1.946,00","1.946,00","1.946,00","1.946,00",0.0,91,"177,086","177,086"
2024-10-28,"1.946,00","1.946,00","1.946,00","1.946,00",-2.99,110,"214,060","214,060"
2024-10-25,"2.006,00",",",",","2.006,00",0.0,0,0,0
2024-10-24,"2.006,00",",",",","2.006,00",0.0,0,0,0
2024-10-22,"2.006,00",",",",","2.006,00",0.0,0,0,0
2024-10-21,"2.006,00",",",",","2.006,00",0.0,0,0,0
2024-10-18,"2.006,00","2.006,00","2.006,00","2.006,00",0.0,3,"6,018","6,018"
2024-10-17,"2.006,00","2.006,00","2.006,00","2.006,00",3.53,6,"12,036","12,036"
2024-10-16,"1.900,00","1.946,00","1.900,00","1.937,64",-0.43,11,"21,314","21,314"
2024-10-15,"1.946,00","1.946,00","1.946,00","1.946,00",-2.99,300,"583,800","583,800"
2024-10-14,"2.006,00","2.006,00","2.006,00","2.006,00",8.43,10,"20,060","20,060"
2024-10-10,"1.850,00","1.850,00","1.850,00","1.850,00",-7.41,165,"305,250","305,250"
2024-10-09,"1.998,00","1.998,00","1.998,00","1.998,00",0.0,10,"19,980","19,980"
2024-10-08,"1.998,00","1.998,00","1.998,00","1.998,00",2.46,14,"27,972","27,972"
2024-10-07,"1.950,00",",",",","1.950,00",0.0,0,0,0
2024-10-04,"1.950,00","1.950,00","1.950,00","1.950,00",0.1,16,"31,200","31,200"
2024-10-03,"1.920,00",",",",","1.947,97",0.0,0,0,0
2024-10-02,"1.920,00",",",",","1.947,97",0.0,0,0,0
2024-10-01,"1.920,00",",",",","1.947,97",0.0,0,0,0
2024-09-30,"1.920,00",",",",","1.947,97",0.0,0,0,0
2024-09-27,"1.920,00",",",",","1.947,97",0.0,0,0,0
2024-09-26,"1.920,00",",",",","1.947,97",0.0,0,0,0
2024-09-25,"1.920,00","1.972,00","1.920,00","1.947,97",-1.22,760,"1,480,460","1,480,460"
2024-09-24,"1.972,00","1.972,00","1.972,00","1.972,00",6.71,20,"39,440","39,440"
2024-09-23,"1.848,00","1.848,00","1.848,00","1.848,00",2.98,57,"105,336","105,336"
2024-09-20,"1.800,00",",",",","1.794,52",0.0,0,0,0
2024-09-19,"1.800,00",",",",","1.794,52",0.0,0,0,0
2024-09-18,"1.800,00","1.800,00","1.790,00","1.794,52",3.31,73,"131,000","131,000"
2024-09-17,"1.790,00","1.790,00","1.721,00","1.737,05",-0.46,43,"74,693","74,693"
2024-09-16,"1.741,00",",",",","1.745,10",0.0,0,0,0
2024-09-13,"1.741,00","1.780,00","1.731,00","1.745,10",1.46,"1,423","2,483,271","2,483,271"
2024-09-12,"1.720,00","1.720,00","1.720,00","1.720,00",0.0,25,"43,000","43,000"
2024-09-11,"1.720,00",",",",","1.720,00",0.0,0,0,0
2024-09-10,"1.720,00","1.720,00","1.720,00","1.720,00",-1.21,221,"380,120","380,120"
2024-09-06,"1.741,00",",",",","1.741,00",0.0,0,0,0
2024-09-05,"1.741,00","1.741,00","1.741,00","1.741,00",0.0,10,"17,410","17,410"
2024-09-04,"1.741,00",",",",","1.741,00",0.0,0,0,0
2024-09-03,"1.741,00",",",",","1.741,00",0.0,0,0,0
2024-09-02,"1.741,00",",",",","1.741,00",0.0,0,0,0
2024-08-30,"1.741,00","1.741,00","1.741,00","1.741,00",-2.19,206,"358,646","358,646"
2024-08-29,"1.780,00","1.780,00","1.780,00","1.780,00",0.32,100,"178,000","178,000"
2024-08-27,"1.760,00","1.781,00","1.760,00","1.774,32",2.56,88,"156,140","156,140"
2024-08-26,"1.730,00",",",",","1.730,00",0.0,0,0,0
2024-08-23,"1.730,00","1.730,00","1.730,00","1.730,00",0.11,154,"266,420","266,420"
2024-08-22,"1.739,00","1.739,00","1.691,00","1.728,13",2.2,53,"91,591","91,591"
2024-08-21,"1.691,00","1.691,00","1.691,00","1.691,00",0.0,349,"590,159","590,159"
2024-08-20,"1.691,00","1.691,00","1.691,00","1.691,00",5.42,11,"18,601","18,601"
2024-08-19,"1.604,00",",",",","1.604,00",0.0,0,0,0
2024-08-16,"1.604,00","1.604,00","1.604,00","1.604,00",0.25,31,"49,724","49,724"
2024-08-15,"1.600,00",",",",","1.600,00",0.0,0,0,0
2024-08-14,"1.600,00","1.600,00","1.600,00","1.600,00",-2.56,500,"800,000","800,000"
2024-08-13,"1.642,00","1.642,00","1.642,00","1.642,00",-2.96,21,"34,482","34,482"
2024-08-12,"1.692,00","1.692,00","1.692,00","1.692,00",-2.98,14,"23,688","23,688"
2024-08-09,"1.744,00","1.744,00","1.744,00","1.744,00",-0.11,6,"10,464","10,464"
2024-08-08,"1.746,00",",",",","1.746,00",0.0,0,0,"2,390,274"
2024-08-07,"1.746,00","1.746,00","1.746,00","1.746,00",-3.0,40,"69,840","69,840"
2024-08-06,"1.800,00",",",",","1.800,00",0.0,0,0,0
2024-08-05,"1.800,00",",",",","1.800,00",0.0,0,0,0
2024-08-01,"1.800,00","1.800,00","1.800,00","1.800,00",-1.8,20,"36,000","36,000"
