Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"7.200,00",",",",","7.200,00",0.0,0,0,0
2024-11-07,"7.200,00",",",",","7.200,00",0.0,0,0,0
2024-11-06,"7.200,00",",",",","7.200,00",0.0,0,0,0
2024-11-05,"7.200,00","7.200,00","7.200,00","7.200,00",0.88,10,"72,000","72,000"
2024-11-04,"7.285,00","7.285,00","7.100,00","7.137,00",-2.02,10,"71,370","71,370"
2024-11-01,"7.284,00","7.284,00","7.284,00","7.284,00",2.59,7,"50,988","50,988"
2024-10-31,"7.100,00",",",",","7.100,00",0.0,0,0,0
2024-10-30,"7.100,00",",",",","7.100,00",0.0,0,0,0
2024-10-29,"7.100,00",",",",","7.100,00",0.0,0,0,0
2024-10-28,"7.100,00",",",",","7.100,00",0.0,0,0,0
2024-10-25,"7.100,00",",",",","7.100,00",0.0,0,0,0
2024-10-24,"7.100,00",",",",","7.100,00",0.0,0,0,0
2024-10-22,"7.100,00",",",",","7.100,00",0.0,0,0,0
2024-10-21,"7.100,00","7.100,00","7.100,00","7.100,00",-1.39,20,"142,000","142,000"
2024-10-18,"7.200,00",",",",","7.200,00",0.0,0,0,0
2024-10-17,"7.200,00","7.200,00","7.200,00","7.200,00",0.0,11,"79,200","79,200"
2024-10-16,"7.200,00","7.200,00","7.200,00","7.200,00",0.0,130,"936,000","936,000"
2024-10-15,"7.200,00","7.200,00","7.200,00","7.200,00",-1.22,685,"4,932,000","4,932,000"
2024-10-14,"7.289,00",",",",","7.289,00",0.0,0,0,0
2024-10-10,"7.289,00",",",",","7.289,00",0.0,0,0,0
2024-10-09,"7.289,00",",",",","7.289,00",0.0,0,0,0
2024-10-08,"7.289,00",",",",","7.289,00",0.0,0,0,0
2024-10-07,"7.289,00",",",",","7.289,00",0.0,0,0,0
2024-10-04,"7.289,00",",",",","7.289,00",0.0,0,0,0
2024-10-03,"7.289,00",",",",","7.289,00",0.0,0,0,0
2024-10-02,"7.289,00",",",",","7.289,00",0.0,0,0,0
2024-10-01,"7.289,00","7.289,00","7.289,00","7.289,00",1.96,10,"72,890","72,890"
2024-09-30,"7.150,00","7.150,00","7.149,00","7.149,13",-0.71,287,"2,051,800","2,051,800"
2024-09-27,"7.200,00",",",",","7.200,00",0.0,0,0,0
2024-09-26,"7.200,00","7.200,00","7.200,00","7.200,00",2.86,10,"72,000","72,000"
2024-09-25,"7.000,00","7.000,00","7.000,00","7.000,00",-0.3,53,"371,000","371,000"
2024-09-24,"7.000,00","7.030,00","7.000,00","7.020,91",-1.81,33,"231,690","231,690"
2024-09-23,"7.150,00",",",",","7.150,00",0.0,0,0,0
2024-09-20,"7.150,00",",",",","7.150,00",0.0,0,0,0
2024-09-19,"7.150,00","7.150,00","7.150,00","7.150,00",1.71,500,"3,575,000","3,575,000"
2024-09-18,"7.030,00","7.030,00","7.030,00","7.030,00",0.12,36,"253,080","253,080"
2024-09-17,"7.050,00",",",",","7.021,43",0.0,0,0,0
2024-09-16,"7.050,00","7.050,00","7.000,00","7.021,43",0.18,35,"245,750","245,750"
