Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-11-07,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-11-06,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-11-05,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-11-04,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-11-01,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-31,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-30,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-29,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-28,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-25,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-24,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-22,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-21,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-18,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-17,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-16,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-15,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-14,"37.000,00","37.000,00","37.000,00","37.000,00",0.0,3,"111,000","111,000"
2024-10-10,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-09,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-08,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-07,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-04,"37.000,00",",",",","37.000,00",0.0,0,0,0
2024-10-03,"37.000,00","37.000,00","37.000,00","37.000,00",1.93,5,"185,000","185,000"
2024-10-02,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-10-01,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-30,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-27,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-26,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-25,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-24,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-23,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-20,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-19,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-18,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-17,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-16,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-13,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-12,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-11,"36.300,00","36.300,00","36.300,00","36.300,00",0.0,8,"290,400","290,400"
2024-09-10,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-06,"36.300,00",",",",","36.300,00",0.0,0,0,0
2024-09-05,"36.300,00","36.300,00","36.300,00","36.300,00",-0.55,9,"326,700","326,700"
2024-09-04,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-09-03,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-09-02,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-30,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-29,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-27,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-26,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-23,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-22,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-21,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-20,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-19,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-16,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-15,"36.500,00","36.500,00","36.500,00","36.500,00",0.0,17,"620,500","620,500"
2024-08-14,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-13,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-12,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-08-09,"36.500,00","36.500,00","36.500,00","36.500,00",-1.75,33,"1,204,500","1,204,500"
2024-08-08,"37.150,00",",",",","37.150,00",0.0,0,0,0
2024-08-07,"37.150,00",",",",","37.150,00",0.0,0,0,0
2024-08-06,"37.150,00",",",",","37.150,00",0.0,0,0,0
2024-08-05,"37.150,00",",",",","37.150,00",0.0,0,0,0
2024-08-01,"37.150,00",",",",","37.150,00",0.0,0,0,0
2024-07-31,"37.150,00",",",",","37.150,00",0.0,0,0,0
2024-07-30,"37.150,00",",",",","37.150,00",0.0,0,0,0
2024-07-29,"37.150,00",",",",","37.150,00",0.0,0,0,0
2024-07-26,"37.150,00",",",",","37.150,00",0.0,0,0,0
2024-07-25,"37.150,00",",",",","37.150,00",0.0,0,0,0
2024-07-24,"37.150,00",",",",","37.150,00",0.0,0,0,0
2024-07-23,"37.150,00","37.150,00","37.150,00","37.150,00",0.0,47,"1,746,050","1,746,050"
2024-07-22,"37.150,00","37.150,00","37.150,00","37.150,00",-0.13,3,"111,450","111,450"
2024-07-19,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-18,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-17,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-16,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-15,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-12,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-11,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-10,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-09,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-08,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-05,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-04,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-03,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-02,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-07-01,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-06-28,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-06-27,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-06-26,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-06-25,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-06-24,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-06-20,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-06-19,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-06-18,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-06-17,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-06-14,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-06-13,"37.200,00",",",",","37.200,00",0.0,0,0,0
2024-06-12,"37.200,00","37.200,00","37.200,00","37.200,00",1.33,2,"74,400","74,400"
2024-06-11,"36.710,00","36.710,00","36.710,00","36.710,00",0.58,8,"293,680","293,680"
2024-06-10,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-06-07,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-06-06,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-06-05,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-06-04,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-06-03,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-05-31,"36.500,00",",",",","36.500,00",0.0,0,0,0
2024-05-30,"36.500,00","36.500,00","36.500,00","36.500,00",0.0,13,"474,500","474,500"
2024-05-29,"36.500,00","36.500,00","36.500,00","36.500,00",0.41,10,"365,000","365,000"
2024-05-28,"36.350,00",",",",","36.350,00",0.0,0,0,0
2024-05-27,"36.350,00",",",",","36.350,00",0.0,0,0,0
2024-05-23,"36.350,00",",",",","36.350,00",0.0,0,0,0
2024-05-22,"36.350,00",",",",","36.350,00",0.0,0,0,0
2024-05-21,"36.350,00",",",",","36.350,00",0.0,0,0,0
2024-05-20,"36.350,00","36.350,00","36.350,00","36.350,00",0.0,5,"181,750","181,750"
2024-05-17,"36.350,00","36.350,00","36.350,00","36.350,00",0.0,6,"218,100","218,100"
2024-05-16,"36.350,00","36.350,00","36.350,00","36.350,00",0.0,5,"181,750","181,750"
2024-05-15,"36.350,00",",",",","36.350,00",0.0,0,0,0
2024-05-14,"36.350,00","36.350,00","36.350,00","36.350,00",0.28,10,"363,500","363,500"
2024-05-13,"36.250,00","36.250,00","36.250,00","36.250,00",0.68,17,"616,250","616,250"
2024-05-10,"36.006,00","36.006,00","36.006,00","36.006,00",0.02,5,"180,030","180,030"
2024-05-09,"36.000,00",",",",","36.000,00",0.0,0,0,0
2024-05-07,"36.000,00",",",",","36.000,00",0.0,0,0,0
2024-05-02,"36.000,00",",",",","36.000,00",0.0,0,0,0
2024-04-30,"36.000,00",",",",","36.000,00",0.0,0,0,0
2024-04-29,"36.000,00","36.000,00","36.000,00","36.000,00",15.2,4,"144,000","144,000"
2024-04-26,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-25,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-23,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-22,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-19,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-18,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-17,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-16,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-15,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-12,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-11,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-09,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-08,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-05,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-04,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-03,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-02,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-04-01,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-03-29,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-03-28,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-03-27,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-03-26,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-03-25,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-03-22,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-03-21,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-03-20,"31.250,00",",",",","31.250,00",0.0,0,0,0
2024-03-19,"31.250,00","31.250,00","31.250,00","31.250,00",-2.34,2,"62,500","62,500"
2024-03-18,"32.000,00",",",",","32.000,00",0.0,0,0,0
2024-03-15,"32.000,00",",",",","32.000,00",0.0,0,0,0
2024-03-14,"32.000,00",",",",","32.000,00",0.0,0,0,0
2024-03-13,"32.000,00",",",",","32.000,00",0.0,0,0,0
2024-03-12,"32.000,00",",",",","32.000,00",0.0,0,0,0
2024-03-11,"32.000,00",",",",","32.000,00",0.0,0,0,0
2024-03-08,"32.000,00",",",",","32.000,00",0.0,0,0,0
2024-03-07,"32.000,00",",",",","32.000,00",0.0,0,0,0
2024-03-06,"32.000,00",",",",","32.000,00",0.0,0,0,0
2024-03-05,"32.000,00",",",",","32.000,00",0.0,0,0,0
2024-03-04,"32.000,00",",",",","32.000,00",0.0,0,0,0
2024-03-01,"32.000,00","32.000,00","32.000,00","32.000,00",1.11,5,"160,000","160,000"
2024-02-29,"31.650,00","31.650,00","31.650,00","31.650,00",1.28,5,"158,250","158,250"
2024-02-28,"31.251,00",",",",","31.251,00",0.0,0,0,0
2024-02-27,"31.251,00","31.251,00","31.251,00","31.251,00",-0.02,1,"31,251","31,251"
2024-02-26,"31.257,00","31.257,00","31.257,00","31.257,00",2.48,10,"312,570","312,570"
2024-02-23,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-22,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-21,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-20,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-19,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-16,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-15,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-14,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-13,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-12,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-09,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-08,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-07,"30.500,00","30.500,00","30.500,00","30.500,00",0.0,3,"91,500","91,500"
2024-02-06,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-05,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-02,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-02-01,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-01-31,"30.500,00",",",",","30.500,00",0.0,0,0,0
2024-01-30,"30.500,00","30.500,00","30.500,00","30.500,00",0.38,10,"305,000","305,000"
2024-01-29,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-26,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-25,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-24,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-23,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-22,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-18,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-17,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-16,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-15,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-12,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-11,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-10,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-09,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-05,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-04,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-03,"30.385,00",",",",","30.385,00",0.0,0,0,0
2024-01-02,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-28,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-27,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-26,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-25,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-22,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-21,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-20,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-19,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-18,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-15,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-14,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-13,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-12,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-11,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-07,"30.385,00","30.385,00","30.385,00","30.385,00",0.0,4,"121,540","121,540"
2023-12-06,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-05,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-12-04,"30.385,00","30.385,00","30.385,00","30.385,00",0.0,5,"151,925","151,925"
2023-12-01,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-11-30,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-11-29,"30.385,00",",",",","30.385,00",0.0,0,0,0
2023-11-28,"30.385,00","30.385,00","30.385,00","30.385,00",3.0,6,"182,310","182,310"
2023-11-27,"29.500,00",",",",","29.500,00",0.0,0,0,0
2023-11-24,"29.500,00",",",",","29.500,00",0.0,0,0,0
2023-11-23,"29.500,00",",",",","29.500,00",0.0,0,0,0
2023-11-22,"29.500,00",",",",","29.500,00",0.0,0,0,0
2023-11-21,"29.500,00",",",",","29.500,00",0.0,0,0,0
2023-11-20,"29.500,00",",",",","29.500,00",0.0,0,0,0
2023-11-17,"29.500,00",",",",","29.500,00",0.0,0,0,0
2023-11-16,"29.500,00",",",",","29.500,00",0.0,0,0,0
2023-11-15,"29.500,00",",",",","29.500,00",0.0,0,0,0
2023-11-14,"29.500,00","29.500,00","29.500,00","29.500,00",5.24,8,"236,000","236,000"
2023-11-13,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-11-10,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-11-09,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-11-08,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-11-07,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-11-06,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-11-03,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-11-02,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-11-01,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-31,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-30,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-27,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-26,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-25,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-24,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-20,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-19,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-18,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-17,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-16,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-13,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-12,"28.031,00",",",",","28.031,00",0.0,0,0,0
2023-10-10,"28.031,00","28.031,00","28.031,00","28.031,00",-3.0,3,"84,093","84,093"
2023-10-09,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-10-06,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-10-05,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-10-04,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-10-03,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-10-02,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-29,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-28,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-27,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-26,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-25,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-22,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-21,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-20,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-19,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-18,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-15,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-14,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-13,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-12,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-11,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-07,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-06,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-05,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-04,"28.899,00",",",",","28.899,00",0.0,0,0,0
2023-09-01,"28.899,00","28.899,00","28.899,00","28.899,00",15.6,2,"57,798","57,798"
2023-08-31,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-30,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-29,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-25,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-24,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-23,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-22,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-21,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-18,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-17,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-16,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-15,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-14,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-11,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-10,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-09,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-08,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-07,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-04,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-03,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-08-01,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-31,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-28,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-27,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-26,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-25,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-24,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-21,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-20,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-19,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-18,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-17,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-14,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-13,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-12,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-11,"25.000,00",",",",","25.000,00",0.0,0,0,0
2023-07-10,"25.000,00","25.000,00","25.000,00","25.000,00",-14.38,5,"125,000","125,000"
2023-07-07,"29.200,00",",",",","29.200,00",0.0,0,0,0
2023-07-06,"29.200,00",",",",","29.200,00",0.0,0,0,0
2023-07-05,"29.200,00",",",",","29.200,00",0.0,0,0,0
2023-07-04,"29.200,00",",",",","29.200,00",0.0,0,0,0
2023-07-03,"29.200,00",",",",","29.200,00",0.0,0,0,0
2023-06-30,"29.200,00",",",",","29.200,00",0.0,0,0,0
2023-06-29,"29.200,00",",",",","29.200,00",0.0,0,0,0
2023-06-28,"29.200,00",",",",","29.200,00",0.0,0,0,0
2023-06-27,"29.200,00",",",",","29.200,00",0.0,0,0,0
2023-06-26,"29.200,00",",",",","29.200,00",0.0,0,0,0
