Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-11-07,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-11-06,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-11-05,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-11-04,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-11-01,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-10-31,"10.101,00","10.101,00","10.101,00","10.101,00",0.0,5,"50,505","50,505"
2024-10-30,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-10-29,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-10-28,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-10-25,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-10-24,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-10-22,"10.101,00","10.101,00","10.101,00","10.101,00",-0.15,5,"50,505","50,505"
2024-10-21,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-18,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-17,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-16,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-15,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-14,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-10,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-09,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-08,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-07,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-04,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-03,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-02,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-10-01,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-30,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-27,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-26,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-25,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-24,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-23,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-20,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-19,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-18,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-17,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-16,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-13,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-12,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-11,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-10,"10.116,00",",",",","10.116,00",0.0,0,0,0
2024-09-06,"10.116,00","10.116,00","10.116,00","10.116,00",0.15,5,"50,580","50,580"
2024-09-05,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-09-04,"10.101,00",",",",","10.101,00",0.0,0,0,0
2024-09-03,"10.101,00","10.101,00","10.101,00","10.101,00",0.01,10,"101,010","101,010"
2024-09-02,"10.100,00",",",",","10.100,00",0.0,0,0,0
2024-08-30,"10.100,00",",",",","10.100,00",0.0,0,0,0
2024-08-29,"10.100,00","10.100,00","10.100,00","10.100,00",0.88,5,"50,500","50,500"
2024-08-27,"10.012,00",",",",","10.012,00",0.0,0,0,0
2024-08-26,"10.012,00",",",",","10.012,00",0.0,0,0,0
2024-08-23,"10.012,00",",",",","10.012,00",0.0,0,0,0
2024-08-22,"10.012,00",",",",","10.012,00",0.0,0,0,0
2024-08-21,"10.012,00",",",",","10.012,00",0.0,0,0,0
2024-08-20,"10.012,00",",",",","10.012,00",0.0,0,0,0
2024-08-19,"10.012,00",",",",","10.012,00",0.0,0,0,0
2024-08-16,"10.012,00",",",",","10.012,00",0.0,0,0,0
2024-08-15,"10.012,00",",",",","10.012,00",0.0,0,0,0
2024-08-14,"10.012,00","10.012,00","10.012,00","10.012,00",0.01,10,"100,120","100,120"
2024-08-13,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-08-12,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-08-09,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-08-08,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-08-07,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-08-06,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-08-05,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-08-01,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-07-31,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-07-30,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-07-29,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-07-26,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-07-25,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-07-24,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-07-23,"10.011,00",",",",","10.011,00",0.0,0,0,0
2024-07-22,"10.011,00","10.011,00","10.011,00","10.011,00",0.11,10,"100,110","100,110"
2024-07-19,"10.000,00",",",",","10.000,00",0.0,0,0,0
2024-07-18,"10.000,00",",",",","10.000,00",0.0,0,0,0
2024-07-17,"10.000,00",",",",","10.000,00",0.0,0,0,0
2024-07-16,"10.000,00","10.000,00","10.000,00","10.000,00",-9.08,15,"150,000","150,000"
2024-07-15,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-07-12,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-07-11,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-07-10,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-07-09,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-07-08,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-07-05,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-07-04,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-07-03,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-07-02,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-07-01,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-28,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-27,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-26,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-25,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-24,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-20,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-19,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-18,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-17,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-14,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-13,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-12,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-11,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-10,"10.999,00",",",",","10.999,00",0.0,0,0,0
2024-06-07,"10.999,00","10.999,00","10.999,00","10.999,00",9.88,5,"54,995","54,995"
2024-06-06,"10.010,00",",",",","10.010,00",0.0,0,0,0
2024-06-05,"10.010,00",",",",","10.010,00",0.0,0,0,0
2024-06-04,"10.010,00",",",",","10.010,00",0.0,0,0,0
2024-06-03,"10.010,00",",",",","10.010,00",0.0,0,0,0
2024-05-31,"10.010,00",",",",","10.010,00",0.0,0,0,0
2024-05-30,"10.010,00",",",",","10.010,00",0.0,0,0,0
2024-05-29,"10.010,00",",",",","10.010,00",0.0,0,0,0
2024-05-28,"10.010,00",",",",","10.010,00",0.0,0,0,0
