Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
2024-11-08,"80,00",",",",","80,00",0.0,0,0,0
2024-11-07,"80,00",",",",","80,00",0.0,0,0,0
2024-11-06,"80,00",",",",","80,00",0.0,0,0,0
2024-11-05,"80,00",",",",","80,00",0.0,0,0,0
2024-11-04,"80,00",",",",","80,00",0.0,0,0,0
2024-11-01,"80,00",",",",","80,00",0.0,0,0,0
2024-10-31,"80,00",",",",","80,00",0.0,0,0,0
2024-10-30,"80,00","80,00","80,00","80,00",0.0,75,"6,000","6,000"
2024-10-29,"80,00",",",",","80,00",0.0,0,0,0
2024-10-28,"80,00",",",",","80,00",0.0,0,0,0
2024-10-25,"80,00",",",",","80,00",0.0,0,0,0
2024-10-24,"80,00",",",",","80,00",0.0,0,0,0
2024-10-22,"80,00",",",",","80,00",0.0,0,0,0
2024-10-21,"80,00",",",",","80,00",0.0,0,0,0
2024-10-18,"80,00",",",",","80,00",0.0,0,0,0
2024-10-17,"80,00",",",",","80,00",0.0,0,0,0
2024-10-16,"80,00",",",",","80,00",0.0,0,0,0
2024-10-15,"80,00",",",",","80,00",0.0,0,0,0
2024-10-14,"80,00",",",",","80,00",0.0,0,0,0
2024-10-10,"80,00",",",",","80,00",0.0,0,0,0
2024-10-09,"80,00",",",",","80,00",0.0,0,0,0
2024-10-08,"80,00",",",",","80,00",0.0,0,0,0
2024-10-07,"80,00",",",",","80,00",0.0,0,0,0
2024-10-04,"80,00",",",",","80,00",0.0,0,0,0
2024-10-03,"80,00",",",",","80,00",0.0,0,0,0
2024-10-02,"80,00",",",",","80,00",0.0,0,0,0
2024-10-01,"80,00",",",",","80,00",0.0,0,0,0
2024-09-30,"80,00",",",",","80,00",0.0,0,0,0
2024-09-27,"80,00",",",",","80,00",0.0,0,0,0
2024-09-26,"80,00",",",",","80,00",0.0,0,0,0
2024-09-25,"80,00",",",",","80,00",0.0,0,0,0
2024-09-24,"80,00",",",",","80,00",0.0,0,0,0
2024-09-23,"80,00",",",",","80,00",0.0,0,0,0
2024-09-20,"80,00",",",",","80,00",0.0,0,0,0
2024-09-19,"80,00",",",",","80,00",0.0,0,0,0
2024-09-18,"80,00",",",",","80,00",0.0,0,0,0
2024-09-17,"80,00",",",",","80,00",0.0,0,0,0
2024-09-16,"80,00",",",",","80,00",0.0,0,0,0
2024-09-13,"80,00",",",",","80,00",0.0,0,0,0
